"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","c47d27fb7eab977628c71bcfd9f92a88",1,2,3,5,12,1,"ebola",0.581598291581435,1,0.118066666666667,0.7071375,-0.228383333333333,0.5,0.107638888888889,0.0833333333333333,2,200,0.1034
"2","c47d27fb7eab977628c71bcfd9f92a88",1,2,1,5,12,2,"ebola",0.999170375817824,0.625,0.494958333333333,16.5045,-1.9464,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,200,0.1034
"3","c47d27fb7eab977628c71bcfd9f92a88",1,2,12,5,12,3,"ebola",NA,0.347222222222222,0.3141,285.7466875,-9.55451666666667,-0.333333333333333,0.498456790123457,0.833333333333333,2,200,0.1034
"4","c47d27fb7eab977628c71bcfd9f92a88",1,2,10,5,12,4,"ebola",NA,0.161772486772487,0.493308333333333,21024.5907263889,-60.2794416666667,-0.166666666666667,0.407407407407407,0.666666666666667,2,200,0.1034
"5","c47d27fb7eab977628c71bcfd9f92a88",2,5,1,0,12,1,"ebola",0.93852016274182,0.875,0.33795,1.03662916666667,-0.50705,0.833333333333333,0.0658998842592593,-0.125,2,200,0.0168
"6","c47d27fb7eab977628c71bcfd9f92a88",2,5,12,0,12,2,"ebola",0.999600232094024,0.472222222222222,0.174133333333333,3.79801805555556,-0.894516666666667,-0.333333333333333,0.475597993827161,0.791666666666667,2,200,0.0168
"7","c47d27fb7eab977628c71bcfd9f92a88",2,5,10,0,12,3,"ebola",0.999950000000015,0.281944444444444,0.5193,103.185959722222,-5.60920833333333,-0.166666666666667,0.390046296296296,0.625,2,200,0.0168
"8","c47d27fb7eab977628c71bcfd9f92a88",2,5,37,0,12,4,"ebola",0.999950000000015,0.190316859066859,0.3462,951.417342906746,-21.14205,-1,2.10483234815917,2.875,2,200,0.0168
"9","c47d27fb7eab977628c71bcfd9f92a88",3,6,12,3,12,1,"ebola",0.171384664780398,1,-0.44815,0.622813888888889,0.666883333333333,-0.333333333333333,0.498456790123457,0.833333333333333,2,200,0.1177
"10","c47d27fb7eab977628c71bcfd9f92a88",3,6,10,3,12,2,"ebola",0.538304545455664,1,-0.243108333333333,0.884894444444444,0.3024,-0.166666666666667,0.407407407407407,0.666666666666667,2,200,0.1177
"11","c47d27fb7eab977628c71bcfd9f92a88",3,6,37,3,12,3,"ebola",0.984233552328114,1,-0.700883333333333,2.19191478174603,2.08424166666667,-1,2.15846836419753,2.91666666666667,2,200,0.1177
"12","c47d27fb7eab977628c71bcfd9f92a88",3,6,46,3,12,4,"ebola",0.999578580304929,0.541666666666667,-0.53325,6.71477787698413,1.79639166666667,-0.833333333333333,2.91994598765432,3.66666666666667,2,200,0.1177
"13","c47d27fb7eab977628c71bcfd9f92a88",4,18,10,0,12,1,"ebola",0.943568380637751,0.604166666666667,0.367908333333333,3.26030277777778,-0.993233333333333,-0.166666666666667,0.34375,0.458333333333333,3,200,0
"14","c47d27fb7eab977628c71bcfd9f92a88",4,18,37,0,12,2,"ebola",0.999950000000015,0.635515873015873,0.31405,6.32176130952381,-1.78910833333333,-1,1.9007083953373,2.70833333333333,3,200,0
"15","c47d27fb7eab977628c71bcfd9f92a88",4,18,46,0,12,3,"ebola",0.999950000000015,0.577694065194065,0.709625,68.1610652777778,-8.7893,-0.833333333333333,2.6666511656746,3.45833333333333,3,200,0
"16","c47d27fb7eab977628c71bcfd9f92a88",4,18,89,0,12,4,"ebola",0.999950000000015,0.474739234405817,0.735525,327.204251845724,-26.9286916666667,-1,5.90900420832061,7.04166666666667,3,200,0
"17","c47d27fb7eab977628c71bcfd9f92a88",5,28,37,1,12,1,"ebola",0.999885162335484,0.652777777777778,-0.356133333333333,1.42308134920635,1.170275,-1,1.7955467372134,2.61666666666667,3,200,0
"18","c47d27fb7eab977628c71bcfd9f92a88",5,28,46,1,12,2,"ebola",0.890610660393424,0.638888888888889,-0.137516666666667,3.1921994047619,0.678225,-0.833333333333333,2.5636860670194,3.36666666666667,3,200,0
"19","c47d27fb7eab977628c71bcfd9f92a88",5,28,89,1,12,3,"ebola",0.999643071776695,0.595238095238095,-0.411075,2.89071531743719,1.819175,-1,5.75905960294849,6.95,3,200,0
"20","c47d27fb7eab977628c71bcfd9f92a88",6,65,46,0,12,1,"ebola",0.999949849644166,0.736904761904762,0.33555,5.52819117063492,-1.3121,-0.833333333333333,2.14483648558446,2.93055555555556,3,200,0
"21","c47d27fb7eab977628c71bcfd9f92a88",6,65,89,0,12,2,"ebola",0.999950000000015,0.747636622636623,0.381016666666667,3.90654592641155,-2.5419,-1,5.07518960507121,6.51388888888889,3,200,0
"22","c47d27fb7eab977628c71bcfd9f92a88",7,111,89,0,12,1,"ebola",0.874975526988756,0.724206349206349,-0.15845,1.45028161132849,0.741633333333333,-1,4.46456756967758,6.0952380952381,3,200,0
