"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","c7c419f796e5a0f1f0ef58dc574c2df1",1,4,3,0,12,1,"ebola",0.933692552556265,0.666666666666667,0.464991666666667,3.19076666666667,-1.03006666666667,0.5,0.138888888888889,-0.0833333333333333,2,221,0.0013
"2","c7c419f796e5a0f1f0ef58dc574c2df1",1,4,9,0,12,2,"ebola",0.999950000000015,0.447267316017316,0.744508333333333,70.3028986111111,-6.30059166666667,-0.166666666666667,0.29320987654321,0.416666666666667,2,221,0.0013
"3","c7c419f796e5a0f1f0ef58dc574c2df1",1,4,10,0,12,3,"ebola",0.999950000000015,0.240439481267469,0.902441666666667,3221.97597708333,-40.6319916666667,0,0.41358024691358,0.5,2,221,0.0013
"4","c7c419f796e5a0f1f0ef58dc574c2df1",1,4,21,0,12,4,"ebola",0.999950000000015,0.117601380161909,0.910775,112964.270135694,-256.896991666667,-0.666666666666667,0.940123456790124,1.41666666666667,2,221,0.0013
"5","c7c419f796e5a0f1f0ef58dc574c2df1",2,7,9,2,12,1,"ebola",0.717627805509623,0.75,-0.0342583333333333,0.965247222222222,-0.02535,-0.166666666666667,0.302107445987654,0.458333333333333,2,221,0.0139
"6","c7c419f796e5a0f1f0ef58dc574c2df1",2,7,10,2,12,2,"ebola",0.99953509471055,0.5,0.2628,4.57844027777778,-0.889983333333333,0,0.420199170524691,0.541666666666667,2,221,0.0139
"7","c7c419f796e5a0f1f0ef58dc574c2df1",2,7,21,2,12,3,"ebola",0.999950000000015,0.361111111111111,0.242933333333333,31.675595,-2.7157,-0.666666666666667,0.970744116512346,1.45833333333333,2,221,0.0139
"8","c7c419f796e5a0f1f0ef58dc574c2df1",2,7,26,2,12,4,"ebola",NA,0.336706349206349,0.39425,313.120313333333,-10.3976083333333,-0.833333333333333,1.22288773148148,1.875,2,221,0.0139
"9","c7c419f796e5a0f1f0ef58dc574c2df1",3,16,10,0,12,1,"ebola",0.853061116467262,0.527777777777778,0.278683333333333,2.16709722222222,-0.585775,0,0.407836076817558,0.388888888888889,3,221,1e-04
"10","c7c419f796e5a0f1f0ef58dc574c2df1",3,16,21,0,12,2,"ebola",0.999949999554536,0.597222222222222,0.283908333333333,5.25873222222222,-1.10678333333333,-0.666666666666667,0.866649519890261,1.30555555555556,3,221,1e-04
"11","c7c419f796e5a0f1f0ef58dc574c2df1",3,16,26,0,12,3,"ebola",0.999950000000015,0.547619047619048,0.538766666666667,19.3361752777778,-3.94966666666667,-0.833333333333333,1.07757201646091,1.72222222222222,3,221,1e-04
"12","c7c419f796e5a0f1f0ef58dc574c2df1",3,16,48,0,12,4,"ebola",NA,0.446908184408184,0.532575,71.5136511111111,-9.6253,-1,2.5416421712718,3.55555555555556,2,221,1e-04
"13","c7c419f796e5a0f1f0ef58dc574c2df1",4,26,21,1,12,1,"ebola",0.904681168478338,0.541666666666667,-0.064675,1.61184125,0.238291666666667,-0.666666666666667,0.812121431327161,1.20833333333333,3,221,1e-04
"14","c7c419f796e5a0f1f0ef58dc574c2df1",4,26,26,1,12,2,"ebola",0.99392991591031,0.659722222222222,0.033825,2.04848722222222,-0.28255,-0.833333333333333,0.994415509259259,1.625,3,221,1e-04
"15","c7c419f796e5a0f1f0ef58dc574c2df1",4,26,48,1,12,3,"ebola",0.999949999996924,0.541666666666667,-0.13205,2.43681942460317,-0.155133333333333,-1,2.40710427689594,3.45833333333333,3,221,1e-04
"16","c7c419f796e5a0f1f0ef58dc574c2df1",4,26,100,1,12,4,"ebola",0.999950000000015,0.517857142857143,-0.33885,5.13715831934269,1.10195,-1,6.52302961634559,7.79166666666667,2,221,1e-04
"17","c7c419f796e5a0f1f0ef58dc574c2df1",5,47,26,0,12,1,"ebola",0.747265110324806,0.701388888888889,0.13935,1.91470861111111,-0.455333333333333,-0.833333333333333,0.819106481481481,1.38333333333333,3,221,0
"18","c7c419f796e5a0f1f0ef58dc574c2df1",5,47,48,0,12,2,"ebola",0.998495821084935,0.654166666666667,-0.012975,1.46404942460317,-0.251591666666667,-1,2.0895811287478,3.21666666666667,3,221,0
"19","c7c419f796e5a0f1f0ef58dc574c2df1",5,47,100,0,12,3,"ebola",0.999950000000015,0.668650793650794,-0.313916666666667,2.44322406771469,1.300675,-1,6.13200382693438,7.55,3,221,0
"20","c7c419f796e5a0f1f0ef58dc574c2df1",6,73,48,0,12,1,"ebola",0.999921513511024,0.7625,-0.284341666666667,0.938883492063492,0.649525,-1,1.80912269743288,2.98611111111111,3,221,0
"21","c7c419f796e5a0f1f0ef58dc574c2df1",6,73,100,0,12,2,"ebola",0.854792392642709,0.685714285714286,-0.671775,2.06557049501424,3.22178333333333,-1,5.77146316724827,7.31944444444444,3,221,0
"22","c7c419f796e5a0f1f0ef58dc574c2df1",7,121,100,0,12,1,"ebola",0.998812384946491,0.707539682539683,-0.570766666666667,1.62304312678063,2.52240833333333,-1,5.13657287718371,6.89285714285714,3,221,0
