"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","d211fbe4d8670830190678c07b972da3",1,1,2,11,12,1,"ebola",0.423122897677461,1,0.0358166666666667,0.303538888888889,0.0134166666666667,0.833333333333333,0.108410493827161,0.0833333333333333,2,119,0.4476
"2","d211fbe4d8670830190678c07b972da3",1,1,2,11,12,2,"ebola",0.699895191137819,1,0.077425,2.42548333333333,-0.361816666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,119,0.4476
"3","d211fbe4d8670830190678c07b972da3",1,1,4,11,12,3,"ebola",0.999815422237396,1,0.0629666666666667,76.8501458333333,-2.19836666666667,0.333333333333333,0.144675925925926,0.25,2,119,0.4476
"4","d211fbe4d8670830190678c07b972da3",1,1,10,11,12,4,"ebola",0.999950000000015,1,0.00325000000000002,2634.45727291667,-13.0755583333333,0,0.489824459876543,0.75,2,119,0.4476
"5","d211fbe4d8670830190678c07b972da3",2,3,2,4,12,1,"ebola",0.398976247355654,1,0.142716666666667,0.637575,-0.231991666666667,0.666666666666667,0.0768229166666667,0.0416666666666667,2,119,0.0799
"6","d211fbe4d8670830190678c07b972da3",2,3,4,4,12,2,"ebola",0.908645122585519,0.708333333333333,0.263291666666667,6.4388375,-1.02258333333333,0.333333333333333,0.138020833333333,0.208333333333333,2,119,0.0799
"7","d211fbe4d8670830190678c07b972da3",2,3,10,4,12,3,"ebola",0.999950000000015,0.430555555555556,0.310208333333333,133.074330555556,-4.68375833333333,0,0.471028645833333,0.708333333333333,2,119,0.0799
"8","d211fbe4d8670830190678c07b972da3",2,3,17,4,12,4,"ebola",0.999950000000015,0.240277777777778,0.309516666666667,4030.94291944444,-24.4626333333333,-0.666666666666667,0.811783854166667,1.29166666666667,2,119,0.0799
"9","d211fbe4d8670830190678c07b972da3",3,5,4,2,12,1,"ebola",0.444566992362074,1,-0.015275,0.522641666666667,-0.04275,0.333333333333333,0.136445473251029,0.194444444444444,2,119,0.084
"10","d211fbe4d8670830190678c07b972da3",3,5,10,2,12,2,"ebola",0.93160614783567,1,-0.0851333333333333,1.48692013888889,0.0797,0,0.465304569615912,0.694444444444444,2,119,0.084
"11","d211fbe4d8670830190678c07b972da3",3,5,17,2,12,3,"ebola",0.991650133627998,0.541666666666667,-0.159991666666667,6.76291597222222,-0.332808333333333,-0.666666666666667,0.800033221879287,1.27777777777778,2,119,0.084
"12","d211fbe4d8670830190678c07b972da3",3,5,25,2,12,4,"ebola",0.999950000000015,0.486111111111111,-0.166716666666667,50.2875023611111,-2.44216666666667,-1,1.25952932098765,1.94444444444444,2,119,0.084
"13","d211fbe4d8670830190678c07b972da3",4,9,10,1,12,1,"ebola",0.999812936531926,1,-0.147916666666667,0.823870138888889,0.294966666666667,0,0.447401258680556,0.645833333333333,2,119,0.0273
"14","d211fbe4d8670830190678c07b972da3",4,9,17,1,12,2,"ebola",0.973826788433478,0.625,-0.2928,1.22073388888889,0.497125,-0.666666666666667,0.760454644097222,1.22916666666667,2,119,0.0273
"15","d211fbe4d8670830190678c07b972da3",4,9,25,1,12,3,"ebola",0.722965713079339,0.5,-0.358108333333333,2.33316597222222,0.346258333333333,-1,1.20188802083333,1.89583333333333,2,119,0.0273
"16","d211fbe4d8670830190678c07b972da3",4,9,58,1,12,4,"ebola",0.999930444944765,0.402777777777778,-0.496641666666667,8.41015302579365,1.32790833333333,-1,3.74652002728175,4.64583333333333,2,119,0.0273
"17","d211fbe4d8670830190678c07b972da3",5,19,17,0,12,1,"ebola",0.971706118585109,0.5,-0.0612583333333333,1.27412194444444,0.119341666666667,-0.666666666666667,0.666993441358025,1.1,3,119,0
"18","d211fbe4d8670830190678c07b972da3",5,19,25,0,12,2,"ebola",0.999947592478424,0.638888888888889,0.039375,1.68151777777778,-0.400408333333333,-1,1.05676388888889,1.76666666666667,3,119,0
"19","d211fbe4d8670830190678c07b972da3",5,19,58,0,12,3,"ebola",0.999950000000015,0.541666666666667,-0.14435,3.97423486111111,0.0319083333333333,-1,3.55428957231041,4.51666666666667,3,119,0
"20","d211fbe4d8670830190678c07b972da3",6,36,25,0,12,1,"ebola",0.875777317024962,0.694444444444445,0.115625,1.26591597222222,-0.414141666666667,-1,0.870833333333333,1.58333333333333,3,119,0
"21","d211fbe4d8670830190678c07b972da3",6,36,58,0,12,2,"ebola",0.990258731172002,0.661111111111111,-0.184991666666667,2.00283701388889,0.591025,-1,3.29315476190476,4.33333333333333,3,119,0
"22","d211fbe4d8670830190678c07b972da3",7,61,58,0,12,1,"ebola",0.999896159276781,0.755555555555556,-0.424666666666667,1.54405866071429,1.546625,-1,2.98990586644711,4.10714285714286,3,119,0
