"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","d2f58e0b535f1bb8eb43c93f447043d5",1,1,1,11,12,1,"ebola",0.120593269363901,1,0.049575,0.248229166666667,-0.0749416666666667,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,15,0.4361
"2","d2f58e0b535f1bb8eb43c93f447043d5",1,1,1,11,12,2,"ebola",0.32982370876287,1,0.155283333333333,3.009625,-0.479466666666667,0.833333333333333,0.0413773148148148,1.15987044910689e-18,2,15,0.4361
"3","d2f58e0b535f1bb8eb43c93f447043d5",1,1,3,11,12,3,"ebola",0.999797021988298,1,0.131033333333333,102.918620833333,-2.51053333333333,0.5,0.110243055555556,0.166666666666667,2,15,0.4361
"4","d2f58e0b535f1bb8eb43c93f447043d5",1,1,2,11,12,4,"ebola",0.999950000000015,1,0.279533333333333,4584.866925,-15.3995583333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,15,0.4361
"5","d2f58e0b535f1bb8eb43c93f447043d5",2,2,1,3,12,1,"ebola",0.320159984683416,1,0.0470083333333333,0.223358333333333,-0.0655333333333333,0.833333333333333,0.0413773148148148,1.15987044910689e-18,2,15,0.3043
"6","d2f58e0b535f1bb8eb43c93f447043d5",2,2,3,3,12,2,"ebola",0.623265347650608,1,0.00670833333333332,1.30897083333333,-0.175191666666667,0.5,0.110243055555556,0.166666666666667,2,15,0.3043
"7","d2f58e0b535f1bb8eb43c93f447043d5",2,2,2,3,12,3,"ebola",0.972595592359115,1,0.217833333333333,23.3579375,-1.31023333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,15,0.3043
"8","d2f58e0b535f1bb8eb43c93f447043d5",2,2,0,3,12,4,"ebola",0.999950000000015,1,0.428183333333333,816.819091666667,-6.16810833333333,1,0.00694444444444444,-0.0833333333333333,2,15,0.3043
"9","d2f58e0b535f1bb8eb43c93f447043d5",3,3,3,10,12,1,"ebola",0.999950000000015,1,-0.0974083333333334,0.269216666666667,0.08195,0.5,0.110243055555556,0.166666666666667,2,15,0.3539
"10","d2f58e0b535f1bb8eb43c93f447043d5",3,3,2,10,12,2,"ebola",0.999949999999888,1,0.0342083333333333,0.531820833333333,-0.101833333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,15,0.3539
"11","d2f58e0b535f1bb8eb43c93f447043d5",3,3,0,10,12,3,"ebola",0.992159665638284,1,0.26355,3.896375,-0.590508333333333,1,0.00694444444444444,-0.0833333333333333,2,15,0.3539
"12","d2f58e0b535f1bb8eb43c93f447043d5",3,3,2,10,12,4,"ebola",0.618759324801171,1,0.189291666666667,56.0552916666667,-1.34645833333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,15,0.3539
"13","d2f58e0b535f1bb8eb43c93f447043d5",4,6,2,8,12,1,"ebola",0.399726041724964,1,0.117758333333333,0.467154166666667,-0.169716666666667,0.666666666666667,0.0768229166666667,0.0416666666666667,2,15,0.1324
"14","d2f58e0b535f1bb8eb43c93f447043d5",4,6,0,8,12,2,"ebola",0.973038320818069,1,0.345391666666667,1.11891666666667,-0.523033333333333,1,0.015625,-0.125,2,15,0.1324
"15","d2f58e0b535f1bb8eb43c93f447043d5",4,6,2,8,12,3,"ebola",0.969846362115831,1,0.303383333333333,4.395325,-0.82905,0.666666666666667,0.0768229166666667,0.0416666666666667,2,15,0.1324
"16","d2f58e0b535f1bb8eb43c93f447043d5",4,6,5,8,12,4,"ebola",0.997609186078556,0.625,0.268116666666667,24.9217722222222,-1.66821666666667,0.333333333333333,0.203776041666667,0.291666666666667,2,15,0.1324
"17","d2f58e0b535f1bb8eb43c93f447043d5",5,8,0,3,12,1,"ebola",0.180305071325104,1,0.2164,0.322916666666667,-0.24915,1,0.0177777777777778,-0.133333333333333,2,15,0.1327
"18","d2f58e0b535f1bb8eb43c93f447043d5",5,8,2,3,12,2,"ebola",0.217396381764873,1,0.114783333333333,0.560179166666667,-0.188258333333333,0.666666666666667,0.0774074074074074,0.0333333333333333,2,15,0.1327
"19","d2f58e0b535f1bb8eb43c93f447043d5",5,8,5,3,12,3,"ebola",0.428536447653863,1,0.0278833333333333,1.08772916666667,-0.1368,0.333333333333333,0.202530864197531,0.283333333333333,2,15,0.1327
"20","d2f58e0b535f1bb8eb43c93f447043d5",6,8,2,15,12,1,"ebola",0.999950000000015,1,-0.0765083333333333,0.159958333333333,0.07235,0.666666666666667,0.0761316872427984,0.0555555555555556,2,15,0.5239
"21","d2f58e0b535f1bb8eb43c93f447043d5",6,8,5,15,12,2,"ebola",0.999950000000015,1,-0.259041666666667,0.289059722222222,0.330016666666667,0.333333333333333,0.206104252400549,0.305555555555556,2,15,0.5239
"22","d2f58e0b535f1bb8eb43c93f447043d5",7,10,5,6,12,1,"ebola",0.831948447366285,1,-0.208525,0.321311111111111,0.272941666666667,0.333333333333333,0.204735134794659,0.297619047619048,2,15,0.2417
