"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","d37c0b2f26968c439e896cd0202065f4",1,1,5,11,12,1,"ebola",0.616243561437732,1,-0.211208333333333,0.360888888888889,0.266566666666667,0.333333333333333,0.211709104938272,0.333333333333333,2,244,0.47
"2","d37c0b2f26968c439e896cd0202065f4",1,1,8,11,12,2,"ebola",0.0308291015490915,1,-0.3118,1.73065555555556,0.133483333333333,-0.166666666666667,0.315007716049383,0.583333333333333,2,244,0.47
"3","d37c0b2f26968c439e896cd0202065f4",1,1,7,11,12,3,"ebola",0.999937974422543,1,-0.0339916666666667,66.4265986111111,-2.04136666666667,0.166666666666667,0.313175154320988,0.5,2,244,0.47
"4","d37c0b2f26968c439e896cd0202065f4",1,1,21,11,12,4,"ebola",0.999950000000015,1,-0.348608333333333,1796.35522944444,-13.1273916666667,-0.833333333333333,1.10004822530864,1.66666666666667,2,244,0.47
"5","d37c0b2f26968c439e896cd0202065f4",2,6,8,1,12,1,"ebola",0.739277839549116,0.569444444444444,0.256291666666667,1.88010833333333,-0.656016666666667,-0.166666666666667,0.251736111111111,0.416666666666667,2,244,0.001
"6","d37c0b2f26968c439e896cd0202065f4",2,6,7,1,12,2,"ebola",0.999950000000015,0.519047619047619,0.739791666666667,40.2326458333333,-4.52116666666667,0.166666666666667,0.276909722222222,0.333333333333333,2,244,0.001
"7","d37c0b2f26968c439e896cd0202065f4",2,6,21,1,12,3,"ebola",NA,0.302783851139114,0.76275,682.798661666667,-20.6313083333333,-0.833333333333333,0.937934027777778,1.5,2,244,0.001
"8","d37c0b2f26968c439e896cd0202065f4",2,6,26,1,12,4,"ebola",NA,0.173058966246282,0.86035,22750.2568347222,-106.226325,-0.833333333333333,1.27864583333333,1.91666666666667,2,244,0.001
"9","d37c0b2f26968c439e896cd0202065f4",3,14,7,0,12,1,"ebola",0.535822457768641,0.555555555555556,0.432391666666667,2.59372222222222,-0.935516666666667,0.166666666666667,0.279106652949246,0.194444444444444,2,244,1e-04
"10","d37c0b2f26968c439e896cd0202065f4",3,14,21,0,12,2,"ebola",0.999897588939154,0.566666666666667,0.410183333333333,6.79644277777778,-1.91793333333333,-0.833333333333333,0.821523491083676,1.36111111111111,2,244,1e-04
"11","d37c0b2f26968c439e896cd0202065f4",3,14,26,0,12,3,"ebola",0.999950000000015,0.494312169312169,0.681933333333333,55.35629,-7.07158333333333,-0.833333333333333,1.14441872427984,1.77777777777778,3,244,1e-04
"12","d37c0b2f26968c439e896cd0202065f4",3,14,60,0,12,4,"ebola",NA,0.394039465150146,0.615091666666667,371.766411798942,-19.7547666666667,-1,3.59839238764779,4.61111111111111,2,244,1e-04
"13","d37c0b2f26968c439e896cd0202065f4",4,21,21,0,12,1,"ebola",0.999950000000015,0.5,-0.259425,1.01375819444444,0.534425,-0.833333333333333,0.784792751736111,1.3125,3,244,2e-04
"14","d37c0b2f26968c439e896cd0202065f4",4,21,26,0,12,2,"ebola",0.999922850014549,0.611111111111111,-0.093325,1.63209916666667,0.161275,-0.833333333333333,1.10100911458333,1.72916666666667,2,244,2e-04
"15","d37c0b2f26968c439e896cd0202065f4",4,21,60,0,12,3,"ebola",0.854378117781278,0.541666666666667,-0.433391666666667,2.8053210218254,1.56095,-1,3.527962885458,4.5625,2,244,2e-04
"16","d37c0b2f26968c439e896cd0202065f4",4,21,116,0,12,4,"ebola",0.999805209897351,0.55,-0.555833333333333,5.32997989371739,3.602825,-1,8.01234553342708,9.22916666666667,2,244,2e-04
"17","d37c0b2f26968c439e896cd0202065f4",5,42,26,0,12,1,"ebola",0.999950000000015,0.708333333333333,0.192616666666667,1.90992277777778,-0.497608333333333,-0.833333333333333,0.898583333333333,1.46666666666667,3,244,0
"18","d37c0b2f26968c439e896cd0202065f4",5,42,60,0,12,2,"ebola",0.938349565906859,0.687103174603175,-0.0935416666666667,2.56568426917989,0.150483333333333,-1,3.16356911375661,4.3,3,244,0
"19","d37c0b2f26968c439e896cd0202065f4",5,42,116,0,12,3,"ebola",0.999940965859085,0.664691558441558,-0.229883333333333,3.67721790976385,0.964741666666667,-1,7.57530003676879,8.96666666666667,3,244,0
"20","d37c0b2f26968c439e896cd0202065f4",6,68,60,0,12,1,"ebola",0.999950000000015,0.770833333333333,-0.370925,1.72747628968254,1.34021666666667,-1,2.84840463534522,4.05555555555556,3,244,0
"21","d37c0b2f26968c439e896cd0202065f4",6,68,116,0,12,2,"ebola",0.997328931411921,0.690873015873016,-0.636308333333333,2.69988733266733,3.858175,-1,7.1815497013703,8.72222222222222,3,244,0
"22","d37c0b2f26968c439e896cd0202065f4",7,128,116,0,12,1,"ebola",0.996436330020615,0.758201058201058,-0.395916666666667,2.04290165386697,2.06914166666667,-1,6.29928138833326,8.14285714285714,3,244,0
