"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","d49e87b7ab1444d3dbeb46f3fc19bdbe",1,1,2,11,12,1,"ebola",0.159494286362098,1,-0.0433833333333333,0.247275,0.0227,0.666666666666667,0.0758101851851852,0.0833333333333333,2,93,0.4766
"2","d49e87b7ab1444d3dbeb46f3fc19bdbe",1,1,3,11,12,2,"ebola",0.0593008945066005,1,-0.0176666666666667,2.14619583333333,-0.231475,0.5,0.110243055555556,0.166666666666667,2,93,0.4766
"3","d49e87b7ab1444d3dbeb46f3fc19bdbe",1,1,5,11,12,3,"ebola",0.999633411189119,1,0.0829416666666666,52.7272041666667,-1.780325,0.5,0.244309413580247,0.333333333333333,2,93,0.4766
"4","d49e87b7ab1444d3dbeb46f3fc19bdbe",1,1,7,11,12,4,"ebola",NA,1,0.0541166666666667,2068.73556388889,-11.0402916666667,0.166666666666667,0.313175154320988,0.5,2,93,0.4766
"5","d49e87b7ab1444d3dbeb46f3fc19bdbe",2,3,3,4,12,1,"ebola",0.594398393067731,1,0.0350666666666667,0.582154166666667,-0.1071,0.5,0.107421875,0.125,2,93,0.1241
"6","d49e87b7ab1444d3dbeb46f3fc19bdbe",2,3,5,4,12,2,"ebola",0.981966617935946,0.958333333333333,0.180558333333333,4.09250555555556,-0.593433333333333,0.5,0.238932291666667,0.291666666666667,2,93,0.1241
"7","d49e87b7ab1444d3dbeb46f3fc19bdbe",2,3,7,4,12,3,"ebola",0.999949999874168,0.5,0.268825,80.4823722222222,-3.02805,0.166666666666667,0.300130208333333,0.458333333333333,2,93,0.1241
"8","d49e87b7ab1444d3dbeb46f3fc19bdbe",2,3,12,4,12,4,"ebola",0.999950000000015,0.388888888888889,0.238191666666667,2136.64779833333,-14.11215,-0.5,0.509375,0.875,2,93,0.1241
"9","d49e87b7ab1444d3dbeb46f3fc19bdbe",3,6,5,7,12,1,"ebola",0.999950000000015,1,0.070425,0.741486111111111,-0.04835,0.5,0.236496913580247,0.25,2,93,0.0726
"10","d49e87b7ab1444d3dbeb46f3fc19bdbe",3,6,7,7,12,2,"ebola",0.999950000000015,0.916666666666667,0.0607833333333334,1.63079166666667,-0.236583333333333,0.166666666666667,0.289737654320988,0.416666666666667,2,93,0.0726
"11","d49e87b7ab1444d3dbeb46f3fc19bdbe",3,6,12,7,12,3,"ebola",0.890997702625404,0.5,0.0212166666666666,6.86902,-0.756716666666667,-0.5,0.483333333333333,0.833333333333333,2,93,0.0726
"12","d49e87b7ab1444d3dbeb46f3fc19bdbe",3,6,18,7,12,4,"ebola",0.986890405996422,0.472222222222222,0.206666666666667,51.0067488095238,-2.605375,0,1.05625,1.33333333333333,2,93,0.0726
"13","d49e87b7ab1444d3dbeb46f3fc19bdbe",4,11,7,0,12,1,"ebola",0.870778414705111,1,-0.025925,0.772683333333333,0.0317416666666667,0.166666666666667,0.279122058256173,0.354166666666667,2,93,0.0173
"14","d49e87b7ab1444d3dbeb46f3fc19bdbe",4,11,12,0,12,2,"ebola",0.946533984035249,0.583333333333333,-0.0916833333333333,1.2046475,0.0687666666666667,-0.5,0.448177083333333,0.770833333333333,2,93,0.0173
"15","d49e87b7ab1444d3dbeb46f3fc19bdbe",4,11,18,0,12,3,"ebola",0.997034873772464,0.5,0.0940083333333333,3.85013797619048,-0.137341666666667,0,1.02911551339286,1.27083333333333,2,93,0.0173
"16","d49e87b7ab1444d3dbeb46f3fc19bdbe",4,11,45,0,12,4,"ebola",0.999949999832981,0.388888888888889,-0.329066666666667,6.04402876322751,0.723708333333333,-0.833333333333333,2.74052521953998,3.52083333333333,2,93,0.0173
"17","d49e87b7ab1444d3dbeb46f3fc19bdbe",5,18,12,1,12,1,"ebola",0.969209387208344,0.583333333333333,-0.0683083333333333,0.974549166666667,0.103083333333333,-0.5,0.414,0.7,2,93,4e-04
"18","d49e87b7ab1444d3dbeb46f3fc19bdbe",5,18,18,1,12,2,"ebola",0.938262750836896,0.5,0.112883333333333,2.5570525,0.00980000000000004,0,1.00453571428571,1.2,2,93,4e-04
"19","d49e87b7ab1444d3dbeb46f3fc19bdbe",5,18,45,1,12,3,"ebola",0.976816781789686,0.666666666666667,-0.346825,2.82005297619048,1.237025,-0.833333333333333,2.65208201058201,3.45,2,93,4e-04
"20","d49e87b7ab1444d3dbeb46f3fc19bdbe",6,30,18,0,12,1,"ebola",0.997207593717367,0.527777777777778,0.148841666666667,2.49139166666667,-0.0574083333333333,0,0.978348214285714,1.08333333333333,3,93,0
"21","d49e87b7ab1444d3dbeb46f3fc19bdbe",6,30,45,0,12,2,"ebola",0.999790567965716,0.673611111111111,-0.352641666666667,2.09820586640212,1.36116666666667,-0.833333333333333,2.51290968547913,3.33333333333333,3,93,0
"22","d49e87b7ab1444d3dbeb46f3fc19bdbe",7,48,45,0,12,1,"ebola",0.999505876107586,0.631944444444445,-0.461058333333333,1.79345578703704,1.66875833333333,-0.833333333333333,2.34077313465069,3.17857142857143,3,93,0
