"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","d8e9ae0352c826398a59473717b425dc",1,3,0,5,12,1,"ebola",0.252045436961154,0.75,0.508141666666667,2.18704166666667,-0.880675,1,0.0625,-0.25,2,141,0.0207
"2","d8e9ae0352c826398a59473717b425dc",1,3,3,5,12,2,"ebola",0.999950000000015,0.343055555555556,0.644125,38.2767083333333,-3.66020833333333,0.5,0.1171875,0,2,141,0.0207
"3","d8e9ae0352c826398a59473717b425dc",1,3,6,5,12,3,"ebola",0.999950000000015,0.184288165538166,0.763216666666667,1302.75499166667,-20.142875,0.333333333333333,0.258680555555556,0.25,2,141,0.0207
"4","d8e9ae0352c826398a59473717b425dc",1,3,9,5,12,4,"ebola",0.999950000000015,0.0882543845439442,0.794933333333333,53537.2761041667,-118.357333333333,-0.333333333333333,0.269965277777778,0.5,2,141,0.0207
"5","d8e9ae0352c826398a59473717b425dc",2,3,3,17,12,1,"ebola",0.999950000000015,1,-0.135341666666667,0.221325,0.127183333333333,0.5,0.107421875,0.125,2,141,0.5017
"6","d8e9ae0352c826398a59473717b425dc",2,3,6,17,12,2,"ebola",0.999950000000015,1,-0.218591666666667,0.442025,0.338016666666667,0.333333333333333,0.26953125,0.375,2,141,0.5017
"7","d8e9ae0352c826398a59473717b425dc",2,3,9,17,12,3,"ebola",0.9999411989909,1,-0.464508333333333,0.941979166666667,0.434441666666667,-0.333333333333333,0.326171875,0.625,2,141,0.5017
"8","d8e9ae0352c826398a59473717b425dc",2,3,18,17,12,4,"ebola",0.997484915786232,1,-0.596383333333333,5.72326611111111,0.816241666666667,-0.666666666666667,0.886328125,1.375,2,141,0.5017
"9","d8e9ae0352c826398a59473717b425dc",3,6,6,0,12,1,"ebola",0.441454565154928,1,-0.1273,0.479193055555556,0.221041666666667,0.333333333333333,0.263117283950617,0.333333333333333,2,141,0.1015
"10","d8e9ae0352c826398a59473717b425dc",3,6,9,0,12,2,"ebola",0.719983228394247,1,-0.259791666666667,0.755161111111111,0.212116666666667,-0.333333333333333,0.30516975308642,0.583333333333333,2,141,0.1015
"11","d8e9ae0352c826398a59473717b425dc",3,6,18,0,12,3,"ebola",0.789899748127791,0.958333333333333,-0.337258333333333,2.81287291666667,0.425191666666667,-0.666666666666667,0.851003086419753,1.33333333333333,2,141,0.1015
"12","d8e9ae0352c826398a59473717b425dc",3,6,39,0,12,4,"ebola",0.999881326233932,0.5,-0.549808333333333,8.93779305555556,0.882716666666667,-1,2.28070987654321,3.08333333333333,2,141,0.1015
"13","d8e9ae0352c826398a59473717b425dc",4,12,9,1,12,1,"ebola",0.937271186824181,0.666666666666667,-0.0311416666666667,0.891416666666667,-0.08645,-0.333333333333333,0.269965277777778,0.5,2,141,6e-04
"14","d8e9ae0352c826398a59473717b425dc",4,12,18,1,12,2,"ebola",0.604166369960688,0.555555555555556,0.0461833333333333,3.06249263888889,-0.323041666666667,-0.666666666666667,0.785590277777778,1.25,2,141,6e-04
"15","d8e9ae0352c826398a59473717b425dc",4,12,39,1,12,3,"ebola",0.999931362535495,0.533333333333333,-0.0944166666666667,8.11885218253968,-0.676533333333333,-1,2.16790674603175,3,2,141,6e-04
"16","d8e9ae0352c826398a59473717b425dc",4,12,63,1,12,4,"ebola",0.999950000000015,0.415079365079365,0.049725,64.8686339847884,-3.840225,-1,4.08001612103175,5,2,141,6e-04
"17","d8e9ae0352c826398a59473717b425dc",5,21,18,1,12,1,"ebola",0.999950000000015,0.527777777777778,-0.0348916666666667,1.59554375,0.05775,-0.666666666666667,0.7163125,1.15,3,141,0
"18","d8e9ae0352c826398a59473717b425dc",5,21,39,1,12,2,"ebola",0.999949262656692,0.625,-0.288641666666667,1.66859797619048,0.68815,-1,2.03744642857143,2.9,3,141,0
"19","d8e9ae0352c826398a59473717b425dc",5,21,63,1,12,3,"ebola",0.704244091330507,0.55,-0.166683333333333,4.18898656415344,0.504616666666667,-1,3.93493080357143,4.9,3,141,0
"20","d8e9ae0352c826398a59473717b425dc",6,39,39,1,12,1,"ebola",0.999941204618558,0.6875,-0.297625,1.27678444444444,0.798233333333333,-1,1.80234926146384,2.70833333333333,3,141,0
"21","d8e9ae0352c826398a59473717b425dc",6,39,63,1,12,2,"ebola",0.843955550134559,0.668055555555556,-0.27015,2.40219417989418,1.26279166666667,-1,3.66865785521384,4.70833333333333,3,141,0
"22","d8e9ae0352c826398a59473717b425dc",7,78,63,0,12,1,"ebola",0.999950000000015,0.726984126984127,-0.0474833333333333,2.51629325066138,0.129391666666667,-1,3.17843021137026,4.32142857142857,3,141,0
