"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","ddfae7c2046276281bbd3bf62f0cb12c",1,2,8,4,12,1,"ebola",0.999869988715157,1,-0.130116666666667,0.687810416666667,0.166041666666667,0,0.325810185185185,0.5,2,206,0.0971
"2","ddfae7c2046276281bbd3bf62f0cb12c",1,2,5,4,12,2,"ebola",0.795569483796003,0.583333333333333,0.364591666666667,16.2318263888889,-1.79511666666667,0.5,0.236496913580247,0.25,2,206,0.0971
"3","ddfae7c2046276281bbd3bf62f0cb12c",1,2,10,4,12,3,"ebola",NA,0.272222222222222,0.415125,493.203941666667,-11.0167666666667,-0.166666666666667,0.407407407407407,0.666666666666667,2,206,0.0971
"4","ddfae7c2046276281bbd3bf62f0cb12c",1,2,14,4,12,4,"ebola",0.999950000000015,0.118519443519444,0.499283333333333,16167.4255588889,-69.0444833333333,-0.333333333333333,0.65,1,2,206,0.0971
"5","ddfae7c2046276281bbd3bf62f0cb12c",2,10,5,0,12,1,"ebola",0.998216805787802,0.591666666666667,0.630291666666667,7.56325972222222,-1.85375833333333,0.5,0.283661265432099,-3.23656936032183e-17,3,206,0
"6","ddfae7c2046276281bbd3bf62f0cb12c",2,10,10,0,12,2,"ebola",0.999950000000015,0.553655603655604,0.9221,119.357177777778,-9.328775,-0.166666666666667,0.337962962962963,0.416666666666667,3,206,0
"7","ddfae7c2046276281bbd3bf62f0cb12c",2,10,14,0,12,3,"ebola",0.999950000000015,0.406303230703158,0.977733333333333,2565.75062055556,-46.2076416666667,-0.333333333333333,0.5375,0.75,3,206,0
"8","ddfae7c2046276281bbd3bf62f0cb12c",2,10,26,0,12,4,"ebola",0.999950000000015,0.274255149317623,0.984183333333333,67793.2220054167,-233.736275,-0.833333333333333,1.09151234567901,1.75,3,206,0
"9","ddfae7c2046276281bbd3bf62f0cb12c",3,15,10,1,12,1,"ebola",0.965473481872176,0.5,0.170591666666667,1.60758333333333,-0.402875,-0.166666666666667,0.337962962962963,0.416666666666667,2,206,6e-04
"10","ddfae7c2046276281bbd3bf62f0cb12c",3,15,14,1,12,2,"ebola",0.999501479035881,0.625,0.313175,3.61602361111111,-0.975375,-0.333333333333333,0.5375,0.75,2,206,6e-04
"11","ddfae7c2046276281bbd3bf62f0cb12c",3,15,26,1,12,3,"ebola",0.999950000000015,0.519444444444444,0.277233333333333,8.70702180555556,-2.03308333333333,-0.833333333333333,1.09151234567901,1.75,2,206,6e-04
"12","ddfae7c2046276281bbd3bf62f0cb12c",3,15,51,1,12,4,"ebola",0.999950000000015,0.44077380952381,0.203816666666667,34.5082482539683,-4.301325,-1,2.89650159832451,3.83333333333333,2,206,6e-04
"13","ddfae7c2046276281bbd3bf62f0cb12c",4,25,14,1,12,1,"ebola",0.993756812380223,0.5,0.074975,1.4694325,-0.150675,-0.333333333333333,0.512760416666667,0.645833333333333,3,206,1e-04
"14","ddfae7c2046276281bbd3bf62f0cb12c",4,25,26,1,12,2,"ebola",0.998103885185286,0.652777777777778,-0.0814833333333334,1.59261319444444,0.00445833333333334,-0.833333333333333,0.998775077160494,1.64583333333333,3,206,1e-04
"15","ddfae7c2046276281bbd3bf62f0cb12c",4,25,51,1,12,3,"ebola",0.999950000000015,0.544444444444445,-0.211516666666667,3.20329571428571,0.633575,-1,2.76132648878417,3.72916666666667,3,206,1e-04
"16","ddfae7c2046276281bbd3bf62f0cb12c",4,25,90,1,12,4,"ebola",0.999950000000015,0.553571428571429,-0.317941666666667,5.14809966269841,1.32060833333333,-1,5.78347495211916,6.97916666666667,2,206,1e-04
"17","ddfae7c2046276281bbd3bf62f0cb12c",5,39,26,0,12,1,"ebola",0.997029142011696,0.583333333333333,-0.234933333333333,1.1107225,0.433416666666667,-0.833333333333333,0.895166666666667,1.51666666666667,3,206,0
"18","ddfae7c2046276281bbd3bf62f0cb12c",5,39,51,0,12,2,"ebola",0.999950000000015,0.708333333333333,-0.369116666666667,1.99191361111111,1.41625,-1,2.60091517857143,3.6,3,206,0
"19","ddfae7c2046276281bbd3bf62f0cb12c",5,39,90,0,12,3,"ebola",0.999950000000015,0.601388888888889,-0.544025,2.79072714285714,3.0285,-1,5.58271651785714,6.85,3,206,0
"20","ddfae7c2046276281bbd3bf62f0cb12c",6,65,51,0,12,1,"ebola",0.999950000000015,0.759722222222222,-0.229775,1.94333452380952,0.8847,-1,2.31007514727856,3.34722222222222,3,206,0
"21","ddfae7c2046276281bbd3bf62f0cb12c",6,65,90,0,12,2,"ebola",0.999950000000015,0.699206349206349,-0.393741666666667,2.13154966269841,2.1035,-1,5.20340656308177,6.59722222222222,3,206,0
"22","ddfae7c2046276281bbd3bf62f0cb12c",7,116,90,0,12,1,"ebola",0.792492581658136,0.71957671957672,-0.191366666666667,1.9286730952381,1.10403333333333,-1,4.53500791851132,6.11904761904762,3,206,0
