"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",1,1,4,11,12,1,"ebola",0.474269608428333,1,-0.193475,0.3081,0.173125,0.333333333333333,0.144675925925926,0.25,2,284,0.4343
"2","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",1,1,11,11,12,2,"ebola",0.89539563284016,1,-0.387241666666667,1.47750972222222,0.360083333333333,-0.333333333333333,0.483506944444444,0.833333333333333,2,284,0.4343
"3","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",1,1,13,11,12,3,"ebola",0.999892448026672,1,-0.173658333333333,47.0945569444444,-1.53924166666667,-0.166666666666667,0.658323688271605,1,2,284,0.4343
"4","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",1,1,23,11,12,4,"ebola",NA,1,-0.3187,1817.55500069444,-12.2137833333333,-0.833333333333333,1.23737461419753,1.83333333333333,2,284,0.4343
"5","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",2,5,11,2,12,1,"ebola",0.843533000701271,0.708333333333333,-0.0954916666666667,0.937344444444444,0.0453666666666667,-0.333333333333333,0.412543402777778,0.708333333333333,2,284,0.0095
"6","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",2,5,13,2,12,2,"ebola",0.999949983799503,0.444444444444444,0.327816666666667,13.7335326388889,-1.90764166666667,-0.166666666666667,0.58934944058642,0.875,2,284,0.0095
"7","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",2,5,23,2,12,3,"ebola",NA,0.325859788359788,0.44595,338.5973025,-10.0567833333333,-0.833333333333333,1.10633439429012,1.70833333333333,2,284,0.0095
"8","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",2,5,44,2,12,4,"ebola",0.999950000000015,0.157304094397748,0.499133333333333,5454.56168230159,-50.6195083333333,-1,2.5970561893739,3.45833333333333,2,284,0.0095
"9","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",3,16,13,0,12,1,"ebola",0.999949848305734,0.640277777777778,0.449716666666667,4.68669513888889,-1.37340833333333,-0.166666666666667,0.512945816186557,0.638888888888889,3,284,0
"10","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",3,16,23,0,12,2,"ebola",0.999950000000015,0.602266714766715,0.738783333333333,34.6460123611111,-5.46161666666667,-0.833333333333333,0.894221536351166,1.47222222222222,3,284,0
"11","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",3,16,44,0,12,3,"ebola",0.999950000000015,0.515530781343811,0.870716666666667,193.246407837302,-19.4613333333333,-1,2.27371644130903,3.22222222222222,3,284,0
"12","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",3,16,73,0,12,4,"ebola",0.999950000000015,0.393239318719689,0.909991666666667,2640.79205693783,-69.8076833333333,-1,4.53459158011627,5.63888888888889,3,284,0
"13","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",4,29,23,0,12,1,"ebola",0.921518081216482,0.6875,0.158033333333333,2.45296041666667,-0.543433333333333,-0.833333333333333,0.776988691165123,1.3125,3,284,0
"14","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",4,29,44,0,12,2,"ebola",0.999446384003443,0.663690476190476,0.202816666666667,2.5553531547619,-1.00220833333333,-1,2.07001470871914,3.0625,3,284,0
"15","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",4,29,73,0,12,3,"ebola",0.999950000000015,0.626145382395382,0.292591666666667,11.0635536640212,-3.1727,-1,4.29453104906121,5.47916666666667,3,284,0
"16","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",4,29,115,0,12,4,"ebola",0.999950000000015,0.557461168790503,0.465833333333333,32.2254032008052,-9.15789166666667,-1,7.65770881422258,8.97916666666667,3,284,0
"17","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",5,52,44,0,12,1,"ebola",0.993230395443337,0.7625,-0.109408333333333,1.21157275793651,0.305925,-1,1.76158024691358,2.8,3,284,0
"18","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",5,52,73,0,12,2,"ebola",0.999949843034278,0.682539682539683,-0.198691666666667,2.56290117724868,0.63915,-1,3.9180658436214,5.21666666666667,3,284,0
"19","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",5,52,115,0,12,3,"ebola",0.999950000000015,0.680366161616162,-0.0722583333333333,3.56811605815889,0.293,-1,7.23280175307626,8.71666666666667,3,284,0
"20","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",6,96,73,0,12,1,"ebola",0.932939217374783,0.718650793650794,-0.155483333333333,2.25400859457672,0.459275,-1,3.3042695473251,4.75,3,284,0
"21","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",6,96,115,0,12,2,"ebola",0.999841281563242,0.76725912975913,0.0233333333333333,2.44601755752281,0.015225,-1,6.51479440584833,8.25,3,284,0
"22","e22f79f8d4fa4fd8ef510cf8bbbcb5f7",7,169,115,0,12,1,"ebola",0.999950000000015,0.80733941983942,0.0801416666666667,2.20970787224622,-0.222091666666667,-1,5.55612830914061,7.57142857142857,3,284,0
