"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e2749f689b8943da3364ba9ada8e1d5b",1,1,1,11,12,1,"ebola",0.685508398806186,1,0.0463,0.245729166666667,-0.0712333333333333,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,69,0.4462
"2","e2749f689b8943da3364ba9ada8e1d5b",1,1,5,11,12,2,"ebola",0.878429594425564,1,-0.0837666666666667,2.10444027777778,-0.112916666666667,0.333333333333333,0.211709104938272,0.333333333333333,2,69,0.4462
"3","e2749f689b8943da3364ba9ada8e1d5b",1,1,3,11,12,3,"ebola",0.999949999270837,1,0.18995,63.4446666666667,-2.26709166666667,0.666666666666667,0.142843364197531,0.166666666666667,2,69,0.4462
"4","e2749f689b8943da3364ba9ada8e1d5b",1,1,7,11,12,4,"ebola",NA,1,0.0823333333333333,2496.97864166667,-12.9632333333333,0.166666666666667,0.321325231481481,0.5,2,69,0.4462
"5","e2749f689b8943da3364ba9ada8e1d5b",2,2,5,8,12,1,"ebola",0.926911089853065,1,-0.208758333333333,0.342075,0.266633333333333,0.333333333333333,0.211709104938272,0.333333333333333,2,69,0.3957
"6","e2749f689b8943da3364ba9ada8e1d5b",2,2,3,8,12,2,"ebola",0.122378590507017,1,0.0345916666666666,0.931569444444444,-0.0859166666666667,0.666666666666667,0.142843364197531,0.166666666666667,2,69,0.3957
"7","e2749f689b8943da3364ba9ada8e1d5b",2,2,7,8,12,3,"ebola",0.944952815365652,1,-0.08645,15.44971875,-0.472925,0.166666666666667,0.321325231481481,0.5,2,69,0.3957
"8","e2749f689b8943da3364ba9ada8e1d5b",2,2,16,8,12,4,"ebola",0.999950000000015,1,-0.356558333333333,298.242485416667,-2.735275,-0.666666666666667,0.761622299382716,1.25,2,69,0.3957
"9","e2749f689b8943da3364ba9ada8e1d5b",3,7,3,1,12,1,"ebola",0.817609095668405,0.708333333333333,0.3712,1.53550277777778,-0.60905,0.666666666666667,0.149101937585734,0.0555555555555556,2,69,0.004
"10","e2749f689b8943da3364ba9ada8e1d5b",3,7,7,1,12,2,"ebola",0.999868088565139,0.5,0.519166666666667,11.6756791666667,-1.94535,0.166666666666667,0.29419045781893,0.388888888888889,2,69,0.004
"11","e2749f689b8943da3364ba9ada8e1d5b",3,7,16,1,12,3,"ebola",0.999950000000015,0.397619047619048,0.572608333333333,104.162143055556,-6.7597,-0.666666666666667,0.667700831618656,1.13888888888889,2,69,0.004
"12","e2749f689b8943da3364ba9ada8e1d5b",3,7,10,1,12,4,"ebola",0.999950000000015,0.272811216561217,0.809875,4394.8979625,-28.1027083333333,-0.166666666666667,0.405483753429355,0.638888888888889,2,69,0.004
"13","e2749f689b8943da3364ba9ada8e1d5b",4,10,7,0,12,1,"ebola",0.624957947289819,0.958333333333333,0.0353166666666667,0.868879166666667,-0.0191083333333333,0.166666666666667,0.292136863425926,0.375,2,69,0.0152
"14","e2749f689b8943da3364ba9ada8e1d5b",4,10,16,0,12,2,"ebola",0.914570253563549,0.5,-0.2206,1.13297569444444,0.231283333333333,-0.666666666666667,0.656840760030864,1.125,2,69,0.0152
"15","e2749f689b8943da3364ba9ada8e1d5b",4,10,10,0,12,3,"ebola",0.999586365084279,0.472222222222222,0.2924,7.90708819444444,-1.30503333333333,-0.166666666666667,0.400185667438272,0.625,2,69,0.0152
"16","e2749f689b8943da3364ba9ada8e1d5b",4,10,26,0,12,4,"ebola",0.999950000000015,0.340277777777778,0.101958333333333,34.0639262896825,-2.260175,-0.5,1.42035728064374,1.95833333333333,2,69,0.0152
"17","e2749f689b8943da3364ba9ada8e1d5b",5,17,16,0,12,1,"ebola",0.828328977451583,0.5,-0.257833333333333,0.821506944444444,0.372341666666667,-0.666666666666667,0.60157600308642,1.05,2,69,9e-04
"18","e2749f689b8943da3364ba9ada8e1d5b",5,17,10,0,12,2,"ebola",0.968110945777537,0.513888888888889,0.276958333333333,2.61863402777778,-0.716241666666667,-0.166666666666667,0.376066743827161,0.55,2,69,9e-04
"19","e2749f689b8943da3364ba9ada8e1d5b",5,17,26,0,12,3,"ebola",0.999949999930176,0.638888888888889,0.0428583333333333,5.27481986111111,-0.507591666666667,-0.5,1.35615663580247,1.88333333333333,2,69,9e-04
"20","e2749f689b8943da3364ba9ada8e1d5b",6,33,10,0,12,1,"ebola",0.999846721176243,0.611111111111111,0.472341666666667,3.29675069444444,-1.14953333333333,-0.166666666666667,0.349259741512346,0.375,3,69,0
"21","e2749f689b8943da3364ba9ada8e1d5b",6,33,26,0,12,2,"ebola",0.999950000000015,0.6875,0.36885,6.33953496031746,-1.50563333333333,-0.5,1.22644193672839,1.70833333333333,3,69,0
"22","e2749f689b8943da3364ba9ada8e1d5b",7,43,26,0,12,1,"ebola",0.999949928144894,0.583333333333333,-0.150025,1.97387621031746,0.430383333333333,-0.5,1.19235531845013,1.6547619047619,3,69,0
