"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e4e59d00077307d21e6040cef9075010",1,1,2,11,12,1,"ebola",0.911088757738119,1,-0.0317583333333333,0.281258333333333,0.00569166666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,155,0.4469
"2","e4e59d00077307d21e6040cef9075010",1,1,0,11,12,2,"ebola",0.0328963563270229,1,0.23595,3.24674166666667,-0.589491666666667,1,0.00694444444444444,-0.0833333333333333,2,155,0.4469
"3","e4e59d00077307d21e6040cef9075010",1,1,7,11,12,3,"ebola",0.999950000000015,1,-0.113283333333333,80.5550125,-2.361925,-0.166666666666667,0.247974537037037,0.5,2,155,0.4469
"4","e4e59d00077307d21e6040cef9075010",1,1,11,11,12,4,"ebola",0.999950000000015,1,0.0137583333333333,3082.66059833333,-15.9804166666667,0,0.56826774691358,0.833333333333333,2,155,0.4469
"5","e4e59d00077307d21e6040cef9075010",2,3,0,6,12,1,"ebola",0.176785484956638,1,0.286391666666667,0.623583333333333,-0.376183333333333,1,0.015625,-0.125,2,155,0.1209
"6","e4e59d00077307d21e6040cef9075010",2,3,7,6,12,2,"ebola",0.626299617267368,0.916666666666667,-0.00108333333333333,3.82521666666667,-0.485141666666667,-0.166666666666667,0.229817708333333,0.458333333333333,2,155,0.1209
"7","e4e59d00077307d21e6040cef9075010",2,3,11,6,12,3,"ebola",0.999950000000015,0.5,0.193775,90.5576211111111,-3.01608333333333,0,0.549088541666667,0.791666666666667,2,155,0.1209
"8","e4e59d00077307d21e6040cef9075010",2,3,16,6,12,4,"ebola",0.999950000000015,0.375,0.267758333333333,3863.46455416667,-16.0566,-0.166666666666667,0.874348958333333,1.20833333333333,2,155,0.1209
"9","e4e59d00077307d21e6040cef9075010",3,3,7,18,12,1,"ebola",0.887226636054076,1,-0.504716666666667,0.3138125,0.502075,-0.166666666666667,0.247974537037037,0.5,2,155,0.6297
"10","e4e59d00077307d21e6040cef9075010",3,3,11,18,12,2,"ebola",0.0623717691442982,1,-0.432883333333333,0.651646666666667,0.81555,0,0.56826774691358,0.833333333333333,2,155,0.6297
"11","e4e59d00077307d21e6040cef9075010",3,3,16,18,12,3,"ebola",0.236584075605664,1,-0.489908333333333,1.12317638888889,1.1478,-0.166666666666667,0.900173611111111,1.25,2,155,0.6297
"12","e4e59d00077307d21e6040cef9075010",3,3,42,18,12,4,"ebola",0.895973065097759,1,-0.9234,2.94115488095238,3.11565833333333,-1,2.63418761022928,3.41666666666667,2,155,0.6297
"13","e4e59d00077307d21e6040cef9075010",4,10,11,1,12,1,"ebola",0.449693952171264,0.625,0.0506583333333333,1.4142725,-0.0651916666666667,0,0.517992862654321,0.708333333333333,2,155,0.0016
"14","e4e59d00077307d21e6040cef9075010",4,10,16,1,12,2,"ebola",0.999846804705591,0.611111111111111,0.305358333333333,6.50123472222222,-1.122525,-0.166666666666667,0.829210069444444,1.125,2,155,0.0016
"15","e4e59d00077307d21e6040cef9075010",4,10,42,1,12,3,"ebola",0.999950000000015,0.45515873015873,0.128608333333333,17.8672345833333,-2.787675,-1,2.45762097663139,3.29166666666667,2,155,0.0016
"16","e4e59d00077307d21e6040cef9075010",4,10,76,1,12,4,"ebola",NA,0.337302281052281,0.232375,124.747727242827,-10.9732666666667,-1,5.14209125694586,6.125,2,155,0.0016
"17","e4e59d00077307d21e6040cef9075010",5,21,16,0,12,1,"ebola",0.932551070510833,0.583333333333333,0.2033,2.88079166666667,-0.4594,-0.166666666666667,0.772395833333333,0.983333333333333,3,155,0
"18","e4e59d00077307d21e6040cef9075010",5,21,42,0,12,2,"ebola",0.971458060486086,0.665277777777778,0.00195833333333331,2.94429013888889,-0.423425,-1,2.26719642857143,3.15,3,155,0
"19","e4e59d00077307d21e6040cef9075010",5,21,76,0,12,3,"ebola",0.999950000000015,0.575727513227513,0.12635,8.81265792022792,-2.20825833333333,-1,4.91471468635531,5.98333333333333,3,155,0
"20","e4e59d00077307d21e6040cef9075010",6,37,42,1,12,1,"ebola",0.999923749153129,0.701388888888889,-0.315675,1.38927573412698,0.8889,-1,2.05973860351754,2.98611111111111,3,155,0
"21","e4e59d00077307d21e6040cef9075010",6,37,76,1,12,2,"ebola",0.718766374060495,0.656746031746032,-0.376891666666667,1.86129420075295,1.53645,-1,4.65940276880791,5.81944444444444,3,155,0
"22","e4e59d00077307d21e6040cef9075010",7,79,76,0,12,1,"ebola",0.999580053155955,0.714484126984127,-0.1047,1.62359552960928,0.362258333333333,-1,4.0337399699866,5.39285714285714,3,155,0
