"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","ec09d4c936cf8e74e739470482ab5569",1,1,1,11,12,1,"ebola",0.15862795948397,1,0.050325,0.2606375,-0.0779416666666667,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,89,0.4376
"2","ec09d4c936cf8e74e739470482ab5569",1,1,4,11,12,2,"ebola",0.31395710963326,1,-0.063075,2.55306666666667,-0.244375,0.333333333333333,0.144675925925926,0.25,2,89,0.4376
"3","ec09d4c936cf8e74e739470482ab5569",1,1,4,11,12,3,"ebola",0.999950000000015,1,0.12605,80.5938027777778,-2.50959166666667,0.5,0.177276234567901,0.25,2,89,0.4376
"4","ec09d4c936cf8e74e739470482ab5569",1,1,5,11,12,4,"ebola",0.999950000000015,1,0.155566666666667,3350.93747916667,-15.4742083333333,0.333333333333333,0.211709104938272,0.333333333333333,2,89,0.4376
"5","ec09d4c936cf8e74e739470482ab5569",2,2,4,8,12,1,"ebola",0.999950000000015,1,-0.19755,0.278591666666667,0.184225,0.333333333333333,0.144675925925926,0.25,2,89,0.4044
"6","ec09d4c936cf8e74e739470482ab5569",2,2,4,8,12,2,"ebola",0.999950000000003,1,-0.0473,0.838772222222222,0.001775,0.5,0.177276234567901,0.25,2,89,0.4044
"7","ec09d4c936cf8e74e739470482ab5569",2,2,5,8,12,3,"ebola",0.991150127199131,1,-0.00785833333333331,9.21450833333333,-0.571341666666667,0.333333333333333,0.211709104938272,0.333333333333333,2,89,0.4044
"8","ec09d4c936cf8e74e739470482ab5569",2,2,12,8,12,4,"ebola",0.998365902206754,1,-0.203491666666667,162.949479166667,-2.48093333333333,-0.333333333333333,0.558690200617284,0.916666666666667,2,89,0.4044
"9","ec09d4c936cf8e74e739470482ab5569",3,6,4,0,12,1,"ebola",0.998840289665536,1,0.143033333333333,0.818456944444444,-0.213683333333333,0.5,0.172067901234568,0.166666666666667,2,89,0.0275
"10","ec09d4c936cf8e74e739470482ab5569",3,6,5,0,12,2,"ebola",0.915097484437409,0.5,0.323991666666667,3.09471388888889,-0.823175,0.333333333333333,0.198688271604938,0.25,2,89,0.0275
"11","ec09d4c936cf8e74e739470482ab5569",3,6,12,0,12,3,"ebola",0.998503130994309,0.402777777777778,0.28405,18.0852472222222,-2.09591666666667,-0.333333333333333,0.507908950617284,0.833333333333333,2,89,0.0275
"12","ec09d4c936cf8e74e739470482ab5569",3,6,23,0,12,4,"ebola",0.999950000000015,0.254166666666667,0.235016666666667,152.717198611111,-6.5653,-1,1.09375,1.75,2,89,0.0275
"13","ec09d4c936cf8e74e739470482ab5569",4,10,5,0,12,1,"ebola",0.745660748842805,1,0.107083333333333,0.781508333333333,-0.160783333333333,0.333333333333333,0.196445794753086,0.208333333333333,2,89,0.0132
"14","ec09d4c936cf8e74e739470482ab5569",4,10,12,0,12,2,"ebola",0.971569691674774,0.5,-0.0222333333333333,1.44518888888889,-0.0818583333333333,-0.333333333333333,0.485737364969136,0.791666666666667,2,89,0.0132
"15","ec09d4c936cf8e74e739470482ab5569",4,10,23,0,12,3,"ebola",0.998246324709398,0.458333333333333,-0.167925,2.88329444444444,-0.163191666666667,-1,1.04752604166667,1.70833333333333,2,89,0.0132
"16","ec09d4c936cf8e74e739470482ab5569",4,10,39,0,12,4,"ebola",0.999950000000015,0.354166666666667,-0.165908333333333,14.583407718254,-1.00053333333333,-1,2.22485790757275,3.04166666666667,2,89,0.0132
"17","ec09d4c936cf8e74e739470482ab5569",5,15,12,0,12,1,"ebola",0.980042887128555,0.75,-0.185541666666667,0.809595833333333,0.294733333333333,-0.333333333333333,0.465711805555556,0.75,2,89,0.0044
"18","ec09d4c936cf8e74e739470482ab5569",5,15,23,0,12,2,"ebola",0.934666757228477,0.5,-0.454875,0.890567361111111,0.787341666666667,-1,1.00260416666667,1.66666666666667,2,89,0.0044
"19","ec09d4c936cf8e74e739470482ab5569",5,15,39,0,12,3,"ebola",0.835801041839905,0.541666666666667,-0.509541666666667,1.83918613095238,1.38315833333333,-1,2.16899181547619,3,2,89,0.0044
"20","ec09d4c936cf8e74e739470482ab5569",6,27,23,0,12,1,"ebola",0.998313182050388,0.541666666666667,-0.27535,0.822671527777778,0.436741666666667,-1,0.875651041666667,1.54166666666667,3,89,0
"21","ec09d4c936cf8e74e739470482ab5569",6,27,39,0,12,2,"ebola",0.816977870894412,0.666666666666667,-0.275666666666667,1.56052380952381,0.697408333333333,-1,2.00698009672619,2.875,3,89,0
"22","ec09d4c936cf8e74e739470482ab5569",7,50,39,0,12,1,"ebola",0.979152176462591,0.730555555555556,-0.0840916666666666,1.56711672619048,0.164208333333333,-1,1.74191991280639,2.6547619047619,3,89,0
