"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","f6b181f37969f2ef6536753751407316",1,1,2,11,12,1,"ebola",0.79282778049037,1,-0.02605,0.271895833333333,0.00109999999999999,0.666666666666667,0.0758101851851852,0.0833333333333333,2,149,0.4356
"2","f6b181f37969f2ef6536753751407316",1,1,2,11,12,2,"ebola",0.468489357166258,1,0.0950333333333333,3.06379166666667,-0.435458333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,149,0.4356
"3","f6b181f37969f2ef6536753751407316",1,1,4,11,12,3,"ebola",0.999950000000015,1,0.1479,86.4629013888889,-2.6419,0.5,0.177276234567901,0.25,2,149,0.4356
"4","f6b181f37969f2ef6536753751407316",1,1,11,11,12,4,"ebola",0.999950000000015,1,0.0389166666666667,2635.3618,-15.6989,0,0.565007716049383,0.833333333333333,2,149,0.4356
"5","f6b181f37969f2ef6536753751407316",2,3,2,1,12,1,"ebola",0.034284755143691,1,0.1104,0.579954166666667,-0.186308333333333,0.666666666666667,0.0768229166666667,0.0416666666666667,2,149,0.0861
"6","f6b181f37969f2ef6536753751407316",2,3,4,1,12,2,"ebola",0.897879300353939,0.75,0.278433333333333,4.79421388888889,-0.852266666666667,0.5,0.173177083333333,0.208333333333333,2,149,0.0861
"7","f6b181f37969f2ef6536753751407316",2,3,11,1,12,3,"ebola",0.999950000000015,0.444444444444444,0.278208333333333,84.1690347222222,-3.66030833333333,0,0.545572916666667,0.791666666666667,2,149,0.0861
"8","f6b181f37969f2ef6536753751407316",2,3,23,1,12,4,"ebola",NA,0.265277777777778,0.234308333333333,2748.48559305556,-18.7252916666667,-0.5,1.28190104166667,1.79166666666667,2,149,0.0861
"9","f6b181f37969f2ef6536753751407316",3,5,4,6,12,1,"ebola",0.193485055761751,1,0.0510666666666667,0.596606944444444,-0.0607833333333333,0.5,0.172475137174211,0.194444444444444,2,149,0.0973
"10","f6b181f37969f2ef6536753751407316",3,5,11,6,12,2,"ebola",0.596235920038285,1,-0.105383333333333,1.34230208333333,0.201866666666667,0,0.53963048696845,0.777777777777778,2,149,0.0973
"11","f6b181f37969f2ef6536753751407316",3,5,23,6,12,3,"ebola",0.99745709440511,0.625,-0.269533333333333,5.21277708333333,0.313641666666667,-0.5,1.26940800754458,1.77777777777778,2,149,0.0973
"12","f6b181f37969f2ef6536753751407316",3,5,31,6,12,4,"ebola",0.999950000000015,0.5,-0.256025,39.0742056944444,-1.352,-0.833333333333333,1.76673525377229,2.44444444444444,2,149,0.0973
"13","f6b181f37969f2ef6536753751407316",4,9,11,1,12,1,"ebola",0.609033073639931,1,-0.189083333333333,0.7889125,0.443241666666667,0,0.520941840277778,0.729166666666667,2,149,0.0204
"14","f6b181f37969f2ef6536753751407316",4,9,23,1,12,2,"ebola",0.808042822806034,0.625,-0.396308333333333,1.50971597222222,1.00611666666667,-0.5,1.22715928819444,1.72916666666667,2,149,0.0204
"15","f6b181f37969f2ef6536753751407316",4,9,31,1,12,3,"ebola",0.999833937257465,0.5,-0.408333333333333,3.02799208333333,0.843208333333333,-0.833333333333333,1.70972222222222,2.39583333333333,2,149,0.0204
"16","f6b181f37969f2ef6536753751407316",4,9,75,1,12,4,"ebola",0.999950000000015,0.375,-0.6122,7.42932888858826,2.67730833333333,-1,5.10252250462211,6.0625,2,149,0.0204
"17","f6b181f37969f2ef6536753751407316",5,20,23,0,12,1,"ebola",0.999949984942755,0.555555555555556,-0.133158333333333,1.8017625,0.340658333333333,-0.5,1.1141975308642,1.58333333333333,3,149,0
"18","f6b181f37969f2ef6536753751407316",5,20,31,0,12,2,"ebola",0.924213221355764,0.643055555555556,0.119866666666667,4.19416902777778,-0.748841666666667,-0.833333333333333,1.54876543209877,2.25,3,149,0
"19","f6b181f37969f2ef6536753751407316",5,20,75,0,12,3,"ebola",0.999950000000015,0.566931216931217,-0.0662333333333333,6.50416407377345,-0.7022,-1,4.87016995350329,5.91666666666667,3,149,0
"20","f6b181f37969f2ef6536753751407316",6,43,31,0,12,1,"ebola",0.968466118923626,0.7125,0.312258333333333,4.21788236111111,-1.20938333333333,-0.833333333333333,1.29595336076818,1.98611111111111,3,149,0
"21","f6b181f37969f2ef6536753751407316",6,43,75,0,12,2,"ebola",0.999950000000015,0.703066378066378,0.156216666666667,4.40219384469697,-1.3792,-1,4.46716735045005,5.65277777777778,3,149,0
"22","f6b181f37969f2ef6536753751407316",7,74,75,0,12,1,"ebola",0.999524250344053,0.748412698412698,-0.404066666666667,1.89557936808562,1.59603333333333,-1,4.05893303990668,5.36904761904762,3,149,0
