"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","fe73420e7f66f55fe0f6687fc22d4ff3",1,1,2,11,12,1,"ebola",0.299812523458285,1,-0.03785,0.236808333333333,0.0191583333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,232,0.4532
"2","fe73420e7f66f55fe0f6687fc22d4ff3",1,1,3,11,12,2,"ebola",0.663043372441919,1,-0.01055,2.16032916666667,-0.23705,0.5,0.110243055555556,0.166666666666667,2,232,0.4532
"3","fe73420e7f66f55fe0f6687fc22d4ff3",1,1,8,11,12,3,"ebola",0.99992289980896,1,-0.1077,56.9831958333333,-1.601575,0,0.347608024691358,0.583333333333333,2,232,0.4532
"4","fe73420e7f66f55fe0f6687fc22d4ff3",1,1,22,11,12,4,"ebola",0.999950000000015,1,-0.363033333333333,1323.72977083333,-10.3817333333333,-0.833333333333333,1.1556712962963,1.75,2,232,0.4532
"5","fe73420e7f66f55fe0f6687fc22d4ff3",2,3,3,0,12,1,"ebola",0.375552224464959,1,0.0178833333333333,0.534108333333333,-0.082075,0.5,0.107421875,0.125,2,232,0.0728
"6","fe73420e7f66f55fe0f6687fc22d4ff3",2,3,8,0,12,2,"ebola",0.770868493526359,0.75,0.0678,4.17894722222222,-0.538383333333333,0,0.330729166666667,0.541666666666667,2,232,0.0728
"7","fe73420e7f66f55fe0f6687fc22d4ff3",2,3,22,0,12,3,"ebola",0.999950000000015,0.430555555555556,-0.0342833333333333,54.7214444444444,-2.926775,-0.833333333333333,1.11067708333333,1.70833333333333,2,232,0.0728
"8","fe73420e7f66f55fe0f6687fc22d4ff3",2,3,38,0,12,4,"ebola",NA,0.233333333333333,0.092025,1219.22459767857,-18.7061416666667,-1,2.29853050595238,3.04166666666667,2,232,0.0728
"9","fe73420e7f66f55fe0f6687fc22d4ff3",3,6,8,3,12,1,"ebola",0.998815497120793,1,-0.0798166666666667,0.8578,0.0626166666666666,0,0.316358024691358,0.5,2,232,0.0302
"10","fe73420e7f66f55fe0f6687fc22d4ff3",3,6,22,3,12,2,"ebola",0.968322915289827,0.5,-0.374058333333333,1.75857916666667,0.545716666666667,-0.833333333333333,1.06712962962963,1.66666666666667,2,232,0.0302
"11","fe73420e7f66f55fe0f6687fc22d4ff3",3,6,38,3,12,3,"ebola",0.999910858050774,0.416666666666667,-0.2729,9.6299906547619,-0.140108333333333,-1,2.24400720164609,3,2,232,0.0302
"12","fe73420e7f66f55fe0f6687fc22d4ff3",3,6,57,3,12,4,"ebola",0.999950000000015,0.273611111111111,-0.20675,116.215489781746,-4.69924166666667,-1,3.6880787037037,4.58333333333333,2,232,0.0302
"13","fe73420e7f66f55fe0f6687fc22d4ff3",4,14,22,1,12,1,"ebola",0.999950000000015,0.5,-0.354458333333333,0.989584722222222,0.650208333333333,-0.833333333333333,0.945167824074074,1.54166666666667,3,232,3e-04
"14","fe73420e7f66f55fe0f6687fc22d4ff3",4,14,38,1,12,2,"ebola",0.994491462891552,0.625,-0.2464,1.79933103835979,0.774175,-1,2.08672311324221,2.875,3,232,3e-04
"15","fe73420e7f66f55fe0f6687fc22d4ff3",4,14,57,1,12,3,"ebola",0.972081132484604,0.491666666666667,-0.12735,5.65473410714286,-0.3728,-1,3.49935412533069,4.45833333333333,2,232,3e-04
"16","fe73420e7f66f55fe0f6687fc22d4ff3",4,14,101,1,12,4,"ebola",0.999950000000015,0.394909951159951,-0.0681416666666667,34.0332514069264,-3.05053333333333,-1,7.05061089566298,8.125,2,232,3e-04
"17","fe73420e7f66f55fe0f6687fc22d4ff3",5,36,38,0,12,1,"ebola",0.979765529065512,0.729166666666667,0.141133333333333,1.88598041666667,-0.341008333333333,-1,1.73906878306878,2.56666666666667,3,232,0
"18","fe73420e7f66f55fe0f6687fc22d4ff3",5,36,57,0,12,2,"ebola",0.999950000000015,0.695625901875902,0.470233333333333,5.37999218253968,-2.75095,-1,3.06047619047619,4.15,3,232,0
"19","fe73420e7f66f55fe0f6687fc22d4ff3",5,36,101,0,12,3,"ebola",0.999950000000015,0.647362822362822,0.540033333333333,26.433685159632,-7.9049,-1,6.55005772005772,7.81666666666667,3,232,0
"20","fe73420e7f66f55fe0f6687fc22d4ff3",6,74,57,0,12,1,"ebola",0.999305442746922,0.740343915343915,0.314366666666667,2.41546840277778,-1.25815,-1,2.51437343841858,3.72222222222222,3,232,0
"21","fe73420e7f66f55fe0f6687fc22d4ff3",6,74,101,0,12,2,"ebola",0.999950000000015,0.761937000907589,0.429933333333333,8.92745289652477,-3.84926666666667,-1,5.89660521662836,7.38888888888889,3,232,0
"22","fe73420e7f66f55fe0f6687fc22d4ff3",7,131,101,0,12,1,"ebola",0.992720191203041,0.789267676767677,0.10275,3.61983500330688,-0.398241666666667,-1,5.15078265854201,6.85714285714286,3,232,0
