"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",1,0.920719361316923,NA,0.0757000000000001,-0.348395768972532,0.311769145362398,103530138.4823
"2","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",2,0.929693794756954,NA,0.0678000000000001,-0.348395768972532,0.289654967159205,103530138.4823
"3","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",3,0.930158757885428,NA,0.0647,-0.348395768972532,0.300998338865848,103530138.4823
"4","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",4,0.924132333057885,NA,0.0688,-0.348395768972532,0.323573793747269,103530138.4823
"5","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",5,0.996315532296878,NA,-0.9165,-0.348395768972532,0.979591751700677,103530138.4823
"6","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",6,0.906830251668859,NA,0.0719000000000001,-0.348395768972532,0.429883705204094,103530138.4823
"7","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",7,0.892614930454916,NA,0.0757000000000001,-0.348395768972532,0.524022900262956,103530138.4823
"8","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",8,0.86996699920606,NA,0.0809,-0.348395768972532,0.669552089086428,103530138.4823
"9","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",9,0.837863566690485,NA,0.0928,-0.348395768972532,0.850940655980192,103530138.4823
"10","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",10,0.810989639433092,NA,0.0919000000000001,-0.348395768972532,1.11628849317728,103530138.4823
"11","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",11,0.76506077795826,NA,0.0980000000000001,-0.348395768972532,1.55788317918899,103530138.4823
"12","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",12,0.955478534866384,NA,-0.8455,-0.348395768972532,2.24024552225867,103530138.4823
"13","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",13,0.650639209553311,NA,0.1106,-0.348395768972532,3.01134521435188,103530138.4823
"14","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",14,0.577758105789784,NA,0.1166,-0.348395768972532,4.35899070886828,103530138.4823
"15","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",15,0.488605433339651,NA,0.1212,-0.348395768972532,6.19753176676005,103530138.4823
"16","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",16,0.387321570290958,NA,0.1242,-0.348395768972532,9.36035789914039,103530138.4823
"17","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",17,0.286390217858774,NA,0.1242,-0.348395768972532,13.7006204239078,103530138.4823
"18","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",18,0.493960145648562,NA,-0.7883,-0.348395768972532,20.1993638513692,103530138.4823
"19","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",19,0.0962506069365345,NA,0.1361,-0.348395768972532,31.1855735877986,103530138.4823
"20","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",20,0.173167958677061,NA,-0.7668,-0.348395768972532,46.7713523430743,103530138.4823
"21","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",21,0.0124653809612339,NA,0.1404,-0.348395768972532,69.7705568273609,103530138.4823
"22","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",22,0.00208288776411682,NA,0.14,-0.348395768972532,106.657049462284,103530138.4823
"23","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",23,0.00157128302261805,NA,-0.7439,-0.348395768972532,162.392192546317,103530138.4823
"24","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",24,4.13675042432491e-06,NA,0.1484,-0.348395768972532,246.490349101136,103530138.4823
"25","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",25,3.77124108488584e-07,NA,-0.7368,-0.348395768972532,375.793958573046,103530138.4823
"26","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",26,2.17538676701554e-10,NA,-0.7288,-0.348395768972532,570.28790255449,103530138.4823
"27","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",27,8.72198265613014e-17,NA,0.1558,-0.348395768972532,872.591077481314,103530138.4823
"28","f439ad39124848b4f0ebf2dd6dbd76cf",10,10,"ebola",28,4.29281301221716e-24,NA,0.1562,-0.348395768972532,1331.37277338092,103530138.4823
