"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","02a9bfe4aae2a0ae3e6e002c01b77d6b",1,1,1,8,9,1,"sars",0.94797641650464,1,-0.0601333333333333,0.103211111111111,0.0581888888888889,0.777777777777778,0.0548696844993141,0,2,41,0.2618
"2","02a9bfe4aae2a0ae3e6e002c01b77d6b",1,1,2,8,9,2,"sars",0.592810688438907,1,-0.0916444444444444,0.231483333333333,0.0810333333333333,0.555555555555556,0.0973936899862826,0.111111111111111,2,41,0.2618
"3","02a9bfe4aae2a0ae3e6e002c01b77d6b",1,1,2,8,9,3,"sars",0.433585209527771,1,-0.0195555555555556,0.358811111111111,-0.0143666666666667,0.555555555555556,0.0973936899862826,0.111111111111111,2,41,0.2618
"4","02a9bfe4aae2a0ae3e6e002c01b77d6b",1,1,5,8,9,4,"sars",0.289802127663954,1,-0.211977777777778,0.630655555555556,0.129211111111111,-0.111111111111111,0.224965706447188,0.444444444444444,2,41,0.2618
"5","02a9bfe4aae2a0ae3e6e002c01b77d6b",2,2,2,3,9,1,"sars",0.725092994588306,1,-0.0591,0.270494444444444,0.0437111111111111,0.555555555555556,0.0973936899862826,0.111111111111111,2,41,0.0626
"6","02a9bfe4aae2a0ae3e6e002c01b77d6b",2,2,2,3,9,2,"sars",0.243457100355751,1,0.0638222222222222,0.468622222222222,-0.114755555555556,0.555555555555556,0.0973936899862826,0.111111111111111,2,41,0.0626
"7","02a9bfe4aae2a0ae3e6e002c01b77d6b",2,2,5,3,9,3,"sars",0.3824216555815,1,-0.0587666666666667,0.781883333333333,-0.0632555555555556,-0.111111111111111,0.224965706447188,0.444444444444444,2,41,0.0626
"8","02a9bfe4aae2a0ae3e6e002c01b77d6b",2,2,6,3,9,4,"sars",0.950287967489106,0.555555555555556,0.173433333333333,2.26518518518519,-0.502311111111111,0.111111111111111,0.35893918609968,0.555555555555556,2,41,0.0626
"9","02a9bfe4aae2a0ae3e6e002c01b77d6b",3,4,2,4,9,1,"sars",0.999932795867049,1,0.0898666666666667,0.49825,-0.144155555555556,0.555555555555556,0.0976985215668343,0.0740740740740741,2,41,0.0079
"10","02a9bfe4aae2a0ae3e6e002c01b77d6b",3,4,5,4,9,2,"sars",0.98869225807278,0.833333333333333,0.00659999999999998,0.793522222222222,-0.1311,-0.111111111111111,0.211324493217497,0.407407407407407,2,41,0.0079
"11","02a9bfe4aae2a0ae3e6e002c01b77d6b",3,4,6,4,9,3,"sars",0.826468217567637,0.5,0.254188888888889,2.18523518518519,-0.597433333333333,0.111111111111111,0.346847533404461,0.518518518518518,2,41,0.0079
"12","02a9bfe4aae2a0ae3e6e002c01b77d6b",3,4,8,4,9,4,"sars",0.906827827166317,0.555555555555556,0.401222222222222,5.29462037037037,-1.47421111111111,-0.333333333333333,0.422598181171569,0.740740740740741,2,41,0.0079
"13","02a9bfe4aae2a0ae3e6e002c01b77d6b",4,6,5,1,9,1,"sars",0.375539354513649,1,-0.0703222222222222,0.62505,-0.00997777777777778,-0.111111111111111,0.205246913580247,0.388888888888889,2,41,0.0032
"14","02a9bfe4aae2a0ae3e6e002c01b77d6b",4,6,6,1,9,2,"sars",0.748236004337612,0.555555555555556,0.1054,1.25389074074074,-0.218311111111111,0.111111111111111,0.34156378600823,0.5,2,41,0.0032
"15","02a9bfe4aae2a0ae3e6e002c01b77d6b",4,6,8,1,9,3,"sars",0.990676710641743,0.5,0.207455555555556,2.23829444444444,-0.632811111111111,-0.333333333333333,0.412551440329218,0.722222222222222,2,41,0.0032
"16","02a9bfe4aae2a0ae3e6e002c01b77d6b",4,6,16,1,9,4,"sars",0.999283972171834,0.574074074074074,0.179211111111111,4.9543437037037,-0.951877777777778,-0.555555555555556,1.10987654320988,1.61111111111111,2,41,0.0032
"17","02a9bfe4aae2a0ae3e6e002c01b77d6b",5,11,6,1,9,1,"sars",0.959287154764201,0.611111111111111,0.0887555555555556,1.11566851851852,-0.170944444444444,0.111111111111111,0.324919981710105,0.422222222222222,2,41,0
"18","02a9bfe4aae2a0ae3e6e002c01b77d6b",5,11,8,1,9,2,"sars",0.978446422320172,0.5,0.199266666666667,1.65645740740741,-0.493411111111111,-0.333333333333333,0.375070873342478,0.644444444444444,2,41,0
"19","02a9bfe4aae2a0ae3e6e002c01b77d6b",5,11,16,1,9,3,"sars",0.99874210523121,0.675925925925926,0.169822222222222,3.1000837037037,-0.6082,-0.555555555555556,1.04600274348422,1.53333333333333,3,41,0
"20","02a9bfe4aae2a0ae3e6e002c01b77d6b",6,17,8,1,9,1,"sars",0.999850666528566,0.5,0.0921888888888889,1.22787222222222,-0.251244444444444,-0.333333333333333,0.347723924198547,0.574074074074074,2,41,0
"21","02a9bfe4aae2a0ae3e6e002c01b77d6b",6,17,16,1,9,2,"sars",0.941752425034022,0.592592592592593,0.0122777777777778,1.91090592592593,-0.0434,-0.555555555555556,0.993308946806889,1.46296296296296,3,41,0
"22","02a9bfe4aae2a0ae3e6e002c01b77d6b",7,25,16,0,9,1,"sars",0.994984808753465,0.537037037037037,-0.0816888888888889,1.58599444444444,0.213033333333333,-0.555555555555556,0.938008454410571,1.38095238095238,3,41,0
