"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","037d767b2518ebe5e5baadeafe639bf7",1,1,1,8,9,1,"sars",0.366168558063948,1,-0.0592444444444444,0.103938888888889,0.0572111111111111,0.777777777777778,0.0548696844993141,0,2,36,0.2586
"2","037d767b2518ebe5e5baadeafe639bf7",1,1,1,8,9,2,"sars",0.521139601536155,1,0.0171444444444444,0.197877777777778,-0.0292222222222222,0.777777777777778,0.0548696844993141,0,2,36,0.2586
"3","037d767b2518ebe5e5baadeafe639bf7",1,1,1,8,9,3,"sars",0.718596928431423,1,0.0918666666666666,0.360527777777778,-0.132277777777778,0.777777777777778,0.0548696844993141,0,2,36,0.2586
"4","037d767b2518ebe5e5baadeafe639bf7",1,1,3,8,9,4,"sars",0.332638739043183,1,0.0694666666666666,0.779737037037037,-0.104388888888889,0.555555555555556,0.185642432556013,0.222222222222222,2,36,0.2586
"5","037d767b2518ebe5e5baadeafe639bf7",2,2,1,3,9,1,"sars",0.416076038029639,1,0.0442666666666667,0.227172222222222,-0.0590222222222222,0.777777777777778,0.0548696844993141,0,2,36,0.0746
"6","037d767b2518ebe5e5baadeafe639bf7",2,2,1,3,9,2,"sars",0.724361949631017,1,0.157255555555556,0.448522222222222,-0.209111111111111,0.777777777777778,0.0548696844993141,0,2,36,0.0746
"7","037d767b2518ebe5e5baadeafe639bf7",2,2,3,3,9,3,"sars",0.72574959682152,1,0.175311111111111,0.956314814814815,-0.258977777777778,0.555555555555556,0.185642432556013,0.222222222222222,2,36,0.0746
"8","037d767b2518ebe5e5baadeafe639bf7",2,2,7,3,9,4,"sars",0.916649205969792,0.555555555555556,0.0211222222222222,1.73967962962963,-0.319566666666667,-0.333333333333333,0.355738454503887,0.666666666666667,2,36,0.0746
"9","037d767b2518ebe5e5baadeafe639bf7",3,3,1,2,9,1,"sars",0.132453027452494,1,0.122066666666667,0.354022222222222,-0.155611111111111,0.777777777777778,0.0548696844993141,0,2,36,0.0374
"10","037d767b2518ebe5e5baadeafe639bf7",3,3,3,2,9,2,"sars",0.119280225262211,1,0.1006,0.645922222222222,-0.104822222222222,0.555555555555556,0.185642432556013,0.222222222222222,2,36,0.0374
"11","037d767b2518ebe5e5baadeafe639bf7",3,3,7,2,9,3,"sars",0.97534808847022,0.833333333333333,-0.105166666666667,0.992348148148148,-0.00679999999999999,-0.333333333333333,0.355738454503887,0.666666666666667,2,36,0.0374
"12","037d767b2518ebe5e5baadeafe639bf7",3,3,4,2,9,4,"sars",0.912342399885234,0.5,0.321555555555556,3.72802222222222,-0.991155555555556,0.111111111111111,0.182441700960219,0.333333333333333,2,36,0.0374
"13","037d767b2518ebe5e5baadeafe639bf7",4,4,3,3,9,1,"sars",0.556757900081729,1,0.00896666666666669,0.461455555555556,0.0374666666666667,0.555555555555556,0.185642432556013,0.222222222222222,2,36,0.0387
"14","037d767b2518ebe5e5baadeafe639bf7",4,4,7,3,9,2,"sars",0.605762491633236,1,-0.324966666666667,0.557668518518519,0.355888888888889,-0.333333333333333,0.355738454503887,0.666666666666667,2,36,0.0387
"15","037d767b2518ebe5e5baadeafe639bf7",4,4,4,3,9,3,"sars",0.515167393601933,1,0.0627555555555556,1.10348333333333,-0.247077777777778,0.111111111111111,0.182441700960219,0.333333333333333,2,36,0.0387
"16","037d767b2518ebe5e5baadeafe639bf7",4,4,18,3,9,4,"sars",0.768754884895811,0.5,-0.412488888888889,1.76277555555556,0.835633333333333,-0.777777777777778,1.29675354366712,1.88888888888889,2,36,0.0387
"17","037d767b2518ebe5e5baadeafe639bf7",5,7,7,0,9,1,"sars",0.999681010330865,1,-0.341888888888889,0.521146296296296,0.384622222222222,-0.333333333333333,0.332144490169182,0.622222222222222,2,36,0.0072
"18","037d767b2518ebe5e5baadeafe639bf7",5,7,4,0,9,2,"sars",0.99036258496646,0.944444444444444,0.0466888888888889,0.8318,-0.170777777777778,0.111111111111111,0.171906721536351,0.288888888888889,2,36,0.0072
"19","037d767b2518ebe5e5baadeafe639bf7",5,7,18,0,9,3,"sars",0.833860302704321,0.5,-0.426188888888889,1.35996333333333,0.9266,-0.777777777777778,1.25021307727481,1.84444444444444,2,36,0.0072
"20","037d767b2518ebe5e5baadeafe639bf7",6,14,4,0,9,1,"sars",0.688146464035318,0.611111111111111,0.2137,1.25823888888889,-0.438133333333333,0.111111111111111,0.159274500838287,0.185185185185185,2,36,1e-04
"21","037d767b2518ebe5e5baadeafe639bf7",6,14,18,0,9,2,"sars",0.539033472342751,0.574074074074074,-0.149044444444444,1.7101737037037,0.259588888888889,-0.777777777777778,1.14807702077935,1.74074074074074,2,36,1e-04
"22","037d767b2518ebe5e5baadeafe639bf7",7,18,18,1,9,1,"sars",0.819594021012584,0.5,-0.324611111111111,1.2983787037037,0.699322222222222,-0.777777777777778,1.1234693877551,1.71428571428571,3,36,0
