"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","0492738eef56bdee35e3626516a6adb3",1,1,0,8,9,1,"sars",0.906365639074726,1,0.0532444444444444,0.0605666666666667,-0.0556111111111111,1,0.0123456790123457,-0.111111111111111,2,4,0.2441
"2","0492738eef56bdee35e3626516a6adb3",1,1,1,8,9,2,"sars",0.865677770224466,1,0.0212333333333333,0.199711111111111,-0.0329444444444444,0.777777777777778,0.0548696844993141,0,2,4,0.2441
"3","0492738eef56bdee35e3626516a6adb3",1,1,1,8,9,3,"sars",0.39115030840155,1,0.0931333333333333,0.368683333333333,-0.1342,0.777777777777778,0.0548696844993141,0,2,4,0.2441
"4","0492738eef56bdee35e3626516a6adb3",1,1,0,8,9,4,"sars",0.368914778838458,1,0.302111111111111,0.888433333333333,-0.449411111111111,1,0.0123456790123457,-0.111111111111111,2,4,0.2441
"5","0492738eef56bdee35e3626516a6adb3",2,1,1,17,9,1,"sars",0.554200858060486,1,-0.0205,0.146794444444444,0.0147555555555556,0.777777777777778,0.0522976680384088,0.0555555555555556,2,4,0.3769
"6","0492738eef56bdee35e3626516a6adb3",2,1,1,17,9,2,"sars",0.503640420354812,1,0.00893333333333334,0.198705555555556,-0.0218,0.777777777777778,0.0522976680384088,0.0555555555555556,2,4,0.3769
"7","0492738eef56bdee35e3626516a6adb3",2,1,0,17,9,3,"sars",0.191938189870999,1,0.164177777777778,0.3157,-0.206388888888889,1,0.00308641975308642,-0.0555555555555556,2,4,0.3769
"8","0492738eef56bdee35e3626516a6adb3",2,1,1,17,9,4,"sars",0.494582483287973,1,0.141033333333333,0.756477777777778,-0.265766666666667,0.777777777777778,0.0522976680384088,0.0555555555555556,2,4,0.3769
"9","0492738eef56bdee35e3626516a6adb3",3,2,1,2,9,1,"sars",0.470649862394842,1,0.00955555555555554,0.186061111111111,-0.0189333333333333,0.777777777777778,0.0525072397500381,0.037037037037037,2,4,0.1766
"10","0492738eef56bdee35e3626516a6adb3",3,2,0,2,9,2,"sars",0.127948610656476,1,0.162233333333333,0.236633333333333,-0.185077777777778,1,0.00548696844993141,-0.0740740740740741,2,4,0.1766
"11","0492738eef56bdee35e3626516a6adb3",3,2,1,2,9,3,"sars",0.372148121040487,1,0.152166666666667,0.520872222222222,-0.224911111111111,0.777777777777778,0.0525072397500381,0.037037037037037,2,4,0.1766
"12","0492738eef56bdee35e3626516a6adb3",3,2,0,2,9,4,"sars",0.0463916312633961,1,0.353311111111111,1.3999,-0.588722222222222,1,0.00548696844993141,-0.0740740740740741,2,4,0.1766
"13","0492738eef56bdee35e3626516a6adb3",4,3,0,7,9,1,"sars",0.324322619609163,1,0.172722222222222,0.245555555555556,-0.195466666666667,1,0.00694444444444444,-0.0833333333333333,2,4,0.0852
"14","0492738eef56bdee35e3626516a6adb3",4,3,1,7,9,2,"sars",0.857419639269548,1,0.155888888888889,0.439427777777778,-0.207211111111111,0.777777777777778,0.0528549382716049,0.0277777777777778,2,4,0.0852
"15","0492738eef56bdee35e3626516a6adb3",4,3,0,7,9,3,"sars",0.404338088069956,1,0.354311111111111,0.952455555555556,-0.508744444444444,1,0.00694444444444444,-0.0833333333333333,2,4,0.0852
"16","0492738eef56bdee35e3626516a6adb3",4,3,0,7,9,4,"sars",0.615889708228557,0.944444444444444,0.463288888888889,2.43653333333333,-0.866644444444444,1,0.00694444444444444,-0.0833333333333333,2,4,0.0852
"17","0492738eef56bdee35e3626516a6adb3",5,3,1,16,9,1,"sars",0.259716942024301,1,0.0392888888888889,0.228633333333333,-0.0544555555555556,0.777777777777778,0.0523456790123457,0.0444444444444444,2,4,0.281
"18","0492738eef56bdee35e3626516a6adb3",5,3,0,16,9,2,"sars",0.605558882503418,1,0.1618,0.231955555555556,-0.183444444444444,1,0.00444444444444444,-0.0666666666666667,2,4,0.281
"19","0492738eef56bdee35e3626516a6adb3",5,3,0,16,9,3,"sars",0.319928841067331,1,0.190666666666667,0.348011111111111,-0.235122222222222,1,0.00444444444444444,-0.0666666666666667,2,4,0.281
"20","0492738eef56bdee35e3626516a6adb3",6,4,0,0,9,1,"sars",0.356747589447407,1,0.13,0.166366666666667,-0.141611111111111,1,0.00548696844993141,-0.0740740740740741,2,4,0.3504
"21","0492738eef56bdee35e3626516a6adb3",6,4,0,0,9,2,"sars",0.582480662094299,1,0.127933333333333,0.1689,-0.1407,1,0.00548696844993141,-0.0740740740740741,2,4,0.3504
"22","0492738eef56bdee35e3626516a6adb3",7,4,0,9,9,1,"sars",0.940469379178451,1,0.0893777777777778,0.105611111111111,-0.0945666666666667,1,0.00403124212648022,-0.0634920634920635,2,4,0.4643
