"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","1564505b5a3861c8e539650abb15a4e9",1,1,0,8,9,1,"sars",0.0549073408033235,1,0.0513111111111111,0.0582555555555556,-0.0535444444444444,1,0.0123456790123457,-0.111111111111111,2,18,0.2595
"2","1564505b5a3861c8e539650abb15a4e9",1,1,2,8,9,2,"sars",0.697754667451793,1,-0.0942222222222222,0.23045,0.0840555555555556,0.555555555555556,0.0973936899862826,0.111111111111111,2,18,0.2595
"3","1564505b5a3861c8e539650abb15a4e9",1,1,1,8,9,3,"sars",0.648173815679134,1,0.0849222222222222,0.345183333333333,-0.122133333333333,0.777777777777778,0.0548696844993141,0,2,18,0.2595
"4","1564505b5a3861c8e539650abb15a4e9",1,1,0,8,9,4,"sars",0.542492190911951,1,0.286022222222222,0.837033333333333,-0.424077777777778,1,0.0123456790123457,-0.111111111111111,2,18,0.2595
"5","1564505b5a3861c8e539650abb15a4e9",2,1,2,17,9,1,"sars",0.999933333333353,1,-0.127377777777778,0.193794444444444,0.121455555555556,0.555555555555556,0.101508916323731,0.166666666666667,2,18,0.3729
"6","1564505b5a3861c8e539650abb15a4e9",2,1,1,17,9,2,"sars",0.999933333333353,1,0.0113444444444445,0.200527777777778,-0.0245888888888889,0.777777777777778,0.0522976680384088,0.0555555555555556,2,18,0.3729
"7","1564505b5a3861c8e539650abb15a4e9",2,1,0,17,9,3,"sars",0.999923801836777,1,0.174933333333333,0.338844444444444,-0.221044444444444,1,0.00308641975308642,-0.0555555555555556,2,18,0.3729
"8","1564505b5a3861c8e539650abb15a4e9",2,1,7,17,9,4,"sars",0.996947395207583,1,-0.133044444444444,1.09313703703704,0.373333333333333,0.333333333333333,0.522948102423411,0.722222222222222,2,18,0.3729
"9","1564505b5a3861c8e539650abb15a4e9",3,3,1,2,9,1,"sars",0.43505678189543,1,0.0916333333333333,0.309516666666667,-0.117644444444444,0.777777777777778,0.0548696844993141,0,2,18,0.0345
"10","1564505b5a3861c8e539650abb15a4e9",3,3,0,2,9,2,"sars",0.492295639737309,1,0.322466666666667,0.631644444444444,-0.412333333333333,1,0.0123456790123457,-0.111111111111111,2,18,0.0345
"11","1564505b5a3861c8e539650abb15a4e9",3,3,7,2,9,3,"sars",0.292378399328426,0.833333333333333,0.0429444444444445,1.48496851851852,0.0270111111111111,0.333333333333333,0.504343850022862,0.666666666666667,2,18,0.0345
"12","1564505b5a3861c8e539650abb15a4e9",3,3,3,2,9,4,"sars",0.995592302257196,0.5,0.416833333333333,3.77922592592593,-1.02503333333333,0.555555555555556,0.185642432556013,0.222222222222222,2,18,0.0345
"13","1564505b5a3861c8e539650abb15a4e9",4,4,0,5,9,1,"sars",0.317018170152189,1,0.268522222222222,0.451955555555556,-0.324377777777778,1,0.0123456790123457,-0.111111111111111,2,18,0.0321
"14","1564505b5a3861c8e539650abb15a4e9",4,4,7,5,9,2,"sars",0.895388344197213,1,-0.0511777777777778,0.99640462962963,0.267777777777778,0.333333333333333,0.504343850022862,0.666666666666667,2,18,0.0321
"15","1564505b5a3861c8e539650abb15a4e9",4,4,3,5,9,3,"sars",0.47722660563834,0.722222222222222,0.271244444444444,1.64296851851852,-0.497322222222222,0.555555555555556,0.185642432556013,0.222222222222222,2,18,0.0321
"16","1564505b5a3861c8e539650abb15a4e9",4,4,4,5,9,4,"sars",0.935890361644592,0.5,0.363255555555556,3.87765740740741,-1.0023,0.333333333333333,0.228166438042981,0.333333333333333,2,18,0.0321
"17","1564505b5a3861c8e539650abb15a4e9",5,4,7,14,9,1,"sars",0.137028206505766,1,-0.186455555555556,0.675598148148148,0.538155555555556,0.333333333333333,0.511216278006401,0.688888888888889,2,18,0.1751
"18","1564505b5a3861c8e539650abb15a4e9",5,4,3,14,9,2,"sars",0.963678804176143,1,-0.0197444444444444,0.438359259259259,0.0746888888888889,0.555555555555556,0.187535436671239,0.244444444444444,2,18,0.1751
"19","1564505b5a3861c8e539650abb15a4e9",5,4,4,14,9,3,"sars",0.99797572415806,1,-0.0871333333333333,0.553325925925926,0.115833333333333,0.333333333333333,0.232775491540924,0.355555555555556,2,18,0.1751
"20","1564505b5a3861c8e539650abb15a4e9",6,11,3,3,9,1,"sars",0.993490625897835,0.944444444444444,0.179255555555556,0.861748148148148,-0.238811111111111,0.555555555555556,0.187007824010567,0.12962962962963,2,18,7e-04
"21","1564505b5a3861c8e539650abb15a4e9",6,11,4,3,9,2,"sars",0.652592204402073,0.5,0.344266666666667,1.72468148148148,-0.632733333333333,0.333333333333333,0.217624345882233,0.240740740740741,2,18,7e-04
"22","1564505b5a3861c8e539650abb15a4e9",7,14,4,1,9,1,"sars",0.437443763993973,0.611111111111111,0.240644444444444,1.21745185185185,-0.399855555555556,0.333333333333333,0.217192501143118,0.222222222222222,2,18,0.0025
