"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","161a568f73a532e6b79adab47d9828e3",1,1,2,8,9,1,"sars",0.0204610105381516,1,-0.170344444444444,0.143555555555556,0.168966666666667,0.555555555555556,0.0973936899862826,0.111111111111111,2,34,0.2604
"2","161a568f73a532e6b79adab47d9828e3",1,1,1,8,9,2,"sars",0.324862066698226,1,0.0202888888888888,0.200094444444444,-0.0324444444444444,0.777777777777778,0.0548696844993141,0,2,34,0.2604
"3","161a568f73a532e6b79adab47d9828e3",1,1,3,8,9,3,"sars",0.908792958637577,1,-0.120655555555556,0.379022222222222,0.0887444444444444,0.333333333333333,0.139917695473251,0.222222222222222,2,34,0.2604
"4","161a568f73a532e6b79adab47d9828e3",1,1,4,8,9,4,"sars",0.60438751812643,1,-0.0359666666666667,0.840638888888889,-0.00113333333333334,0.333333333333333,0.228166438042981,0.333333333333333,2,34,0.2604
"5","161a568f73a532e6b79adab47d9828e3",2,3,1,1,9,1,"sars",0.520754646104525,1,0.0849,0.283388888888889,-0.107222222222222,0.777777777777778,0.0632716049382716,-0.0555555555555555,2,34,0.0079
"6","161a568f73a532e6b79adab47d9828e3",2,3,3,1,9,2,"sars",0.566644263749936,1,0.0787,0.667477777777778,-0.167411111111111,0.333333333333333,0.134259259259259,0.166666666666667,2,34,0.0079
"7","161a568f73a532e6b79adab47d9828e3",2,3,4,1,9,3,"sars",0.573056425860938,0.555555555555556,0.273522222222222,1.83316111111111,-0.551888888888889,0.333333333333333,0.220164609053498,0.277777777777778,2,34,0.0079
"8","161a568f73a532e6b79adab47d9828e3",2,3,4,1,9,4,"sars",0.997468601513527,0.574074074074074,0.525011111111111,5.23436111111111,-1.44413333333333,0.333333333333333,0.220164609053498,0.277777777777778,2,34,0.0079
"9","161a568f73a532e6b79adab47d9828e3",3,4,3,2,9,1,"sars",0.041196996027929,1,0.00943333333333336,0.529038888888889,-0.0677888888888889,0.333333333333333,0.135573845450389,0.185185185185185,2,34,0.0108
"10","161a568f73a532e6b79adab47d9828e3",3,4,4,2,9,2,"sars",0.697773697883713,0.833333333333333,0.1489,1.10837592592593,-0.261555555555556,0.333333333333333,0.222273027485648,0.296296296296296,2,34,0.0108
"11","161a568f73a532e6b79adab47d9828e3",3,4,4,2,9,3,"sars",0.862599818391302,0.5,0.380111111111111,2.68056296296296,-0.840711111111111,0.333333333333333,0.222273027485648,0.296296296296296,2,34,0.0108
"12","161a568f73a532e6b79adab47d9828e3",3,4,8,2,9,4,"sars",0.998146497104116,0.518518518518519,0.4024,6.81641296296296,-1.54088888888889,-0.111111111111111,0.471422039323274,0.740740740740741,2,34,0.0108
"13","161a568f73a532e6b79adab47d9828e3",4,7,4,2,9,1,"sars",0.998152285966039,0.888888888888889,0.120655555555556,0.958901851851852,-0.1969,0.333333333333333,0.21804983996342,0.25,2,34,0.001
"14","161a568f73a532e6b79adab47d9828e3",4,7,4,2,9,2,"sars",0.921863450435363,0.5,0.335444444444444,1.89020185185185,-0.639933333333333,0.333333333333333,0.21804983996342,0.25,2,34,0.001
"15","161a568f73a532e6b79adab47d9828e3",4,7,8,2,9,3,"sars",0.914511761208696,0.592592592592593,0.3354,4.00837407407407,-1.03717777777778,-0.111111111111111,0.451131687242798,0.694444444444444,2,34,0.001
"16","161a568f73a532e6b79adab47d9828e3",4,7,11,2,9,4,"sars",0.99968126143694,0.566666666666667,0.485555555555556,12.4276111111111,-2.29722222222222,-0.111111111111111,0.731624371284865,1.02777777777778,2,34,0.001
"17","161a568f73a532e6b79adab47d9828e3",5,11,4,3,9,1,"sars",0.488198349680969,0.555555555555556,0.254633333333333,1.34490925925926,-0.432888888888889,0.333333333333333,0.217411979881116,0.2,2,34,2e-04
"18","161a568f73a532e6b79adab47d9828e3",5,11,8,3,9,2,"sars",0.988349264132484,0.5,0.192544444444444,2.07658888888889,-0.493133333333333,-0.111111111111111,0.432427983539095,0.644444444444444,2,34,2e-04
"19","161a568f73a532e6b79adab47d9828e3",5,11,11,3,9,3,"sars",0.999552464939387,0.648148148148148,0.312777777777778,4.86320092592593,-1.04547777777778,-0.111111111111111,0.708404206675812,0.977777777777778,2,34,2e-04
"20","161a568f73a532e6b79adab47d9828e3",6,15,8,2,9,1,"sars",0.999931923364635,0.5,0.0280333333333333,1.28179259259259,-0.0995111111111111,-0.111111111111111,0.421810699588477,0.611111111111111,2,34,1e-04
"21","161a568f73a532e6b79adab47d9828e3",6,15,11,2,9,2,"sars",0.997068286449324,0.5,0.0622333333333333,1.99172777777778,-0.1302,-0.111111111111111,0.694673068129858,0.944444444444445,2,34,1e-04
"22","161a568f73a532e6b79adab47d9828e3",7,23,11,1,9,1,"sars",0.999933333333337,0.5,0.0373666666666667,1.83477037037037,-0.0593333333333333,-0.111111111111111,0.665341582449166,0.857142857142857,2,34,2e-04
