"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","1eaa9ea46d144790a54140a662f0c89b",1,1,0,8,9,1,"sars",0.898715733892471,1,0.0527,0.0597666666666667,-0.0550333333333333,1,0.0123456790123457,-0.111111111111111,2,21,0.2625
"2","1eaa9ea46d144790a54140a662f0c89b",1,1,2,8,9,2,"sars",0.763707558294834,1,-0.0909555555555556,0.227044444444444,0.0807,0.555555555555556,0.0973936899862826,0.111111111111111,2,21,0.2625
"3","1eaa9ea46d144790a54140a662f0c89b",1,1,0,8,9,3,"sars",0.907080486725753,1,0.196844444444444,0.347588888888889,-0.240566666666667,1,0.0123456790123457,-0.111111111111111,2,21,0.2625
"4","1eaa9ea46d144790a54140a662f0c89b",1,1,2,8,9,4,"sars",0.55771457782277,1,0.161588888888889,0.862525925925926,-0.209866666666667,0.777777777777778,0.143118427069044,0.111111111111111,2,21,0.2625
"5","1eaa9ea46d144790a54140a662f0c89b",2,1,2,17,9,1,"sars",0.47899092108814,1,-0.124522222222222,0.194094444444444,0.118422222222222,0.555555555555556,0.101508916323731,0.166666666666667,2,21,0.3718
"6","1eaa9ea46d144790a54140a662f0c89b",2,1,0,17,9,2,"sars",0.209604770318433,1,0.123544444444444,0.174966666666667,-0.139455555555556,1,0.00308641975308642,-0.0555555555555556,2,21,0.3718
"7","1eaa9ea46d144790a54140a662f0c89b",2,1,2,17,9,3,"sars",0.311750658148911,1,0.0516888888888889,0.443725925925926,-0.00631111111111111,0.777777777777778,0.142775491540924,0.166666666666667,2,21,0.3718
"8","1eaa9ea46d144790a54140a662f0c89b",2,1,3,17,9,4,"sars",0.100398737575965,1,-0.0404222222222222,0.839755555555556,-0.0906222222222222,0.333333333333333,0.150720164609053,0.277777777777778,2,21,0.3718
"9","1eaa9ea46d144790a54140a662f0c89b",3,3,0,1,9,1,"sars",0.967946793216471,1,0.1772,0.2434,-0.198288888888889,1,0.0123456790123457,-0.111111111111111,2,21,0.0407
"10","1eaa9ea46d144790a54140a662f0c89b",3,3,2,1,9,2,"sars",0.301613353558871,1,0.160377777777778,0.606714814814815,-0.153188888888889,0.777777777777778,0.143118427069044,0.111111111111111,2,21,0.0407
"11","1eaa9ea46d144790a54140a662f0c89b",3,3,3,1,9,3,"sars",0.956325204701505,0.888888888888889,0.176988888888889,1.16868888888889,-0.376255555555556,0.333333333333333,0.139917695473251,0.222222222222222,2,21,0.0407
"12","1eaa9ea46d144790a54140a662f0c89b",3,3,7,1,9,4,"sars",0.891264654107415,0.5,0.154822222222222,2.43307777777778,-0.505811111111111,-0.111111111111111,0.412894375857339,0.666666666666667,2,21,0.0407
"13","1eaa9ea46d144790a54140a662f0c89b",4,3,2,10,9,1,"sars",0.111970119587554,1,0.0639111111111111,0.373822222222222,-0.000200000000000009,0.777777777777778,0.142232510288066,0.138888888888889,2,21,0.1074
"14","1eaa9ea46d144790a54140a662f0c89b",4,3,3,10,9,2,"sars",0.595662196104732,1,-0.0601111111111111,0.446872222222222,0.0172333333333333,0.333333333333333,0.144675925925926,0.25,2,21,0.1074
"15","1eaa9ea46d144790a54140a662f0c89b",4,3,7,10,9,3,"sars",0.469961535051978,1,-0.205455555555556,0.798308333333333,0.288877777777778,-0.111111111111111,0.426118827160494,0.694444444444444,2,21,0.1074
"16","1eaa9ea46d144790a54140a662f0c89b",4,3,6,10,9,4,"sars",0.457439789025633,1,0.0088777777777778,1.59158703703704,-0.1578,0.111111111111111,0.369341563786008,0.583333333333333,2,21,0.1074
"17","1eaa9ea46d144790a54140a662f0c89b",5,5,3,3,9,1,"sars",0.159835574841678,1,-0.0787666666666667,0.394183333333333,0.0479333333333333,0.333333333333333,0.139917695473251,0.222222222222222,2,21,0.0438
"18","1eaa9ea46d144790a54140a662f0c89b",5,5,7,3,9,2,"sars",0.36721576700359,1,-0.236555555555556,0.647136111111111,0.365333333333333,-0.111111111111111,0.412894375857339,0.666666666666667,2,21,0.0438
"19","1eaa9ea46d144790a54140a662f0c89b",5,5,6,3,9,3,"sars",0.760690983609621,1,-0.0293555555555556,0.982618518518519,0.0067777777777778,0.111111111111111,0.35893918609968,0.555555555555556,2,21,0.0438
"20","1eaa9ea46d144790a54140a662f0c89b",6,8,7,2,9,1,"sars",0.237723442122389,1,-0.215788888888889,0.64935,0.341277777777778,-0.111111111111111,0.396928821825941,0.62962962962963,2,21,0.0136
"21","1eaa9ea46d144790a54140a662f0c89b",6,8,6,2,9,2,"sars",0.632523740632637,0.833333333333333,0.00895555555555552,0.926107407407407,-0.0316111111111111,0.111111111111111,0.346847533404461,0.518518518518518,2,21,0.0136
"22","1eaa9ea46d144790a54140a662f0c89b",7,15,6,1,9,1,"sars",0.304001782295452,0.555555555555556,0.100955555555556,1.09073888888889,-0.192,0.111111111111111,0.32594272276812,0.428571428571429,2,21,0.002
