"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","1ffcf2e0f02907f40651da4dd00c28c4",1,1,2,8,9,1,"sars",0.472239079156212,1,-0.0673555555555556,0.190422222222222,0.169733333333333,0.777777777777778,0.143118427069044,0.111111111111111,2,60,0.2691
"2","1ffcf2e0f02907f40651da4dd00c28c4",1,1,1,8,9,2,"sars",0.457220501985389,1,0.0148888888888889,0.203016666666667,-0.0271555555555556,0.777777777777778,0.0548696844993141,0,2,60,0.2691
"3","1ffcf2e0f02907f40651da4dd00c28c4",1,1,4,8,9,3,"sars",0.806138105603235,1,-0.2343,0.3696,0.2093,0.111111111111111,0.182441700960219,0.333333333333333,2,60,0.2691
"4","1ffcf2e0f02907f40651da4dd00c28c4",1,1,5,8,9,4,"sars",0.185090829330521,1,-0.0752777777777778,0.848790740740741,0.132811111111111,0.333333333333333,0.316415180612711,0.444444444444444,2,60,0.2691
"5","1ffcf2e0f02907f40651da4dd00c28c4",2,3,1,3,9,1,"sars",0.446513408796266,1,0.0937222222222223,0.325433333333333,-0.121911111111111,0.777777777777778,0.0632716049382716,-0.0555555555555555,2,60,0.0121
"6","1ffcf2e0f02907f40651da4dd00c28c4",2,3,4,3,9,2,"sars",0.744994960493081,1,0.00194444444444443,0.613127777777778,-0.0819666666666667,0.111111111111111,0.169753086419753,0.277777777777778,2,60,0.0121
"7","1ffcf2e0f02907f40651da4dd00c28c4",2,3,5,3,9,3,"sars",0.951174682651081,0.5,0.238255555555556,1.84535925925926,-0.467533333333333,0.333333333333333,0.306069958847737,0.388888888888889,2,60,0.0121
"8","1ffcf2e0f02907f40651da4dd00c28c4",2,3,9,3,9,4,"sars",0.993540065016464,0.592592592592593,0.319433333333333,3.52559074074074,-0.947111111111111,-0.111111111111111,0.561471193415638,0.833333333333333,2,60,0.0121
"9","1ffcf2e0f02907f40651da4dd00c28c4",3,4,4,7,9,1,"sars",0.758084185317909,1,-0.0418666666666666,0.540638888888889,-0.0189777777777778,0.111111111111111,0.173449169333943,0.296296296296296,2,60,0.0077
"10","1ffcf2e0f02907f40651da4dd00c28c4",3,4,5,7,9,2,"sars",0.213269168511294,0.722222222222222,0.138522222222222,1.24133148148148,-0.217477777777778,0.333333333333333,0.308972209520906,0.407407407407407,2,60,0.0077
"11","1ffcf2e0f02907f40651da4dd00c28c4",3,4,9,7,9,3,"sars",0.648765396768251,0.5,0.137844444444444,1.99658981481481,-0.362666666666667,-0.111111111111111,0.570327185896459,0.851851851851852,2,60,0.0077
"12","1ffcf2e0f02907f40651da4dd00c28c4",3,4,19,7,9,4,"sars",0.999583063600644,0.555555555555556,0.0691555555555556,4.68299777777778,-0.468655555555556,-0.333333333333333,1.47637809277041,1.96296296296296,2,60,0.0077
"13","1ffcf2e0f02907f40651da4dd00c28c4",4,8,5,0,9,1,"sars",0.538140425380731,0.777777777777778,0.116877777777778,1.10597407407407,-0.1616,0.333333333333333,0.300640146319159,0.333333333333333,2,60,5e-04
"14","1ffcf2e0f02907f40651da4dd00c28c4",4,8,9,0,9,2,"sars",0.855115140407741,0.5,0.0944222222222222,1.51874259259259,-0.196211111111111,-0.111111111111111,0.537608596250572,0.777777777777778,2,60,5e-04
"15","1ffcf2e0f02907f40651da4dd00c28c4",4,8,19,0,9,3,"sars",0.999883898589162,0.62962962962963,-0.00398888888888891,3.23368074074074,-0.0881777777777778,-0.333333333333333,1.41634659350709,1.88888888888889,2,60,5e-04
"16","1ffcf2e0f02907f40651da4dd00c28c4",4,8,19,0,9,4,"sars",0.999933333333355,0.533333333333333,0.362288888888889,6.74172592592593,-1.90865555555556,-0.777777777777778,1.26143118427069,1.88888888888889,2,60,5e-04
"17","1ffcf2e0f02907f40651da4dd00c28c4",5,13,9,3,9,1,"sars",0.944147186870447,0.5,0.00506666666666666,1.20491018518519,0.0105,-0.111111111111111,0.514330132601738,0.711111111111111,2,60,0
"18","1ffcf2e0f02907f40651da4dd00c28c4",5,13,19,3,9,2,"sars",0.754544764645177,0.574074074074074,-0.153877777777778,2.14891814814815,0.439133333333333,-0.333333333333333,1.36702697759488,1.82222222222222,3,60,0
"19","1ffcf2e0f02907f40651da4dd00c28c4",5,13,19,3,9,3,"sars",0.988171559983086,0.648148148148148,0.180555555555556,2.84744722222222,-0.720155555555556,-0.777777777777778,1.1947508001829,1.82222222222222,3,60,0
"20","1ffcf2e0f02907f40651da4dd00c28c4",6,22,19,0,9,1,"sars",0.958628844626847,0.555555555555556,-0.194288888888889,1.9724562962963,0.554911111111111,-0.333333333333333,1.29036224152822,1.7037037037037,3,60,0
"21","1ffcf2e0f02907f40651da4dd00c28c4",6,22,19,0,9,2,"sars",0.818942518015151,0.703703703703704,0.143655555555556,2.10698796296296,-0.467811111111111,-0.777777777777778,1.08494640044709,1.7037037037037,3,60,0
"22","1ffcf2e0f02907f40651da4dd00c28c4",7,41,19,0,9,1,"sars",0.763551543473905,0.712962962962963,0.255377777777778,2.42089814814815,-0.774711111111111,-0.777777777777778,0.894525162602764,1.46031746031746,3,60,0
