"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","29839b5cbda3b31b57c27e755cb0f09a",1,1,1,8,9,1,"sars",0.809010200989616,1,-0.0602222222222223,0.100427777777778,0.0585111111111111,0.777777777777778,0.0548696844993141,0,2,17,0.2592
"2","29839b5cbda3b31b57c27e755cb0f09a",1,1,1,8,9,2,"sars",0.229761524217331,1,0.0160333333333334,0.192461111111111,-0.0276111111111111,0.777777777777778,0.0548696844993141,0,2,17,0.2592
"3","29839b5cbda3b31b57c27e755cb0f09a",1,1,0,8,9,3,"sars",0.30767488673411,1,0.193488888888889,0.336811111111111,-0.235433333333333,1,0.0123456790123457,-0.111111111111111,2,17,0.2592
"4","29839b5cbda3b31b57c27e755cb0f09a",1,1,3,8,9,4,"sars",0.351018183938247,1,0.0560666666666667,0.783822222222222,-0.0885888888888889,0.555555555555556,0.185642432556013,0.222222222222222,2,17,0.2592
"5","29839b5cbda3b31b57c27e755cb0f09a",2,2,1,2,9,1,"sars",0.269059471156455,1,0.0429888888888889,0.219927777777778,-0.0566111111111111,0.777777777777778,0.0548696844993141,0,2,17,0.061
"6","29839b5cbda3b31b57c27e755cb0f09a",2,2,0,2,9,2,"sars",0.636449633425148,1,0.261111111111111,0.448855555555556,-0.317077777777778,1,0.0123456790123457,-0.111111111111111,2,17,0.061
"7","29839b5cbda3b31b57c27e755cb0f09a",2,2,3,2,9,3,"sars",0.940342423381379,1,0.165177777777778,0.987142592592593,-0.253388888888889,0.555555555555556,0.185642432556013,0.222222222222222,2,17,0.061
"8","29839b5cbda3b31b57c27e755cb0f09a",2,2,3,2,9,4,"sars",0.957552501227459,0.555555555555556,0.353766666666667,2.59836481481481,-0.771577777777778,0.555555555555556,0.185642432556013,0.222222222222222,2,17,0.061
"9","29839b5cbda3b31b57c27e755cb0f09a",3,3,0,1,9,1,"sars",0.688347184200414,1,0.2184,0.330088888888889,-0.252955555555556,1,0.0123456790123457,-0.111111111111111,2,17,0.0387
"10","29839b5cbda3b31b57c27e755cb0f09a",3,3,3,1,9,2,"sars",0.638701015157053,1,0.0799666666666667,0.627735185185185,-0.0782333333333333,0.555555555555556,0.185642432556013,0.222222222222222,2,17,0.0387
"11","29839b5cbda3b31b57c27e755cb0f09a",3,3,3,1,9,3,"sars",0.998200726038746,0.833333333333333,0.247544444444444,1.36164814814815,-0.415211111111111,0.555555555555556,0.185642432556013,0.222222222222222,2,17,0.0387
"12","29839b5cbda3b31b57c27e755cb0f09a",3,3,2,1,9,4,"sars",0.99470352026005,0.5,0.451088888888889,4.11804444444444,-1.14392222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,17,0.0387
"13","29839b5cbda3b31b57c27e755cb0f09a",4,3,3,10,9,1,"sars",0.192524918730976,1,-0.0519333333333333,0.381372222222222,0.120588888888889,0.555555555555556,0.188143004115226,0.25,2,17,0.1565
"14","29839b5cbda3b31b57c27e755cb0f09a",4,3,3,10,9,2,"sars",0.47802117248584,1,-0.0164333333333333,0.445988888888889,0.0695222222222222,0.555555555555556,0.188143004115226,0.25,2,17,0.1565
"15","29839b5cbda3b31b57c27e755cb0f09a",4,3,2,10,9,3,"sars",0.094076420256805,1,0.0763555555555555,0.660511111111111,-0.167644444444444,0.555555555555556,0.0987654320987654,0.138888888888889,2,17,0.1565
"16","29839b5cbda3b31b57c27e755cb0f09a",4,3,6,10,9,4,"sars",0.836994476440581,1,-0.1399,1.11207037037037,0.0329222222222222,-0.111111111111111,0.325874485596708,0.583333333333333,2,17,0.1565
"17","29839b5cbda3b31b57c27e755cb0f09a",5,6,3,1,9,1,"sars",0.681845872096357,1,0.0221222222222222,0.481042592592593,0.0228666666666667,0.555555555555556,0.184609053497942,0.2,2,17,0.0146
"18","29839b5cbda3b31b57c27e755cb0f09a",5,6,2,1,9,2,"sars",0.33077487713881,1,0.155166666666667,0.702916666666667,-0.251133333333333,0.555555555555556,0.097283950617284,0.0888888888888889,2,17,0.0146
"19","29839b5cbda3b31b57c27e755cb0f09a",5,6,6,1,9,3,"sars",0.438548525450584,0.722222222222222,0.0201111111111111,1.06920740740741,-0.150566666666667,-0.111111111111111,0.303868312757202,0.533333333333333,2,17,0.0146
"20","29839b5cbda3b31b57c27e755cb0f09a",6,9,2,0,9,1,"sars",0.0690029125751117,1,0.150144444444444,0.654355555555556,-0.235311111111111,0.555555555555556,0.0987654320987654,0.0555555555555556,2,17,0.0074
"21","29839b5cbda3b31b57c27e755cb0f09a",6,9,6,0,9,2,"sars",0.941618252235608,0.666666666666667,0.0106111111111111,0.905201851851852,-0.104177777777778,-0.111111111111111,0.291152263374486,0.5,2,17,0.0074
"22","29839b5cbda3b31b57c27e755cb0f09a",7,11,6,5,9,1,"sars",0.53094890940256,0.944444444444444,-0.0866666666666667,0.698507407407407,0.0575888888888889,-0.111111111111111,0.28835512257029,0.492063492063492,2,17,0.0131
