"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","2a97c57c98b006272ab80ea7f167fa9d",1,1,0,8,9,1,"sars",0.678986027987055,1,0.0526666666666667,0.0597,-0.0549666666666667,1,0.0123456790123457,-0.111111111111111,2,48,0.259
"2","2a97c57c98b006272ab80ea7f167fa9d",1,1,5,8,9,2,"sars",0.366231046706907,1,-0.321844444444444,0.386774074074074,0.4118,0.111111111111111,0.27069044352995,0.444444444444444,2,48,0.259
"3","2a97c57c98b006272ab80ea7f167fa9d",1,1,1,8,9,3,"sars",0.212166660588809,1,0.0922,0.354088888888889,-0.131433333333333,0.777777777777778,0.0548696844993141,0,2,48,0.259
"4","2a97c57c98b006272ab80ea7f167fa9d",1,1,6,8,9,4,"sars",0.870200219163857,1,-0.1601,0.82867962962963,0.226055555555556,0.111111111111111,0.35893918609968,0.555555555555556,2,48,0.259
"5","2a97c57c98b006272ab80ea7f167fa9d",2,1,5,17,9,1,"sars",0.999933333333353,1,-0.355688888888889,0.359255555555556,0.4529,0.111111111111111,0.290409236396891,0.5,2,48,0.3556
"6","2a97c57c98b006272ab80ea7f167fa9d",2,1,1,17,9,2,"sars",0.999933333333353,1,0.0171111111111111,0.204666666666667,-0.0307888888888889,0.777777777777778,0.0522976680384088,0.0555555555555556,2,48,0.3556
"7","2a97c57c98b006272ab80ea7f167fa9d",2,1,6,17,9,3,"sars",0.999933322086482,1,-0.282455555555556,0.555190740740741,0.436922222222222,0.111111111111111,0.380887059899406,0.611111111111111,2,48,0.3556
"8","2a97c57c98b006272ab80ea7f167fa9d",2,1,8,17,9,4,"sars",0.999448600863606,1,-0.300844444444444,0.975573148148148,0.464755555555556,-0.111111111111111,0.530892775491541,0.833333333333333,2,48,0.3556
"9","2a97c57c98b006272ab80ea7f167fa9d",3,6,1,2,9,1,"sars",0.0926579808862889,0.944444444444444,0.281577777777778,0.73115,-0.3862,0.777777777777778,0.0775034293552812,-0.111111111111111,2,48,1e-04
"10","2a97c57c98b006272ab80ea7f167fa9d",3,6,6,2,9,2,"sars",0.944102539003996,0.5,0.252233333333333,1.83856111111111,-0.513555555555556,0.111111111111111,0.328760859625057,0.444444444444444,2,48,1e-04
"11","2a97c57c98b006272ab80ea7f167fa9d",3,6,8,2,9,3,"sars",0.999846728115663,0.646825396825397,0.473222222222222,5.24373611111111,-1.40796666666667,-0.111111111111111,0.454160951074531,0.666666666666667,2,48,1e-04
"12","2a97c57c98b006272ab80ea7f167fa9d",3,6,8,2,9,4,"sars",0.999933333333353,0.616666666666667,0.801988888888889,15.8462027777778,-3.55656666666667,0.111111111111111,0.509487882944673,0.666666666666667,2,48,1e-04
"13","2a97c57c98b006272ab80ea7f167fa9d",4,7,6,3,9,1,"sars",0.226107177917919,0.666666666666667,0.0712111111111111,1.11713703703704,-0.128877777777778,0.111111111111111,0.334590763603109,0.472222222222222,2,48,6e-04
"14","2a97c57c98b006272ab80ea7f167fa9d",4,7,8,3,9,2,"sars",0.928908282724271,0.5,0.155433333333333,1.96400555555556,-0.368477777777778,-0.111111111111111,0.464341849565615,0.694444444444444,2,48,6e-04
"15","2a97c57c98b006272ab80ea7f167fa9d",4,7,8,3,9,3,"sars",0.998352535079748,0.62962962962963,0.444433333333333,4.51376574074074,-1.25983333333333,0.111111111111111,0.517182498856882,0.694444444444444,2,48,6e-04
"16","2a97c57c98b006272ab80ea7f167fa9d",4,7,19,3,9,4,"sars",0.999933333332906,0.551851851851852,0.305477777777778,6.87807962962963,-1.8725,-0.777777777777778,1.27704903978052,1.91666666666667,2,48,6e-04
"17","2a97c57c98b006272ab80ea7f167fa9d",5,13,8,1,9,1,"sars",0.829212401910703,0.5,0.0906222222222222,1.52107407407407,-0.186688888888889,-0.111111111111111,0.433982624599909,0.6,2,48,0
"18","2a97c57c98b006272ab80ea7f167fa9d",5,13,8,1,9,2,"sars",0.726082208761257,0.555555555555556,0.356111111111111,2.73384351851852,-0.794677777777778,0.111111111111111,0.495509830818473,0.6,3,48,0
"19","2a97c57c98b006272ab80ea7f167fa9d",5,13,19,1,9,3,"sars",0.981057328320254,0.648148148148148,0.150022222222222,2.765825,-0.741966666666667,-0.777777777777778,1.17936899862826,1.82222222222222,3,48,0
"20","2a97c57c98b006272ab80ea7f167fa9d",6,21,8,1,9,1,"sars",0.919571127303533,0.537037037037037,0.307477777777778,2.26214351851852,-0.631111111111111,0.111111111111111,0.486425468678555,0.5,3,48,0
"21","2a97c57c98b006272ab80ea7f167fa9d",6,21,19,1,9,2,"sars",0.99959498417457,0.685185185185185,0.0363888888888889,1.81302314814815,-0.298944444444444,-0.777777777777778,1.08350480109739,1.72222222222222,3,48,0
"22","2a97c57c98b006272ab80ea7f167fa9d",7,29,19,0,9,1,"sars",0.944846408094068,0.611111111111111,-0.218822222222222,1.2523037037037,0.335777777777778,-0.777777777777778,1.01979227905154,1.65079365079365,3,48,0
