"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","2ca80db41a49818c89e5d1ba1cac33d5",1,2,0,0,9,1,"sars",0.640080023994698,1,0.0763555555555556,0.0899333333333333,-0.0807555555555556,1,0.0493827160493827,-0.222222222222222,2,36,0.0398
"2","2ca80db41a49818c89e5d1ba1cac33d5",1,2,0,0,9,2,"sars",0.564053725054875,1,0.2356,0.373944444444444,-0.277922222222222,1,0.0493827160493827,-0.222222222222222,2,36,0.0398
"3","2ca80db41a49818c89e5d1ba1cac33d5",1,2,4,0,9,3,"sars",0.748130412128451,1,0.0595888888888889,0.875437037037037,-0.109355555555556,0.333333333333333,0.217192501143118,0.222222222222222,2,36,0.0398
"4","2ca80db41a49818c89e5d1ba1cac33d5",1,2,1,0,9,4,"sars",0.957672114739856,0.555555555555556,0.489266666666667,2.25305,-0.911044444444444,0.777777777777778,0.0775034293552812,-0.111111111111111,2,36,0.0398
"5","2ca80db41a49818c89e5d1ba1cac33d5",2,2,0,9,9,1,"sars",0.0781670408630564,1,0.197355555555556,0.289211111111111,-0.225855555555556,1,0.0123456790123457,-0.111111111111111,2,36,0.0656
"6","2ca80db41a49818c89e5d1ba1cac33d5",2,2,4,9,9,2,"sars",0.9295051280184,1,-0.0431222222222222,0.60755,0.0617,0.333333333333333,0.228166438042981,0.333333333333333,2,36,0.0656
"7","2ca80db41a49818c89e5d1ba1cac33d5",2,2,1,9,9,3,"sars",0.802599725526511,1,0.3403,1.17638888888889,-0.546344444444444,0.777777777777778,0.0548696844993141,0,2,36,0.0656
"8","2ca80db41a49818c89e5d1ba1cac33d5",2,2,7,9,9,4,"sars",0.668930358900198,0.5,0.0664444444444444,2.31271296296296,-0.469244444444444,-0.333333333333333,0.355738454503887,0.666666666666667,2,36,0.0656
"9","2ca80db41a49818c89e5d1ba1cac33d5",3,2,4,18,9,1,"sars",0.150550598456185,1,-0.182011111111111,0.378888888888889,0.260988888888889,0.333333333333333,0.236295280191028,0.37037037037037,2,36,0.2728
"10","2ca80db41a49818c89e5d1ba1cac33d5",3,2,1,18,9,2,"sars",0.969365556862528,1,0.0650222222222222,0.282772222222222,-0.0905666666666667,0.777777777777778,0.0525072397500381,0.037037037037037,2,36,0.2728
"11","2ca80db41a49818c89e5d1ba1cac33d5",3,2,7,18,9,3,"sars",0.0790301635016894,1,-0.429944444444444,0.569755555555556,0.474877777777778,-0.333333333333333,0.377356094091348,0.703703703703704,2,36,0.2728
"12","2ca80db41a49818c89e5d1ba1cac33d5",3,2,5,18,9,4,"sars",0.631906212715542,1,-0.123133333333333,1.14000925925926,0.0357444444444444,0.111111111111111,0.283315551491135,0.481481481481482,2,36,0.2728
"13","2ca80db41a49818c89e5d1ba1cac33d5",4,6,1,4,9,1,"sars",0.193192090180091,1,0.216944444444444,0.529361111111111,-0.282477777777778,0.777777777777778,0.0632716049382716,-0.0555555555555555,2,36,0.0032
"14","2ca80db41a49818c89e5d1ba1cac33d5",4,6,7,4,9,2,"sars",0.674560810583503,0.777777777777778,-0.106611111111111,0.893912962962963,0.0265555555555556,-0.333333333333333,0.326646090534979,0.611111111111111,2,36,0.0032
"15","2ca80db41a49818c89e5d1ba1cac33d5",4,6,5,4,9,3,"sars",0.767101318007797,0.5,0.3151,2.59993333333333,-0.765277777777778,0.111111111111111,0.255658436213992,0.388888888888889,2,36,0.0032
"16","2ca80db41a49818c89e5d1ba1cac33d5",4,6,17,4,9,4,"sars",0.999930679510805,0.592592592592593,0.00254444444444445,2.87780814814815,-0.415522222222222,-0.777777777777778,1.12772633744856,1.72222222222222,2,36,0.0032
"17","2ca80db41a49818c89e5d1ba1cac33d5",5,7,7,0,9,1,"sars",0.989688275211971,1,-0.290744444444444,0.580785185185185,0.3118,-0.333333333333333,0.332144490169182,0.622222222222222,2,36,0.0104
"18","2ca80db41a49818c89e5d1ba1cac33d5",5,7,5,0,9,2,"sars",0.991744932841918,1,0.0240555555555555,0.921151851851852,-0.0926,0.111111111111111,0.258289894833105,0.4,2,36,0.0104
"19","2ca80db41a49818c89e5d1ba1cac33d5",5,7,17,0,9,3,"sars",0.96606989717049,0.5,-0.4729,1.11640518518519,0.907555555555556,-0.777777777777778,1.13910196616369,1.73333333333333,2,36,0.0104
"20","2ca80db41a49818c89e5d1ba1cac33d5",6,14,5,2,9,1,"sars",0.926205926899592,0.555555555555556,0.155211111111111,1.24508333333333,-0.315677777777778,0.111111111111111,0.24102016968958,0.296296296296296,2,36,1e-04
"21","2ca80db41a49818c89e5d1ba1cac33d5",6,14,17,2,9,2,"sars",0.695607707357502,0.518518518518518,-0.242611111111111,1.18620814814815,0.408766666666667,-0.777777777777778,1.03696590966824,1.62962962962963,2,36,1e-04
"22","2ca80db41a49818c89e5d1ba1cac33d5",7,19,17,3,9,1,"sars",0.997115200781855,0.5,-0.373255555555556,1.04002185185185,0.703722222222222,-0.777777777777778,0.997876132620401,1.58730158730159,3,36,0
