"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","2d415dbf1ee6dd6ec7725fe2b12bc628",1,1,1,8,9,1,"sars",0.92862341053831,1,-0.0594555555555556,0.0980111111111111,0.0575555555555556,0.777777777777778,0.0548696844993141,0,2,53,0.2617
"2","2d415dbf1ee6dd6ec7725fe2b12bc628",1,1,4,8,9,2,"sars",0.531580240611129,1,-0.219066666666667,0.345316666666667,0.303966666666667,0.333333333333333,0.228166438042981,0.333333333333333,2,53,0.2617
"3","2d415dbf1ee6dd6ec7725fe2b12bc628",1,1,2,8,9,3,"sars",0.281306404090552,1,-0.0171777777777778,0.377611111111111,-0.0201555555555555,0.555555555555556,0.0973936899862826,0.111111111111111,2,53,0.2617
"4","2d415dbf1ee6dd6ec7725fe2b12bc628",1,1,5,8,9,4,"sars",0.131789278884562,1,-0.1353,0.692566666666667,0.122877777777778,0.111111111111111,0.27069044352995,0.444444444444444,2,53,0.2617
"5","2d415dbf1ee6dd6ec7725fe2b12bc628",2,2,4,0,9,1,"sars",0.999933333333361,1,-0.200422222222222,0.358214814814815,0.282733333333333,0.333333333333333,0.228166438042981,0.333333333333333,2,53,0.0637
"6","2d415dbf1ee6dd6ec7725fe2b12bc628",2,2,2,0,9,2,"sars",0.999925255173319,1,0.0314,0.4174,-0.0719,0.555555555555556,0.0973936899862826,0.111111111111111,2,53,0.0637
"7","2d415dbf1ee6dd6ec7725fe2b12bc628",2,2,5,0,9,3,"sars",0.987294791397444,1,-0.0307333333333333,0.762931481481481,-0.0115111111111111,0.111111111111111,0.27069044352995,0.444444444444444,2,53,0.0637
"8","2d415dbf1ee6dd6ec7725fe2b12bc628",2,2,8,0,9,4,"sars",0.798440670548912,0.611111111111111,0.0979666666666666,2.00330833333333,-0.173766666666667,0.111111111111111,0.558299039780521,0.777777777777778,2,53,0.0637
"9","2d415dbf1ee6dd6ec7725fe2b12bc628",3,6,2,1,9,1,"sars",0.996966453289627,1,0.1628,0.682155555555556,-0.252977777777778,0.555555555555556,0.10562414266118,1.23327997120226e-17,2,53,0
"10","2d415dbf1ee6dd6ec7725fe2b12bc628",3,6,5,1,9,2,"sars",0.906939581271255,0.5,0.298433333333333,1.48976111111111,-0.563066666666667,0.111111111111111,0.245313214449017,0.333333333333333,2,53,0
"11","2d415dbf1ee6dd6ec7725fe2b12bc628",3,6,8,1,9,3,"sars",0.795333059411584,0.638888888888889,0.491044444444444,4.68664444444444,-1.32423333333333,0.111111111111111,0.523319615912208,0.666666666666667,3,53,0
"12","2d415dbf1ee6dd6ec7725fe2b12bc628",3,6,12,1,9,4,"sars",0.999468796953751,0.581481481481481,0.7059,9.46290814814815,-2.94595555555556,-0.555555555555556,0.696662094192958,1.11111111111111,3,53,0
"13","2d415dbf1ee6dd6ec7725fe2b12bc628",4,8,5,3,9,1,"sars",0.908291273420117,0.611111111111111,0.190455555555556,1.12242592592593,-0.345944444444444,0.111111111111111,0.245313214449017,0.333333333333333,2,53,0
"14","2d415dbf1ee6dd6ec7725fe2b12bc628",4,8,8,3,9,2,"sars",0.857763600240294,0.537037037037037,0.320511111111111,2.62847777777778,-0.6521,0.111111111111111,0.523319615912208,0.666666666666667,2,53,0
"15","2d415dbf1ee6dd6ec7725fe2b12bc628",4,8,12,3,9,3,"sars",0.999730698810697,0.611111111111111,0.446211111111111,4.04670777777778,-1.40666666666667,-0.555555555555556,0.696662094192958,1.11111111111111,2,53,0
"16","2d415dbf1ee6dd6ec7725fe2b12bc628",4,8,20,3,9,4,"sars",0.999933333333353,0.552380952380952,0.5019,9.1569887037037,-2.95342222222222,-1,1.2950845907636,2,3,53,0
"17","2d415dbf1ee6dd6ec7725fe2b12bc628",5,13,8,0,9,1,"sars",0.999469769692603,0.5,0.170133333333333,1.68232222222222,-0.213511111111111,0.111111111111111,0.510891632373114,0.6,2,53,0
"18","2d415dbf1ee6dd6ec7725fe2b12bc628",5,13,12,0,9,2,"sars",0.895313737124778,0.555555555555556,0.132866666666667,1.61432037037037,-0.321344444444444,-0.555555555555556,0.653852766346594,1.04444444444444,2,53,0
"19","2d415dbf1ee6dd6ec7725fe2b12bc628",5,13,20,0,9,3,"sars",0.999933169747945,0.62037037037037,0.132966666666667,2.26686203703704,-0.6356,-1,1.21972382258802,1.93333333333333,3,53,0
"20","2d415dbf1ee6dd6ec7725fe2b12bc628",6,21,12,0,9,1,"sars",0.636595495255639,0.5,0.0298777777777778,1.30621259259259,-0.0707666666666666,-0.555555555555556,0.598651120256058,0.944444444444445,3,53,0
"21","2d415dbf1ee6dd6ec7725fe2b12bc628",6,21,20,0,9,2,"sars",0.869712661394863,0.675925925925926,-0.0465444444444444,1.26277222222222,0.0109,-1,1.11245427526292,1.83333333333333,3,53,0
"22","2d415dbf1ee6dd6ec7725fe2b12bc628",7,33,20,0,9,1,"sars",0.999933252682655,0.648148148148148,-0.1387,1.05781722222222,0.252688888888889,-1,0.97870160409843,1.6984126984127,3,53,0
