"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","2feb242094633c345c857acba7e3fd86",1,1,1,8,9,1,"sars",0.782090074296631,1,-0.0579666666666667,0.0976611111111111,0.0561888888888889,0.777777777777778,0.0548696844993141,0,2,57,0.2559
"2","2feb242094633c345c857acba7e3fd86",1,1,1,8,9,2,"sars",0.119946964575636,1,0.0205333333333333,0.21075,-0.0342666666666667,0.777777777777778,0.0548696844993141,0,2,57,0.2559
"3","2feb242094633c345c857acba7e3fd86",1,1,2,8,9,3,"sars",0.913398866187382,1,-0.0106888888888889,0.365666666666667,-0.0245555555555556,0.555555555555556,0.0973936899862826,0.111111111111111,2,57,0.2559
"4","2feb242094633c345c857acba7e3fd86",1,1,5,8,9,4,"sars",0.539421351825183,1,-0.133511111111111,0.80142037037037,0.110133333333333,0.111111111111111,0.27069044352995,0.444444444444444,2,57,0.2559
"5","2feb242094633c345c857acba7e3fd86",2,2,1,0,9,1,"sars",0.0061247154736269,1,0.0343444444444445,0.219988888888889,-0.0474222222222222,0.777777777777778,0.0548696844993141,0,2,57,0.0715
"6","2feb242094633c345c857acba7e3fd86",2,2,2,0,9,2,"sars",0.886070919973167,1,0.0280888888888889,0.399044444444444,-0.0660333333333333,0.555555555555556,0.0973936899862826,0.111111111111111,2,57,0.0715
"7","2feb242094633c345c857acba7e3fd86",2,2,5,0,9,3,"sars",0.631778136598281,1,-0.0484,0.8816,-0.00335555555555554,0.111111111111111,0.27069044352995,0.444444444444444,2,57,0.0715
"8","2feb242094633c345c857acba7e3fd86",2,2,6,0,9,4,"sars",0.79120658386669,0.611111111111111,0.0393444444444444,1.62755,-0.371155555555556,-0.333333333333333,0.267489711934156,0.555555555555556,2,57,0.0715
"9","2feb242094633c345c857acba7e3fd86",3,3,2,6,9,1,"sars",0.0501950941272738,1,0.00809999999999997,0.357005555555556,-0.038,0.555555555555556,0.0973936899862826,0.111111111111111,2,57,0.0401
"10","2feb242094633c345c857acba7e3fd86",3,3,5,6,9,2,"sars",0.81781267601026,1,-0.0987444444444444,0.671375925925926,0.101066666666667,0.111111111111111,0.27069044352995,0.444444444444444,2,57,0.0401
"11","2feb242094633c345c857acba7e3fd86",3,3,6,6,9,3,"sars",0.345229534517806,0.833333333333333,-0.0571777777777778,0.998472222222222,-0.123855555555556,-0.333333333333333,0.267489711934156,0.555555555555556,2,57,0.0401
"12","2feb242094633c345c857acba7e3fd86",3,3,18,6,9,4,"sars",0.979362640260773,0.5,-0.298644444444444,2.31085277777778,0.564655555555555,-0.555555555555556,1.33790580704161,1.88888888888889,2,57,0.0401
"13","2feb242094633c345c857acba7e3fd86",4,5,5,1,9,1,"sars",0.997368509253615,1,-0.121155555555556,0.600946296296296,0.143033333333333,0.111111111111111,0.262588591678098,0.416666666666667,2,57,0.0093
"14","2feb242094633c345c857acba7e3fd86",4,5,6,1,9,2,"sars",0.901565523634927,0.888888888888889,-0.117122222222222,0.699594444444444,0.0153777777777778,-0.333333333333333,0.253600823045268,0.527777777777778,2,57,0.0093
"15","2feb242094633c345c857acba7e3fd86",4,5,18,1,9,3,"sars",0.89830806682623,0.5,-0.395755555555556,1.65008425925926,0.868666666666667,-0.555555555555556,1.31070673296754,1.86111111111111,2,57,0.0093
"16","2feb242094633c345c857acba7e3fd86",4,5,23,1,9,4,"sars",0.750606921785318,0.555555555555556,-0.304833333333333,1.722915,0.560355555555555,-1,1.69091792409694,2.41666666666667,2,57,0.0093
"17","2feb242094633c345c857acba7e3fd86",5,10,6,1,9,1,"sars",0.997026211720211,0.666666666666667,-0.00783333333333331,0.830311111111111,-0.131022222222222,-0.333333333333333,0.218106995884774,0.444444444444444,2,57,0
"18","2feb242094633c345c857acba7e3fd86",5,10,18,1,9,2,"sars",0.665083629780717,0.518518518518518,-0.287855555555556,1.71228703703704,0.566888888888889,-0.555555555555556,1.23331047096479,1.77777777777778,2,57,0
"19","2feb242094633c345c857acba7e3fd86",5,10,23,1,9,3,"sars",0.850728639366287,0.62962962962963,-0.0858777777777778,1.58615814814815,0.0491555555555555,-1,1.58692272519433,2.33333333333333,3,57,0
"20","2feb242094633c345c857acba7e3fd86",6,16,18,0,9,1,"sars",0.999899948499386,0.5,-0.350044444444444,1.50029074074074,0.736511111111111,-0.555555555555556,1.16980389168318,1.7037037037037,2,57,0
"21","2feb242094633c345c857acba7e3fd86",6,16,23,0,9,2,"sars",0.912846210617246,0.62962962962963,-0.225477777777778,1.11164851851852,0.509533333333333,-1,1.4981964131484,2.25925925925926,3,57,0
"22","2feb242094633c345c857acba7e3fd86",7,34,23,0,9,1,"sars",0.911224021275053,0.703703703703704,0.0255555555555556,1.29638444444444,-0.106477777777778,-1,1.23127758648041,2.01587301587302,3,57,0
