"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","33473b9adeaffc00eca2b333a2891dfd",1,1,1,8,9,1,"sars",0.768987503422807,1,-0.0585888888888889,0.102383333333333,0.0565444444444445,0.777777777777778,0.0548696844993141,0,2,12,0.2502
"2","33473b9adeaffc00eca2b333a2891dfd",1,1,1,8,9,2,"sars",0.529527400584218,1,0.0230666666666667,0.216444444444444,-0.0372333333333333,0.777777777777778,0.0548696844993141,0,2,12,0.2502
"3","33473b9adeaffc00eca2b333a2891dfd",1,1,0,8,9,3,"sars",0.186901327868047,1,0.204677777777778,0.364333333333333,-0.251511111111111,1,0.0123456790123457,-0.111111111111111,2,12,0.2502
"4","33473b9adeaffc00eca2b333a2891dfd",1,1,1,8,9,4,"sars",0.296660639076801,1,0.212611111111111,0.8473,-0.352666666666667,0.777777777777778,0.0548696844993141,0,2,12,0.2502
"5","33473b9adeaffc00eca2b333a2891dfd",2,2,1,2,9,1,"sars",0.999933329625324,1,0.0418111111111111,0.237488888888889,-0.0573666666666667,0.777777777777778,0.0548696844993141,0,2,12,0.0633
"6","33473b9adeaffc00eca2b333a2891dfd",2,2,0,2,9,2,"sars",0.999823480852205,1,0.263055555555556,0.452588888888889,-0.319522222222222,1,0.0123456790123457,-0.111111111111111,2,12,0.0633
"7","33473b9adeaffc00eca2b333a2891dfd",2,2,1,2,9,3,"sars",0.99562422973927,1,0.311111111111111,1.02938333333333,-0.483744444444444,0.777777777777778,0.0548696844993141,0,2,12,0.0633
"8","33473b9adeaffc00eca2b333a2891dfd",2,2,1,2,9,4,"sars",0.617542609717033,0.611111111111111,0.465144444444444,3.12122777777778,-1.00402222222222,0.777777777777778,0.0548696844993141,0,2,12,0.0633
"9","33473b9adeaffc00eca2b333a2891dfd",3,3,0,8,9,1,"sars",0.242822088485618,1,0.253255555555556,0.412222222222222,-0.301844444444444,1,0.0123456790123457,-0.111111111111111,2,12,0.04
"10","33473b9adeaffc00eca2b333a2891dfd",3,3,1,8,9,2,"sars",0.252897637857706,1,0.269066666666667,0.751072222222222,-0.381955555555556,0.777777777777778,0.0548696844993141,0,2,12,0.04
"11","33473b9adeaffc00eca2b333a2891dfd",3,3,1,8,9,3,"sars",0.573155416065768,0.777777777777778,0.4044,1.85095,-0.732533333333333,0.777777777777778,0.0548696844993141,0,2,12,0.04
"12","33473b9adeaffc00eca2b333a2891dfd",3,3,0,8,9,4,"sars",0.961985558040624,0.5,0.628922222222222,5.82735555555556,-1.54606666666667,1,0.0123456790123457,-0.111111111111111,2,12,0.04
"13","33473b9adeaffc00eca2b333a2891dfd",4,3,1,17,9,1,"sars",0.254890414104172,1,0.0848555555555555,0.299227777777778,-0.110633333333333,0.777777777777778,0.0528549382716049,0.0277777777777778,2,12,0.2024
"14","33473b9adeaffc00eca2b333a2891dfd",4,3,1,17,9,2,"sars",0.452799371492592,1,0.0913777777777778,0.334133333333333,-0.124677777777778,0.777777777777778,0.0528549382716049,0.0277777777777778,2,12,0.2024
"15","33473b9adeaffc00eca2b333a2891dfd",4,3,0,17,9,3,"sars",0.40527710441992,1,0.246855555555556,0.570922222222222,-0.332144444444444,1,0.00694444444444444,-0.0833333333333333,2,12,0.2024
"16","33473b9adeaffc00eca2b333a2891dfd",4,3,7,17,9,4,"sars",0.748081939034357,1,-0.297633333333333,0.864161111111111,0.249233333333333,-0.333333333333333,0.371784979423868,0.694444444444444,2,12,0.2024
"17","33473b9adeaffc00eca2b333a2891dfd",5,4,1,1,9,1,"sars",0.147623039513368,1,0.0378666666666666,0.219338888888889,-0.0512222222222222,0.777777777777778,0.0531412894375857,0.0222222222222222,2,12,0.2522
"18","33473b9adeaffc00eca2b333a2891dfd",5,4,0,1,9,2,"sars",0.130490217619412,1,0.143777777777778,0.198255555555556,-0.160766666666667,1,0.00790123456790123,-0.0888888888888889,2,12,0.2522
"19","33473b9adeaffc00eca2b333a2891dfd",5,4,7,1,9,3,"sars",0.129107949849393,1,-0.467088888888889,0.469346296296296,0.542044444444444,-0.333333333333333,0.368495656149977,0.688888888888889,2,12,0.2522
"20","33473b9adeaffc00eca2b333a2891dfd",6,5,0,7,9,1,"sars",0.880814389600928,1,0.136344444444444,0.174744444444444,-0.148655555555556,1,0.00857338820301783,-0.0925925925925926,2,12,0.2477
"21","33473b9adeaffc00eca2b333a2891dfd",6,5,7,7,9,2,"sars",0.770407354623646,1,-0.505588888888889,0.438222222222222,0.593266666666667,-0.333333333333333,0.366325001270132,0.685185185185185,2,12,0.2477
"22","33473b9adeaffc00eca2b333a2891dfd",7,5,7,16,9,1,"sars",0.87867261054971,1,-0.551255555555555,0.43312037037037,0.645411111111111,-0.333333333333333,0.374158991442942,0.698412698412698,2,12,0.3474
