"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","33cf957522e69dd9e102af0ed4be8828",1,1,1,8,9,1,"sars",0.0828249111169834,1,-0.0587333333333334,0.110244444444444,0.0566444444444444,0.777777777777778,0.0548696844993141,0,2,30,0.2446
"2","33cf957522e69dd9e102af0ed4be8828",1,1,1,8,9,2,"sars",0.0965616434921327,1,0.0185666666666667,0.1977,-0.0299111111111111,0.777777777777778,0.0548696844993141,0,2,30,0.2446
"3","33cf957522e69dd9e102af0ed4be8828",1,1,2,8,9,3,"sars",0.0537390750553781,1,-0.0138,0.369005555555556,-0.0217333333333333,0.555555555555556,0.0973936899862826,0.111111111111111,2,30,0.2446
"4","33cf957522e69dd9e102af0ed4be8828",1,1,3,8,9,4,"sars",0.334803359002518,1,0.0660222222222222,0.77075,-0.100855555555556,0.555555555555556,0.185642432556013,0.222222222222222,2,30,0.2446
"5","33cf957522e69dd9e102af0ed4be8828",2,2,1,7,9,1,"sars",0.303967039587657,1,0.0677444444444444,0.262161111111111,-0.0876222222222222,0.777777777777778,0.0548696844993141,0,2,30,0.0733
"6","33cf957522e69dd9e102af0ed4be8828",2,2,2,7,9,2,"sars",0.812336207074943,1,0.0779,0.502311111111111,-0.135722222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,30,0.0733
"7","33cf957522e69dd9e102af0ed4be8828",2,2,3,7,9,3,"sars",0.905104742443258,1,0.189344444444444,1.02619259259259,-0.289088888888889,0.555555555555556,0.185642432556013,0.222222222222222,2,30,0.0733
"8","33cf957522e69dd9e102af0ed4be8828",2,2,3,7,9,4,"sars",0.822871889716114,0.555555555555556,0.333577777777778,2.52688888888889,-0.822677777777778,0.333333333333333,0.139917695473251,0.222222222222222,2,30,0.0733
"9","33cf957522e69dd9e102af0ed4be8828",3,3,2,2,9,1,"sars",0.372015505218136,1,0.0231444444444445,0.386288888888889,-0.0576777777777778,0.555555555555556,0.0973936899862826,0.111111111111111,2,30,0.0574
"10","33cf957522e69dd9e102af0ed4be8828",3,3,3,2,9,2,"sars",0.493361809514903,1,0.0724888888888889,0.607753703703704,-0.0703777777777778,0.555555555555556,0.185642432556013,0.222222222222222,2,30,0.0574
"11","33cf957522e69dd9e102af0ed4be8828",3,3,3,2,9,3,"sars",0.201383461826348,0.944444444444444,0.184666666666667,1.15505555555556,-0.392833333333333,0.333333333333333,0.139917695473251,0.222222222222222,2,30,0.0574
"12","33cf957522e69dd9e102af0ed4be8828",3,3,5,2,9,4,"sars",0.789770784930142,0.5,0.202011111111111,2.74516111111111,-0.743877777777778,-0.111111111111111,0.224965706447188,0.444444444444444,2,30,0.0574
"13","33cf957522e69dd9e102af0ed4be8828",4,5,3,2,9,1,"sars",0.263971727525268,1,0.0525555555555555,0.535801851851852,-0.0293222222222222,0.555555555555556,0.184485025148605,0.194444444444444,2,30,0.0146
"14","33cf957522e69dd9e102af0ed4be8828",4,5,3,2,9,2,"sars",0.347021901213615,1,0.1263,0.752738888888889,-0.238833333333333,0.333333333333333,0.136445473251029,0.194444444444444,2,30,0.0146
"15","33cf957522e69dd9e102af0ed4be8828",4,5,5,2,9,3,"sars",0.619810674699108,0.555555555555556,0.130277777777778,1.3741,-0.399411111111111,-0.111111111111111,0.214549039780521,0.416666666666667,2,30,0.0146
"16","33cf957522e69dd9e102af0ed4be8828",4,5,14,2,9,4,"sars",0.996436329346623,0.5,-0.0254666666666667,3.32678222222222,-0.0852444444444444,-0.333333333333333,1.00317501143118,1.41666666666667,2,30,0.0146
"17","33cf957522e69dd9e102af0ed4be8828",5,8,3,0,9,1,"sars",0.558787916985018,1,0.0706666666666667,0.596027777777778,-0.144477777777778,0.333333333333333,0.133744855967078,0.155555555555556,2,30,0.0031
"18","33cf957522e69dd9e102af0ed4be8828",5,8,5,0,9,2,"sars",0.79203534273549,0.777777777777778,0.0460666666666667,0.855283333333333,-0.186766666666667,-0.111111111111111,0.201838134430727,0.377777777777778,2,30,0.0031
"19","33cf957522e69dd9e102af0ed4be8828",5,8,14,0,9,3,"sars",0.683120656230091,0.5,-0.105088888888889,1.96348740740741,0.291755555555556,-0.333333333333333,0.975782350251486,1.37777777777778,2,30,0.0031
"20","33cf957522e69dd9e102af0ed4be8828",6,11,5,0,9,1,"sars",0.987319238309069,0.944444444444444,-0.0381888888888889,0.66365,-0.0519444444444445,-0.111111111111111,0.194577808260936,0.351851851851852,2,30,0.0019
"21","33cf957522e69dd9e102af0ed4be8828",6,11,14,0,9,2,"sars",0.781990158175964,0.5,-0.225488888888889,1.38201611111111,0.635644444444444,-0.333333333333333,0.958460346491897,1.35185185185185,2,30,0.0019
"22","33cf957522e69dd9e102af0ed4be8828",7,16,14,0,9,1,"sars",0.926865935199715,0.555555555555556,-0.251055555555556,1.30506722222222,0.7015,-0.333333333333333,0.927018653826414,1.3015873015873,2,30,0.0021
