"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","371c465c9b89b4a95f2d0cf43a6d7f19",1,1,2,8,9,1,"sars",0.333015584896648,1,-0.170388888888889,0.149116666666667,0.168988888888889,0.555555555555556,0.0973936899862826,0.111111111111111,2,71,0.2564
"2","371c465c9b89b4a95f2d0cf43a6d7f19",1,1,4,8,9,2,"sars",0.371079485898931,1,-0.218555555555556,0.340577777777778,0.303266666666667,0.333333333333333,0.228166438042981,0.333333333333333,2,71,0.2564
"3","371c465c9b89b4a95f2d0cf43a6d7f19",1,1,2,8,9,3,"sars",0.26591952375154,1,-0.0139888888888889,0.346183333333333,-0.0180666666666667,0.555555555555556,0.0973936899862826,0.111111111111111,2,71,0.2564
"4","371c465c9b89b4a95f2d0cf43a6d7f19",1,1,11,8,9,4,"sars",0.100480887858434,1,-0.436122222222222,0.953727777777778,0.786355555555556,-0.333333333333333,0.720164609053498,1.11111111111111,2,71,0.2564
"5","371c465c9b89b4a95f2d0cf43a6d7f19",2,3,4,2,9,1,"sars",0.853923908124027,1,-0.143933333333333,0.407274074074074,0.2033,0.333333333333333,0.220164609053498,0.277777777777778,2,71,0.0079
"6","371c465c9b89b4a95f2d0cf43a6d7f19",2,3,2,2,9,2,"sars",0.873578201700197,1,0.216022222222222,0.742672222222222,-0.324811111111111,0.555555555555556,0.0987654320987654,0.0555555555555556,2,71,0.0079
"7","371c465c9b89b4a95f2d0cf43a6d7f19",2,3,11,2,9,3,"sars",0.941231657298292,0.5,-0.131866666666667,1.38521481481481,0.178688888888889,-0.333333333333333,0.68287037037037,1.05555555555556,2,71,0.0079
"8","371c465c9b89b4a95f2d0cf43a6d7f19",2,3,13,2,9,4,"sars",0.999343202995608,0.592592592592593,0.135233333333333,2.45037222222222,-0.542022222222222,-0.555555555555556,0.816872427983539,1.27777777777778,2,71,0.0079
"9","371c465c9b89b4a95f2d0cf43a6d7f19",3,7,2,0,9,1,"sars",0.781587114524796,0.833333333333333,0.284588888888889,0.885694444444444,-0.425788888888889,0.555555555555556,0.113244932174973,-0.037037037037037,2,71,0
"10","371c465c9b89b4a95f2d0cf43a6d7f19",3,7,11,0,9,2,"sars",0.963463047589962,0.537037037037037,0.0333111111111111,1.77574166666667,-0.172988888888889,-0.333333333333333,0.628715134887974,0.962962962962963,2,71,0
"11","371c465c9b89b4a95f2d0cf43a6d7f19",3,7,13,0,9,3,"sars",0.999932566565105,0.675925925925926,0.435711111111111,3.62472314814815,-1.33667777777778,-0.555555555555556,0.748158309200833,1.18518518518519,3,71,0
"12","371c465c9b89b4a95f2d0cf43a6d7f19",3,7,15,0,9,4,"sars",0.999933333333353,0.618650793650794,0.7261,16.6309651851852,-3.8058,-0.333333333333333,1.03498450439466,1.40740740740741,3,71,0
"13","371c465c9b89b4a95f2d0cf43a6d7f19",4,9,11,0,9,1,"sars",0.999928200397267,0.5,-0.169433333333333,1.16764444444444,0.2861,-0.333333333333333,0.633680555555556,0.972222222222222,2,71,1e-04
"14","371c465c9b89b4a95f2d0cf43a6d7f19",4,9,13,0,9,2,"sars",0.988391595287329,0.537037037037037,0.00370000000000001,1.43811203703704,-0.0846555555555556,-0.555555555555556,0.75462962962963,1.19444444444444,2,71,1e-04
"15","371c465c9b89b4a95f2d0cf43a6d7f19",4,9,15,0,9,3,"sars",0.832807971102665,0.611111111111111,0.331077777777778,4.59462925925926,-1.048,-0.333333333333333,1.04050925925926,1.41666666666667,2,71,1e-04
"16","371c465c9b89b4a95f2d0cf43a6d7f19",4,9,23,0,9,4,"sars",0.999801273654749,0.562962962962963,0.426233333333333,7.94050462962963,-2.45957777777778,-0.777777777777778,1.60532407407407,2.30555555555556,2,71,1e-04
"17","371c465c9b89b4a95f2d0cf43a6d7f19",5,20,13,0,9,1,"sars",0.99100032545897,0.592592592592593,0.130644444444444,1.64174166666667,-0.351644444444444,-0.555555555555556,0.637402834933699,1,3,71,0
"18","371c465c9b89b4a95f2d0cf43a6d7f19",5,20,15,0,9,2,"sars",0.999933298095255,0.681481481481481,0.507688888888889,5.81005407407407,-1.67375555555556,-0.333333333333333,0.944627343392775,1.22222222222222,3,71,0
"19","371c465c9b89b4a95f2d0cf43a6d7f19",5,20,23,0,9,3,"sars",0.999933333333353,0.679761904761905,0.7353,9.90085740740741,-3.6491,-0.777777777777778,1.40077732053041,2.11111111111111,3,71,0
"20","371c465c9b89b4a95f2d0cf43a6d7f19",6,33,15,0,9,1,"sars",0.999904094461327,0.703703703703704,0.385866666666667,4.03498407407407,-1.06516666666667,-0.333333333333333,0.896101966163695,1.05555555555556,3,71,0
"21","371c465c9b89b4a95f2d0cf43a6d7f19",6,33,23,0,9,2,"sars",0.999933333333353,0.740476190476191,0.575555555555556,4.97986759259259,-2.16566666666667,-0.777777777777778,1.24662780064015,1.94444444444444,3,71,0
"22","371c465c9b89b4a95f2d0cf43a6d7f19",7,48,23,0,9,1,"sars",0.907013586775668,0.766666666666667,0.272511111111111,2.65592685185185,-0.9154,-0.777777777777778,1.12400268749475,1.79365079365079,3,71,0
