"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","5506e538f4d2b8e2e025fcca76cf5f44",1,1,0,8,9,1,"sars",0.948207859994686,1,0.0528,0.0614111111111111,-0.0555222222222222,1,0.0123456790123457,-0.111111111111111,2,16,0.244
"2","5506e538f4d2b8e2e025fcca76cf5f44",1,1,0,8,9,2,"sars",0.27866905510526,1,0.134177777777778,0.179244444444444,-0.148444444444444,1,0.0123456790123457,-0.111111111111111,2,16,0.244
"3","5506e538f4d2b8e2e025fcca76cf5f44",1,1,2,8,9,3,"sars",0.539733113477639,1,0.0808222222222222,0.471759259259259,-0.0339,0.777777777777778,0.143118427069044,0.111111111111111,2,16,0.244
"4","5506e538f4d2b8e2e025fcca76cf5f44",1,1,1,8,9,4,"sars",0.967033940046447,1,0.2115,0.832311111111111,-0.3497,0.777777777777778,0.0548696844993141,0,2,16,0.244
"5","5506e538f4d2b8e2e025fcca76cf5f44",2,1,0,17,9,1,"sars",0.472733194731803,1,0.0962555555555556,0.119111111111111,-0.103622222222222,1,0.00308641975308642,-0.0555555555555556,2,16,0.362
"6","5506e538f4d2b8e2e025fcca76cf5f44",2,1,2,17,9,2,"sars",0.52153299736297,1,0.00284444444444445,0.297918518518519,0.0802666666666667,0.777777777777778,0.142775491540924,0.166666666666667,2,16,0.362
"7","5506e538f4d2b8e2e025fcca76cf5f44",2,1,1,17,9,3,"sars",0.542719667908311,1,0.0724888888888889,0.344783333333333,-0.114311111111111,0.777777777777778,0.0522976680384088,0.0555555555555556,2,16,0.362
"8","5506e538f4d2b8e2e025fcca76cf5f44",2,1,2,17,9,4,"sars",0.643604833948816,1,0.0638666666666667,0.8108,-0.195855555555556,0.555555555555556,0.101508916323731,0.166666666666667,2,16,0.362
"9","5506e538f4d2b8e2e025fcca76cf5f44",3,1,2,26,9,1,"sars",0.999933333333353,1,-0.0569777777777778,0.204303703703704,0.157533333333333,0.777777777777778,0.143931311283849,0.185185185185185,2,16,0.6324
"10","5506e538f4d2b8e2e025fcca76cf5f44",3,1,1,26,9,2,"sars",0.999933333333353,1,-0.0535666666666667,0.113466666666667,0.0501111111111111,0.777777777777778,0.0527358634354519,0.0740740740740741,2,16,0.6324
"11","5506e538f4d2b8e2e025fcca76cf5f44",3,1,2,26,9,3,"sars",0.999933333333353,1,-0.145844444444444,0.192066666666667,0.136233333333333,0.555555555555556,0.104099984758421,0.185185185185185,2,16,0.6324
"12","5506e538f4d2b8e2e025fcca76cf5f44",3,1,2,26,9,4,"sars",0.999933333333353,1,-0.108711111111111,0.312166666666667,0.0753888888888889,0.555555555555556,0.104099984758421,0.185185185185185,2,16,0.6324
"13","5506e538f4d2b8e2e025fcca76cf5f44",4,3,1,8,9,1,"sars",0.58951394422208,1,0.0505,0.231966666666667,-0.0660888888888889,0.777777777777778,0.0528549382716049,0.0277777777777778,2,16,0.0968
"14","5506e538f4d2b8e2e025fcca76cf5f44",4,3,2,8,9,2,"sars",0.105532246151697,1,0.0393222222222222,0.406772222222222,-0.0794,0.555555555555556,0.0987654320987654,0.138888888888889,2,16,0.0968
"15","5506e538f4d2b8e2e025fcca76cf5f44",4,3,2,8,9,3,"sars",0.8134618056781,1,0.147177777777778,0.782505555555556,-0.266666666666667,0.555555555555556,0.0987654320987654,0.138888888888889,2,16,0.0968
"16","5506e538f4d2b8e2e025fcca76cf5f44",4,3,8,8,9,4,"sars",0.322060841554452,1,-0.120666666666667,1.45860740740741,0.0796333333333333,-0.111111111111111,0.50462962962963,0.805555555555556,2,16,0.0968
"17","5506e538f4d2b8e2e025fcca76cf5f44",5,4,2,0,9,1,"sars",0.711334992938692,1,-0.0125666666666667,0.322972222222222,-0.0119777777777778,0.555555555555556,0.0983813443072702,0.133333333333333,2,16,0.0871
"18","5506e538f4d2b8e2e025fcca76cf5f44",5,4,2,0,9,2,"sars",0.142412630152052,1,0.0479,0.438211111111111,-0.0939444444444445,0.555555555555556,0.0983813443072702,0.133333333333333,2,16,0.0871
"19","5506e538f4d2b8e2e025fcca76cf5f44",5,4,8,0,9,3,"sars",0.486199685089017,1,-0.255366666666667,0.839242592592593,0.394111111111111,-0.111111111111111,0.50156378600823,0.8,2,16,0.0871
"20","5506e538f4d2b8e2e025fcca76cf5f44",6,6,2,1,9,1,"sars",0.300096876859441,1,0.0215777777777778,0.370905555555556,-0.0529444444444444,0.555555555555556,0.0973936899862826,0.111111111111111,2,16,0.0717
"21","5506e538f4d2b8e2e025fcca76cf5f44",6,6,8,1,9,2,"sars",0.264460997488894,1,-0.298288888888889,0.690927777777778,0.485244444444444,-0.111111111111111,0.489711934156379,0.777777777777778,2,16,0.0717
"22","5506e538f4d2b8e2e025fcca76cf5f44",7,8,8,0,9,1,"sars",0.999882674594503,1,-0.322333333333333,0.661387037037037,0.526155555555556,-0.111111111111111,0.481649449903418,0.761904761904762,2,16,0.0631
