"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","5d653ef6287024e456bcb51f601f7c99",1,1,0,8,9,1,"sars",0.595774804116471,1,0.0521333333333334,0.0585333333333333,-0.0542,1,0.0123456790123457,-0.111111111111111,2,5,0.2501
"2","5d653ef6287024e456bcb51f601f7c99",1,1,1,8,9,2,"sars",0.422868125243015,1,0.0219,0.197166666666667,-0.0333555555555556,0.777777777777778,0.0548696844993141,0,2,5,0.2501
"3","5d653ef6287024e456bcb51f601f7c99",1,1,0,8,9,3,"sars",0.602770874790887,1,0.198311111111111,0.346088888888889,-0.2418,1,0.0123456790123457,-0.111111111111111,2,5,0.2501
"4","5d653ef6287024e456bcb51f601f7c99",1,1,1,8,9,4,"sars",0.370633882857475,1,0.198433333333333,0.8323,-0.332911111111111,0.777777777777778,0.0548696844993141,0,2,5,0.2501
"5","5d653ef6287024e456bcb51f601f7c99",2,1,1,17,9,1,"sars",0.262553683791402,1,-0.0178,0.151144444444444,0.0113888888888889,0.777777777777778,0.0522976680384088,0.0555555555555556,2,5,0.3799
"6","5d653ef6287024e456bcb51f601f7c99",2,1,0,17,9,2,"sars",0.533379066275494,1,0.121366666666667,0.1694,-0.136222222222222,1,0.00308641975308642,-0.0555555555555556,2,5,0.3799
"7","5d653ef6287024e456bcb51f601f7c99",2,1,1,17,9,3,"sars",0.462089275686537,1,0.0656,0.351966666666667,-0.108822222222222,0.777777777777778,0.0522976680384088,0.0555555555555556,2,5,0.3799
"8","5d653ef6287024e456bcb51f601f7c99",2,1,1,17,9,4,"sars",0.36045947047371,1,0.1505,0.862655555555556,-0.292155555555556,0.777777777777778,0.0522976680384088,0.0555555555555556,2,5,0.3799
"9","5d653ef6287024e456bcb51f601f7c99",3,2,0,0,9,1,"sars",0.493081541059608,1,0.116966666666667,0.147877777777778,-0.126744444444444,1,0.00548696844993141,-0.0740740740740741,2,5,0.1803
"10","5d653ef6287024e456bcb51f601f7c99",3,2,1,0,9,2,"sars",0.28919895218966,1,0.0394,0.2392,-0.0577222222222222,0.777777777777778,0.0525072397500381,0.037037037037037,2,5,0.1803
"11","5d653ef6287024e456bcb51f601f7c99",3,2,1,0,9,3,"sars",0.505460726373665,1,0.143233333333333,0.528355555555556,-0.216711111111111,0.777777777777778,0.0525072397500381,0.037037037037037,2,5,0.1803
"12","5d653ef6287024e456bcb51f601f7c99",3,2,1,0,9,4,"sars",0.961493370900992,1,0.248888888888889,1.27660555555556,-0.459455555555556,0.777777777777778,0.0525072397500381,0.037037037037037,2,5,0.1803
"13","5d653ef6287024e456bcb51f601f7c99",4,2,1,9,9,1,"sars",0.501697903775159,1,-0.0136333333333333,0.155872222222222,0.00707777777777778,0.777777777777778,0.0522976680384088,0.0555555555555556,2,5,0.3293
"14","5d653ef6287024e456bcb51f601f7c99",4,2,1,9,9,2,"sars",0.369196112963916,1,0.0169111111111111,0.201883333333333,-0.0295666666666667,0.777777777777778,0.0522976680384088,0.0555555555555556,2,5,0.3293
"15","5d653ef6287024e456bcb51f601f7c99",4,2,1,9,9,3,"sars",0.985422460982819,1,0.0644,0.342711111111111,-0.103677777777778,0.777777777777778,0.0522976680384088,0.0555555555555556,2,5,0.3293
"16","5d653ef6287024e456bcb51f601f7c99",4,2,0,9,9,4,"sars",0.0635045332522677,1,0.231055555555556,0.694811111111111,-0.342366666666667,1,0.00308641975308642,-0.0555555555555556,2,5,0.3293
"17","5d653ef6287024e456bcb51f601f7c99",5,3,1,4,9,1,"sars",0.672655580598899,1,0.00968888888888888,0.1868,-0.0195333333333333,0.777777777777778,0.0523456790123457,0.0444444444444444,2,5,0.2188
"18","5d653ef6287024e456bcb51f601f7c99",5,3,1,4,9,2,"sars",0.924180523775735,1,0.0518444444444444,0.258866666666667,-0.0724333333333333,0.777777777777778,0.0523456790123457,0.0444444444444444,2,5,0.2188
"19","5d653ef6287024e456bcb51f601f7c99",5,3,0,4,9,3,"sars",0.539598435802265,1,0.219733333333333,0.414822222222222,-0.274888888888889,1,0.00444444444444444,-0.0666666666666667,2,5,0.2188
"20","5d653ef6287024e456bcb51f601f7c99",6,4,1,3,9,1,"sars",0.00292266208802166,1,0.0384,0.227394444444444,-0.0529333333333333,0.777777777777778,0.0525072397500381,0.037037037037037,2,5,0.2058
"21","5d653ef6287024e456bcb51f601f7c99",6,4,0,3,9,2,"sars",0.870473019518473,1,0.194177777777778,0.289477777777778,-0.223388888888889,1,0.00548696844993141,-0.0740740740740741,2,5,0.2058
"22","5d653ef6287024e456bcb51f601f7c99",7,5,0,7,9,1,"sars",0.635203277113379,1,0.183988888888889,0.260711111111111,-0.208,1,0.00629881582262535,-0.0793650793650794,2,5,0.2075
