"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","6240f519434f072f0cd99fac9e746423",1,1,0,8,9,1,"sars",0.0634089436303075,1,0.0520555555555555,0.0590555555555556,-0.0543444444444444,1,0.0123456790123457,-0.111111111111111,2,44,0.2537
"2","6240f519434f072f0cd99fac9e746423",1,1,3,8,9,2,"sars",0.527711449923228,1,-0.199633333333333,0.255894444444444,0.190755555555556,0.333333333333333,0.139917695473251,0.222222222222222,2,44,0.2537
"3","6240f519434f072f0cd99fac9e746423",1,1,3,8,9,3,"sars",0.228749191259012,1,-0.122566666666667,0.37745,0.0906222222222222,0.333333333333333,0.139917695473251,0.222222222222222,2,44,0.2537
"4","6240f519434f072f0cd99fac9e746423",1,1,4,8,9,4,"sars",0.225028265079412,1,-0.0996333333333333,0.636122222222222,0.0053777777777778,0.111111111111111,0.182441700960219,0.333333333333333,2,44,0.2537
"5","6240f519434f072f0cd99fac9e746423",2,1,3,17,9,1,"sars",0.999933333333353,1,-0.237655555555556,0.22935,0.232733333333333,0.333333333333333,0.150720164609053,0.277777777777778,2,44,0.3746
"6","6240f519434f072f0cd99fac9e746423",2,1,3,17,9,2,"sars",0.999933333333353,1,-0.208822222222222,0.261216666666667,0.198688888888889,0.333333333333333,0.150720164609053,0.277777777777778,2,44,0.3746
"7","6240f519434f072f0cd99fac9e746423",2,1,4,17,9,3,"sars",0.999933333333353,1,-0.255033333333333,0.3657,0.227711111111111,0.111111111111111,0.199931412894376,0.388888888888889,2,44,0.3746
"8","6240f519434f072f0cd99fac9e746423",2,1,8,17,9,4,"sars",0.999585624696901,1,-0.480844444444444,0.685848148148148,0.490122222222222,-0.555555555555556,0.438042981252858,0.833333333333333,2,44,0.3746
"9","6240f519434f072f0cd99fac9e746423",3,4,3,0,9,1,"sars",0.999933332264628,1,-0.0844888888888889,0.38645,0.0557,0.333333333333333,0.135573845450389,0.185185185185185,2,44,0.0071
"10","6240f519434f072f0cd99fac9e746423",3,4,4,0,9,2,"sars",0.99382387098719,0.944444444444444,0.0413777777777778,0.647161111111111,-0.133544444444444,0.111111111111111,0.173449169333943,0.296296296296296,2,44,0.0071
"11","6240f519434f072f0cd99fac9e746423",3,4,8,0,9,3,"sars",0.69336941294461,0.5,0.0359777777777778,1.27041296296296,-0.2653,-0.555555555555556,0.373774323019865,0.740740740740741,2,44,0.0071
"12","6240f519434f072f0cd99fac9e746423",3,4,10,0,9,4,"sars",0.789897841031442,0.611111111111111,0.255722222222222,4.08611481481481,-1.04916666666667,-0.555555555555556,0.547172687090383,0.962962962962963,2,44,0.0071
"13","6240f519434f072f0cd99fac9e746423",4,7,4,0,9,1,"sars",0.808384695737649,0.833333333333333,0.0994777777777778,0.70775,-0.205066666666667,0.111111111111111,0.165209190672154,0.25,2,44,1e-04
"14","6240f519434f072f0cd99fac9e746423",4,7,8,0,9,2,"sars",0.913923914769388,0.5,0.128911111111111,1.34090555555556,-0.390944444444444,-0.555555555555556,0.345450388660265,0.694444444444444,2,44,1e-04
"15","6240f519434f072f0cd99fac9e746423",4,7,10,0,9,3,"sars",0.999445200584727,0.62962962962963,0.377388888888889,4.03956296296296,-1.23253333333333,-0.555555555555556,0.514831961591221,0.916666666666667,3,44,1e-04
"16","6240f519434f072f0cd99fac9e746423",4,7,15,0,9,4,"sars",0.999933333333353,0.544444444444444,0.572644444444445,9.03536759259259,-2.75985555555556,-0.777777777777778,0.925075731595793,1.47222222222222,2,44,1e-04
"17","6240f519434f072f0cd99fac9e746423",5,11,8,0,9,1,"sars",0.651675581349457,0.5,-0.0112222222222222,0.932581481481481,-0.1211,-0.555555555555556,0.317713763145862,0.644444444444444,2,44,0
"18","6240f519434f072f0cd99fac9e746423",5,11,10,0,9,2,"sars",0.999557503873211,0.555555555555556,0.169588888888889,2.0502037037037,-0.542322222222222,-0.555555555555556,0.482578875171468,0.866666666666667,2,44,0
"19","6240f519434f072f0cd99fac9e746423",5,11,15,0,9,3,"sars",0.999933333293355,0.62962962962963,0.359777777777778,3.62962777777778,-1.28495555555556,-0.777777777777778,0.880402377686328,1.42222222222222,3,44,0
"20","6240f519434f072f0cd99fac9e746423",6,19,10,1,9,1,"sars",0.999712637324683,0.537037037037037,0.0926666666666667,1.59160925925926,-0.339644444444444,-0.555555555555556,0.422687090382564,0.759259259259259,3,44,0
"21","6240f519434f072f0cd99fac9e746423",6,19,15,1,9,2,"sars",0.764067299272849,0.685185185185185,0.267333333333333,2.22503611111111,-0.774944444444444,-0.777777777777778,0.792108037392674,1.31481481481481,3,44,0
"22","6240f519434f072f0cd99fac9e746423",7,29,15,0,9,1,"sars",0.999802725285358,0.648148148148148,0.154155555555556,1.67693425925926,-0.432344444444444,-0.777777777777778,0.713567182702985,1.20634920634921,3,44,0
