"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","65b4b50042e792a5ef6101f3d3942709",1,2,0,3,9,1,"sars",0.442125038604344,1,0.0885111111111111,0.107944444444444,-0.0947222222222222,1,0.0493827160493827,-0.222222222222222,2,66,0.0419
"2","65b4b50042e792a5ef6101f3d3942709",1,2,4,3,9,2,"sars",0.0674783435599932,1,-0.154288888888889,0.399327777777778,0.124311111111111,0.111111111111111,0.161865569272977,0.222222222222222,2,66,0.0419
"3","65b4b50042e792a5ef6101f3d3942709",1,2,7,3,9,3,"sars",0.341371930672233,1,-0.200855555555556,0.644996296296296,0.181377777777778,-0.333333333333333,0.301554641060814,0.555555555555556,2,66,0.0419
"4","65b4b50042e792a5ef6101f3d3942709",1,2,4,3,9,4,"sars",0.887856048859023,0.5,0.278522222222222,1.8795,-0.664044444444444,0.111111111111111,0.161865569272977,0.222222222222222,2,66,0.0419
"5","65b4b50042e792a5ef6101f3d3942709",2,2,4,12,9,1,"sars",0.999932957047732,1,-0.214488888888889,0.347061111111111,0.195855555555556,0.111111111111111,0.182441700960219,0.333333333333333,2,66,0.077
"6","65b4b50042e792a5ef6101f3d3942709",2,2,7,12,9,2,"sars",0.999907082601975,1,-0.348266666666667,0.512796296296296,0.3878,-0.333333333333333,0.355738454503887,0.666666666666667,2,66,0.077
"7","65b4b50042e792a5ef6101f3d3942709",2,2,4,12,9,3,"sars",0.982982986488023,1,0.0598777777777778,0.925833333333333,-0.220222222222222,0.111111111111111,0.182441700960219,0.333333333333333,2,66,0.077
"8","65b4b50042e792a5ef6101f3d3942709",2,2,13,12,9,4,"sars",0.753413082762879,0.5,-0.216066666666667,1.52766388888889,0.186555555555556,-0.777777777777778,0.816643804298125,1.33333333333333,2,66,0.077
"9","65b4b50042e792a5ef6101f3d3942709",3,6,7,0,9,1,"sars",0.277615234848092,1,-0.255166666666667,0.554055555555556,0.267622222222222,-0.333333333333333,0.301554641060814,0.555555555555556,2,66,4e-04
"10","65b4b50042e792a5ef6101f3d3942709",3,6,4,0,9,2,"sars",0.650359777236506,0.555555555555556,0.276311111111111,1.26291111111111,-0.522433333333333,0.111111111111111,0.161865569272977,0.222222222222222,2,66,4e-04
"11","65b4b50042e792a5ef6101f3d3942709",3,6,13,0,9,3,"sars",0.999662492055531,0.592592592592593,0.129655555555556,1.94111388888889,-0.488466666666667,-0.777777777777778,0.719250114311843,1.22222222222222,2,66,4e-04
"12","65b4b50042e792a5ef6101f3d3942709",3,6,16,0,9,4,"sars",0.999933292287262,0.57037037037037,0.393311111111111,6.91715574074074,-1.87811111111111,-0.777777777777778,0.988957475994513,1.55555555555556,2,66,4e-04
"13","65b4b50042e792a5ef6101f3d3942709",4,13,4,0,9,1,"sars",0.978793945766128,0.5,0.376377777777778,1.51903888888889,-0.689177777777778,0.111111111111111,0.163151577503429,0.0833333333333333,2,66,0
"14","65b4b50042e792a5ef6101f3d3942709",4,13,13,0,9,2,"sars",0.999226002073626,0.694444444444445,0.367333333333333,2.52311481481481,-1.03825555555556,-0.777777777777778,0.614226108824874,1.08333333333333,3,66,0
"15","65b4b50042e792a5ef6101f3d3942709",4,13,16,0,9,3,"sars",0.999933333333353,0.664285714285714,0.697222222222222,10.088132962963,-3.12891111111111,-0.777777777777778,0.868651406035665,1.41666666666667,3,66,0
"16","65b4b50042e792a5ef6101f3d3942709",4,13,20,0,9,4,"sars",0.999933333333353,0.681216006216006,0.881755555555556,31.8837762962963,-7.33788888888889,-1,1.14841820987654,1.86111111111111,3,66,0
"17","65b4b50042e792a5ef6101f3d3942709",5,17,13,0,9,1,"sars",0.816989331644319,0.574074074074074,0.0469444444444444,1.29244351851852,-0.180066666666667,-0.777777777777778,0.602871513488797,1.06666666666667,3,66,0
"18","65b4b50042e792a5ef6101f3d3942709",5,17,16,0,9,2,"sars",0.991678640039291,0.703703703703704,0.2799,2.94761981481481,-0.895711111111111,-0.777777777777778,0.855352537722908,1.4,3,66,0
"19","65b4b50042e792a5ef6101f3d3942709",5,17,20,0,9,3,"sars",0.99992383235119,0.655555555555556,0.512477777777778,6.39710037037037,-2.36301111111111,-1,1.13106172839506,1.84444444444444,3,66,0
"20","65b4b50042e792a5ef6101f3d3942709",6,30,16,0,9,1,"sars",0.912446120901701,0.675925925925926,0.192177777777778,2.20068703703704,-0.558266666666667,-0.777777777777778,0.728669410150892,1.22222222222222,3,66,0
"21","65b4b50042e792a5ef6101f3d3942709",6,30,20,0,9,2,"sars",0.999755451994127,0.733333333333333,0.433877777777778,3.57852907407407,-1.57168888888889,-1,0.958024691358025,1.66666666666667,3,66,0
"22","65b4b50042e792a5ef6101f3d3942709",7,46,20,0,9,1,"sars",0.98602301777169,0.751851851851852,0.306533333333333,2.43646925925926,-0.986433333333333,-1,0.809611992945326,1.49206349206349,3,66,0
