"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","6a25973b3db34cbf1cee993dfb84cf28",1,1,0,8,9,1,"sars",0.908634439459426,1,0.0517222222222222,0.0582888888888889,-0.0538444444444444,1,0.0123456790123457,-0.111111111111111,2,2,0.2554
"2","6a25973b3db34cbf1cee993dfb84cf28",1,1,1,8,9,2,"sars",0.767942345017868,1,0.0211,0.197166666666667,-0.0327777777777778,0.777777777777778,0.0548696844993141,0,2,2,0.2554
"3","6a25973b3db34cbf1cee993dfb84cf28",1,1,0,8,9,3,"sars",0.447501977065349,1,0.201888888888889,0.351522222222222,-0.2457,1,0.0123456790123457,-0.111111111111111,2,2,0.2554
"4","6a25973b3db34cbf1cee993dfb84cf28",1,1,0,8,9,4,"sars",0.839734510087665,1,0.2997,0.877966666666667,-0.446766666666667,1,0.0123456790123457,-0.111111111111111,2,2,0.2554
"5","6a25973b3db34cbf1cee993dfb84cf28",2,1,1,17,9,1,"sars",0.101235563170516,1,-0.0146777777777778,0.152655555555556,0.00841111111111111,0.777777777777778,0.0522976680384088,0.0555555555555556,2,2,0.3626
"6","6a25973b3db34cbf1cee993dfb84cf28",2,1,0,17,9,2,"sars",0.816389293359796,1,0.121311111111111,0.166711111111111,-0.135555555555556,1,0.00308641975308642,-0.0555555555555556,2,2,0.3626
"7","6a25973b3db34cbf1cee993dfb84cf28",2,1,0,17,9,3,"sars",0.698080380603229,1,0.173111111111111,0.338,-0.219111111111111,1,0.00308641975308642,-0.0555555555555556,2,2,0.3626
"8","6a25973b3db34cbf1cee993dfb84cf28",2,1,0,17,9,4,"sars",0.846668293686019,1,0.249633333333333,0.864055555555556,-0.394122222222222,1,0.00308641975308642,-0.0555555555555556,2,2,0.3626
"9","6a25973b3db34cbf1cee993dfb84cf28",3,2,0,1,9,1,"sars",0.876617401822236,1,0.122111111111111,0.157044444444444,-0.1332,1,0.00548696844993141,-0.0740740740740741,2,2,0.163
"10","6a25973b3db34cbf1cee993dfb84cf28",3,2,0,1,9,2,"sars",0.603569868505684,1,0.164366666666667,0.245588888888889,-0.189077777777778,1,0.00548696844993141,-0.0740740740740741,2,2,0.163
"11","6a25973b3db34cbf1cee993dfb84cf28",3,2,0,1,9,3,"sars",0.524683175861072,1,0.269244444444444,0.6019,-0.359455555555556,1,0.00548696844993141,-0.0740740740740741,2,2,0.163
"12","6a25973b3db34cbf1cee993dfb84cf28",3,2,0,1,9,4,"sars",0.103276710764314,1,0.370666666666667,1.53123333333333,-0.628611111111111,1,0.00548696844993141,-0.0740740740740741,2,2,0.163
"13","6a25973b3db34cbf1cee993dfb84cf28",4,2,0,10,9,1,"sars",0.579350379946874,1,0.0960333333333333,0.119811111111111,-0.103655555555556,1,0.00308641975308642,-0.0555555555555556,2,2,0.3386
"14","6a25973b3db34cbf1cee993dfb84cf28",4,2,0,10,9,2,"sars",0.00991327283687592,1,0.122066666666667,0.165566666666667,-0.1357,1,0.00308641975308642,-0.0555555555555556,2,2,0.3386
"15","6a25973b3db34cbf1cee993dfb84cf28",4,2,0,10,9,3,"sars",0.601054770866168,1,0.163222222222222,0.291533333333333,-0.199511111111111,1,0.00308641975308642,-0.0555555555555556,2,2,0.3386
"16","6a25973b3db34cbf1cee993dfb84cf28",4,2,0,10,9,4,"sars",0.119189052486287,1,0.217322222222222,0.637466666666667,-0.317111111111111,1,0.00308641975308642,-0.0555555555555556,2,2,0.3386
"17","6a25973b3db34cbf1cee993dfb84cf28",5,2,0,19,9,1,"sars",0.445148601476301,1,0.0716222222222222,0.0851888888888889,-0.0759888888888889,1,0.00197530864197531,-0.0444444444444444,2,2,0.592
"18","6a25973b3db34cbf1cee993dfb84cf28",5,2,0,19,9,2,"sars",0.695543557229889,1,0.0697888888888889,0.0840666666666667,-0.0743555555555556,1,0.00197530864197531,-0.0444444444444444,2,2,0.592
"19","6a25973b3db34cbf1cee993dfb84cf28",5,2,0,19,9,3,"sars",0.96607091899735,1,0.0793111111111111,0.1079,-0.0880555555555556,1,0.00197530864197531,-0.0444444444444444,2,2,0.592
"20","6a25973b3db34cbf1cee993dfb84cf28",6,2,0,28,9,1,"sars",0.792717975036708,1,0.0468111111111111,0.0526333333333333,-0.0487,1,0.00137174211248285,-0.037037037037037,2,2,0.744
"21","6a25973b3db34cbf1cee993dfb84cf28",6,2,0,28,9,2,"sars",0.471542872628795,1,0.0350666666666667,0.0386111111111111,-0.0362333333333333,1,0.00137174211248285,-0.037037037037037,2,2,0.744
"22","6a25973b3db34cbf1cee993dfb84cf28",7,2,0,37,9,1,"sars",0.61612143678081,1,0.0263666666666666,0.0280888888888889,-0.0269333333333333,1,0.00100781053162006,-0.0317460317460317,2,2,0.7969
