"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","71fcf9e7e7bce8c5c10f73b23c0a0c86",1,1,1,8,9,1,"sars",0.540009430945902,1,-0.0624888888888889,0.101277777777778,0.0604888888888889,0.777777777777778,0.0548696844993141,0,2,43,0.2684
"2","71fcf9e7e7bce8c5c10f73b23c0a0c86",1,1,3,8,9,2,"sars",0.891400186578533,1,-0.204977777777778,0.252961111111111,0.196611111111111,0.333333333333333,0.139917695473251,0.222222222222222,2,43,0.2684
"3","71fcf9e7e7bce8c5c10f73b23c0a0c86",1,1,2,8,9,3,"sars",0.289558472647251,1,-0.0275333333333333,0.358466666666667,-0.00612222222222223,0.555555555555556,0.0973936899862826,0.111111111111111,2,43,0.2684
"4","71fcf9e7e7bce8c5c10f73b23c0a0c86",1,1,5,8,9,4,"sars",0.833465034952441,1,-0.156866666666667,0.691762962962963,0.149777777777778,0.111111111111111,0.27069044352995,0.444444444444444,2,43,0.2684
"5","71fcf9e7e7bce8c5c10f73b23c0a0c86",2,2,3,3,9,1,"sars",0.920428916230558,1,-0.168055555555556,0.277777777777778,0.156866666666667,0.333333333333333,0.139917695473251,0.222222222222222,2,43,0.0652
"6","71fcf9e7e7bce8c5c10f73b23c0a0c86",2,2,2,3,9,2,"sars",0.983966702880528,1,0.0559111111111111,0.483288888888889,-0.108644444444444,0.555555555555556,0.0973936899862826,0.111111111111111,2,43,0.0652
"7","71fcf9e7e7bce8c5c10f73b23c0a0c86",2,2,5,3,9,3,"sars",0.447594115772476,1,-0.0136444444444444,0.897342592592593,-0.0573222222222222,0.111111111111111,0.27069044352995,0.444444444444444,2,43,0.0652
"8","71fcf9e7e7bce8c5c10f73b23c0a0c86",2,2,5,3,9,4,"sars",0.890435759366063,0.555555555555556,0.255777777777778,2.61196111111111,-0.595355555555556,0.333333333333333,0.327846364883402,0.444444444444444,2,43,0.0652
"9","71fcf9e7e7bce8c5c10f73b23c0a0c86",3,5,2,1,9,1,"sars",0.270264378432129,1,0.118866666666667,0.5946,-0.190033333333333,0.555555555555556,0.1004420057918,0.0370370370370371,2,43,0.0012
"10","71fcf9e7e7bce8c5c10f73b23c0a0c86",3,5,5,1,9,2,"sars",0.80111228223947,0.611111111111111,0.157077777777778,1.21574074074074,-0.3229,0.111111111111111,0.251689275008891,0.37037037037037,2,43,0.0012
"11","71fcf9e7e7bce8c5c10f73b23c0a0c86",3,5,5,1,9,3,"sars",0.954533243706632,0.574074074074074,0.499055555555556,3.90734444444444,-1.16802222222222,0.333333333333333,0.316720012193263,0.37037037037037,2,43,0.0012
"12","71fcf9e7e7bce8c5c10f73b23c0a0c86",3,5,10,1,9,4,"sars",0.999933308847763,0.577777777777778,0.531833333333333,8.17751203703704,-2.18475555555556,-0.555555555555556,0.534115734390083,0.925925925925926,2,43,0.0012
"13","71fcf9e7e7bce8c5c10f73b23c0a0c86",4,7,5,6,9,1,"sars",0.698768758838151,0.777777777777778,0.0736777777777778,0.955122222222222,-0.170933333333333,0.111111111111111,0.249899977137631,0.361111111111111,2,43,4e-04
"14","71fcf9e7e7bce8c5c10f73b23c0a0c86",4,7,5,6,9,2,"sars",0.957555820148554,0.5,0.3648,2.29692222222222,-0.692333333333333,0.333333333333333,0.315950788751715,0.361111111111111,2,43,4e-04
"15","71fcf9e7e7bce8c5c10f73b23c0a0c86",4,7,10,6,9,3,"sars",0.997839500268051,0.62962962962963,0.3185,3.65531944444444,-1.05591111111111,-0.555555555555556,0.528042123914037,0.916666666666667,2,43,4e-04
"16","71fcf9e7e7bce8c5c10f73b23c0a0c86",4,7,16,6,9,4,"sars",0.999933333333353,0.551851851851852,0.460577777777778,7.22031851851852,-2.21885555555556,-1,0.983346193415638,1.58333333333333,2,43,4e-04
"17","71fcf9e7e7bce8c5c10f73b23c0a0c86",5,12,5,1,9,1,"sars",0.981057376508592,0.5,0.299822222222222,1.73872777777778,-0.492755555555556,0.333333333333333,0.314691358024691,0.288888888888889,2,43,1e-04
"18","71fcf9e7e7bce8c5c10f73b23c0a0c86",5,12,10,1,9,2,"sars",0.872379650828556,0.555555555555556,0.202644444444444,1.98735740740741,-0.532888888888889,-0.555555555555556,0.483991769547325,0.844444444444444,3,43,1e-04
"19","71fcf9e7e7bce8c5c10f73b23c0a0c86",5,12,16,1,9,3,"sars",0.988419651927984,0.675925925925926,0.333155555555556,2.92305648148148,-1.06701111111111,-1,0.912962962962963,1.51111111111111,2,43,1e-04
"20","71fcf9e7e7bce8c5c10f73b23c0a0c86",6,17,10,1,9,1,"sars",0.999933333333353,0.5,-0.0275222222222223,1.12561481481481,-0.00468888888888889,-0.555555555555556,0.457898313265254,0.796296296296296,2,43,1e-04
"21","71fcf9e7e7bce8c5c10f73b23c0a0c86",6,17,16,1,9,2,"sars",0.999771090501369,0.537037037037037,-0.0640444444444444,1.10233888888889,0.173666666666667,-1,0.86845564700503,1.46296296296296,2,43,1e-04
"22","71fcf9e7e7bce8c5c10f73b23c0a0c86",7,27,16,0,9,1,"sars",0.776402475452181,0.555555555555556,-0.0582888888888889,1.05631018518519,0.178866666666667,-1,0.770975056689342,1.34920634920635,3,43,0
