"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","7a066313f9c5228528ece523964a110d",1,1,1,8,9,1,"sars",0.0705364535753201,1,-0.0598333333333333,0.109544444444444,0.0576222222222222,0.777777777777778,0.0548696844993141,0,2,46,0.2732
"2","7a066313f9c5228528ece523964a110d",1,1,0,8,9,2,"sars",0.0256941089109146,1,0.128488888888889,0.173022222222222,-0.1424,1,0.0123456790123457,-0.111111111111111,2,46,0.2732
"3","7a066313f9c5228528ece523964a110d",1,1,5,8,9,3,"sars",0.900106731732868,1,-0.248477777777778,0.472162962962963,0.312722222222222,0.111111111111111,0.27069044352995,0.444444444444444,2,46,0.2732
"4","7a066313f9c5228528ece523964a110d",1,1,4,8,9,4,"sars",0.779146715374477,1,-0.0371111111111111,0.792577777777778,0.0028111111111111,0.333333333333333,0.228166438042981,0.333333333333333,2,46,0.2732
"5","7a066313f9c5228528ece523964a110d",2,2,0,7,9,1,"sars",0.670013713709029,1,0.180311111111111,0.253111111111111,-0.203022222222222,1,0.0123456790123457,-0.111111111111111,2,46,0.0624
"6","7a066313f9c5228528ece523964a110d",2,2,5,7,9,2,"sars",0.604241562203575,1,-0.149888888888889,0.566994444444444,0.186088888888889,0.111111111111111,0.27069044352995,0.444444444444444,2,46,0.0624
"7","7a066313f9c5228528ece523964a110d",2,2,4,7,9,3,"sars",0.323496805667115,1,0.0960888888888889,1.01712777777778,-0.195088888888889,0.333333333333333,0.228166438042981,0.333333333333333,2,46,0.0624
"8","7a066313f9c5228528ece523964a110d",2,2,7,7,9,4,"sars",0.80020535163118,0.5,0.144144444444444,2.56954722222222,-0.426722222222222,0.111111111111111,0.458619112940101,0.666666666666667,2,46,0.0624
"9","7a066313f9c5228528ece523964a110d",3,2,5,16,9,1,"sars",0.999933333333353,1,-0.288055555555556,0.40797962962963,0.368755555555556,0.111111111111111,0.283315551491135,0.481481481481482,2,46,0.2471
"10","7a066313f9c5228528ece523964a110d",3,2,4,16,9,2,"sars",0.999933333333353,1,-0.161266666666667,0.418964814814815,0.227122222222222,0.333333333333333,0.236295280191028,0.37037037037037,2,46,0.2471
"11","7a066313f9c5228528ece523964a110d",3,2,7,16,9,3,"sars",0.999933333333353,1,-0.235944444444444,0.747960185185185,0.448,0.111111111111111,0.473492353807855,0.703703703703704,2,46,0.2471
"12","7a066313f9c5228528ece523964a110d",3,2,9,16,9,4,"sars",0.999933333333353,1,-0.227911111111111,1.26386388888889,0.4279,-0.111111111111111,0.620941929583905,0.925925925925926,2,46,0.2471
"13","7a066313f9c5228528ece523964a110d",4,7,4,0,9,1,"sars",0.797945781346561,1,0.0562,0.731496296296296,-0.0882444444444445,0.333333333333333,0.21804983996342,0.25,2,46,5e-04
"14","7a066313f9c5228528ece523964a110d",4,7,7,0,9,2,"sars",0.714178141086934,0.5,0.139188888888889,1.61782962962963,-0.259088888888889,0.111111111111111,0.432491712391404,0.583333333333333,2,46,5e-04
"15","7a066313f9c5228528ece523964a110d",4,7,9,0,9,3,"sars",0.978646144477563,0.592592592592593,0.331133333333333,3.6736,-0.900322222222222,-0.111111111111111,0.562242798353909,0.805555555555555,2,46,5e-04
"16","7a066313f9c5228528ece523964a110d",4,7,19,0,9,4,"sars",0.999933322559078,0.566666666666667,0.235411111111111,6.61735277777778,-1.36385555555556,-0.777777777777778,1.29025920210334,1.91666666666667,2,46,5e-04
"17","7a066313f9c5228528ece523964a110d",5,11,7,0,9,1,"sars",0.911903890537346,0.555555555555556,0.0862666666666666,1.33117685185185,-0.124755555555556,0.111111111111111,0.421691815272062,0.533333333333333,2,46,0
"18","7a066313f9c5228528ece523964a110d",5,11,9,0,9,2,"sars",0.60194172465213,0.537037037037037,0.258633333333333,2.42106944444444,-0.537088888888889,-0.111111111111111,0.543539094650206,0.755555555555556,2,46,0
"19","7a066313f9c5228528ece523964a110d",5,11,19,0,9,3,"sars",0.952575585659002,0.611111111111111,0.0961111111111111,3.45387407407407,-0.557777777777778,-0.777777777777778,1.23881115683585,1.86666666666667,3,46,0
"20","7a066313f9c5228528ece523964a110d",6,18,9,1,9,1,"sars",0.999933329694498,0.5,0.181455555555556,1.82649444444444,-0.286088888888889,-0.111111111111111,0.518518518518518,0.666666666666667,3,46,0
"21","7a066313f9c5228528ece523964a110d",6,18,19,1,9,2,"sars",0.998691741222428,0.648148148148148,-0.0594222222222223,2.04065555555556,0.0214222222222222,-0.777777777777778,1.1522633744856,1.77777777777778,3,46,0
"22","7a066313f9c5228528ece523964a110d",7,27,19,0,9,1,"sars",0.987085941138449,0.611111111111111,-0.150622222222222,1.65875092592593,0.266233333333333,-0.777777777777778,1.06651549508692,1.68253968253968,3,46,0
