"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","7be6f1b68dad58a59320592890a62e67",1,1,0,8,9,1,"sars",0.137418597825309,1,0.0526111111111111,0.0599888888888889,-0.0550333333333333,1,0.0123456790123457,-0.111111111111111,2,27,0.2523
"2","7be6f1b68dad58a59320592890a62e67",1,1,1,8,9,2,"sars",0.320705870975851,1,0.0191,0.199772222222222,-0.0313666666666667,0.777777777777778,0.0548696844993141,0,2,27,0.2523
"3","7be6f1b68dad58a59320592890a62e67",1,1,4,8,9,3,"sars",0.966801700688488,1,-0.142155555555556,0.489687037037037,0.197977777777778,0.333333333333333,0.228166438042981,0.333333333333333,2,27,0.2523
"4","7be6f1b68dad58a59320592890a62e67",1,1,1,8,9,4,"sars",0.500113528024055,1,0.198888888888889,0.785222222222222,-0.325855555555556,0.777777777777778,0.0548696844993141,0,2,27,0.2523
"5","7be6f1b68dad58a59320592890a62e67",2,1,1,17,9,1,"sars",0.553490248727965,1,-0.0144888888888889,0.156311111111111,0.00776666666666667,0.777777777777778,0.0522976680384088,0.0555555555555556,2,27,0.3727
"6","7be6f1b68dad58a59320592890a62e67",2,1,4,17,9,2,"sars",0.464249431367502,1,-0.219977777777778,0.355255555555556,0.3073,0.333333333333333,0.241197988111568,0.388888888888889,2,27,0.3727
"7","7be6f1b68dad58a59320592890a62e67",2,1,1,17,9,3,"sars",0.458188367578698,1,0.0718333333333333,0.353011111111111,-0.115111111111111,0.777777777777778,0.0522976680384088,0.0555555555555556,2,27,0.3727
"8","7be6f1b68dad58a59320592890a62e67",2,1,4,17,9,4,"sars",0.680042830625457,1,-0.148177777777778,0.774294444444444,0.0322333333333333,0.111111111111111,0.199931412894376,0.388888888888889,2,27,0.3727
"9","7be6f1b68dad58a59320592890a62e67",3,2,4,3,9,1,"sars",0.999933333333353,1,-0.215488888888889,0.346237037037037,0.304955555555556,0.333333333333333,0.236295280191028,0.37037037037037,2,27,0.1621
"10","7be6f1b68dad58a59320592890a62e67",3,2,1,3,9,2,"sars",0.999932110317625,1,0.0704333333333333,0.278016666666667,-0.0944777777777778,0.777777777777778,0.0525072397500381,0.037037037037037,2,27,0.1621
"11","7be6f1b68dad58a59320592890a62e67",3,2,4,3,9,3,"sars",0.998312394548612,1,-0.140755555555556,0.555833333333333,0.0748666666666667,0.111111111111111,0.193568053650358,0.37037037037037,2,27,0.1621
"12","7be6f1b68dad58a59320592890a62e67",3,2,3,3,9,4,"sars",0.981648035160782,1,0.0862555555555556,1.3642,-0.313188888888889,0.333333333333333,0.146547782350251,0.259259259259259,2,27,0.1621
"13","7be6f1b68dad58a59320592890a62e67",4,6,1,6,9,1,"sars",0.979546797676029,0.944444444444444,0.289322222222222,0.7195,-0.3935,0.777777777777778,0.0632716049382716,-0.0555555555555555,2,27,4e-04
"14","7be6f1b68dad58a59320592890a62e67",4,6,4,6,9,2,"sars",0.821087541903892,0.5,0.3112,1.69422777777778,-0.640888888888889,0.111111111111111,0.169753086419753,0.277777777777778,2,27,4e-04
"15","7be6f1b68dad58a59320592890a62e67",4,6,3,6,9,3,"sars",0.993227141503689,0.611111111111111,0.622877777777778,5.47687222222222,-1.62801111111111,0.333333333333333,0.134259259259259,0.166666666666667,2,27,4e-04
"16","7be6f1b68dad58a59320592890a62e67",4,6,13,6,9,4,"sars",0.999933333333353,0.57037037037037,0.505377777777778,8.96350277777778,-2.23634444444444,-0.555555555555556,0.816872427983539,1.27777777777778,2,27,4e-04
"17","7be6f1b68dad58a59320592890a62e67",5,7,4,1,9,1,"sars",0.995072725928437,1,0.0650444444444444,0.809211111111111,-0.185688888888889,0.111111111111111,0.171906721536351,0.288888888888889,2,27,0.0047
"18","7be6f1b68dad58a59320592890a62e67",5,7,3,1,9,2,"sars",0.953629749425544,0.5,0.28,1.42087222222222,-0.533166666666667,0.333333333333333,0.134979423868313,0.177777777777778,2,27,0.0047
"19","7be6f1b68dad58a59320592890a62e67",5,7,13,1,9,3,"sars",0.949105288240637,0.5,-0.114033333333333,1.78145092592593,0.0741666666666666,-0.555555555555556,0.825715592135345,1.28888888888889,2,27,0.0047
"20","7be6f1b68dad58a59320592890a62e67",6,11,3,1,9,1,"sars",0.978419074925097,0.888888888888889,0.201911111111111,0.980872222222222,-0.358677777777778,0.333333333333333,0.133344764517604,0.12962962962963,2,27,0.0034
"21","7be6f1b68dad58a59320592890a62e67",6,11,13,1,9,2,"sars",0.997678222115352,0.5,-0.285533333333333,1.0660962962963,0.506622222222222,-0.555555555555556,0.788319869938526,1.24074074074074,2,27,0.0034
"22","7be6f1b68dad58a59320592890a62e67",7,14,13,3,9,1,"sars",0.731556981631738,0.666666666666667,-0.388088888888889,0.925414814814815,0.721733333333333,-0.555555555555556,0.774577046181984,1.22222222222222,2,27,0.004
