"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","7e1dc7fe1e78f7744d82745a25d8f343",1,1,1,8,9,1,"sars",0.0925454106498117,1,-0.0566222222222222,0.104466666666667,0.0546777777777778,0.777777777777778,0.0548696844993141,0,2,41,0.2351
"2","7e1dc7fe1e78f7744d82745a25d8f343",1,1,1,8,9,2,"sars",0.428190639242507,1,0.0241111111111111,0.215716666666667,-0.0374,0.777777777777778,0.0548696844993141,0,2,41,0.2351
"3","7e1dc7fe1e78f7744d82745a25d8f343",1,1,3,8,9,3,"sars",0.430283268186876,1,-0.1161,0.418377777777778,0.0772666666666667,0.333333333333333,0.139917695473251,0.222222222222222,2,41,0.2351
"4","7e1dc7fe1e78f7744d82745a25d8f343",1,1,4,8,9,4,"sars",0.31078625201656,1,-0.0133111111111111,0.736988888888889,-0.0174222222222222,0.333333333333333,0.228166438042981,0.333333333333333,2,41,0.2351
"5","7e1dc7fe1e78f7744d82745a25d8f343",2,2,1,2,9,1,"sars",0.999933333333353,1,0.0379888888888889,0.235427777777778,-0.0534222222222222,0.777777777777778,0.0548696844993141,0,2,41,0.0732
"6","7e1dc7fe1e78f7744d82745a25d8f343",2,2,3,2,9,2,"sars",0.999873242349262,1,-0.0646888888888889,0.4567,0.0218333333333333,0.333333333333333,0.139917695473251,0.222222222222222,2,41,0.0732
"7","7e1dc7fe1e78f7744d82745a25d8f343",2,2,4,2,9,3,"sars",0.983844026266838,1,0.0706777777777778,0.818653703703704,-0.128155555555556,0.333333333333333,0.228166438042981,0.333333333333333,2,41,0.0732
"8","7e1dc7fe1e78f7744d82745a25d8f343",2,2,5,2,9,4,"sars",0.914759635138,0.611111111111111,0.1654,2.18017777777778,-0.506077777777778,0.111111111111111,0.27069044352995,0.444444444444444,2,41,0.0732
"9","7e1dc7fe1e78f7744d82745a25d8f343",3,3,3,8,9,1,"sars",0.999911498477267,1,-0.0718,0.430733333333333,0.0352888888888889,0.333333333333333,0.139917695473251,0.222222222222222,2,41,0.0367
"10","7e1dc7fe1e78f7744d82745a25d8f343",3,3,4,8,9,2,"sars",0.994202217749842,1,0.0269111111111111,0.660903703703704,-0.0392444444444445,0.333333333333333,0.228166438042981,0.333333333333333,2,41,0.0367
"11","7e1dc7fe1e78f7744d82745a25d8f343",3,3,5,8,9,3,"sars",0.91742081467871,0.777777777777778,0.0937888888888889,1.37272777777778,-0.266944444444444,0.111111111111111,0.27069044352995,0.444444444444444,2,41,0.0367
"12","7e1dc7fe1e78f7744d82745a25d8f343",3,3,10,8,9,4,"sars",0.65927420269618,0.5,-0.00293333333333336,2.47989259259259,-0.388488888888889,-0.555555555555556,0.574759945130315,1,2,41,0.0367
"13","7e1dc7fe1e78f7744d82745a25d8f343",4,6,4,5,9,1,"sars",0.550144635696263,1,0.0685666666666667,0.69467962962963,-0.0941444444444444,0.333333333333333,0.220164609053498,0.277777777777778,2,41,0.0042
"14","7e1dc7fe1e78f7744d82745a25d8f343",4,6,5,5,9,2,"sars",0.395469220174676,0.611111111111111,0.159288888888889,1.33138333333333,-0.333611111111111,0.111111111111111,0.255658436213992,0.388888888888889,2,41,0.0042
"15","7e1dc7fe1e78f7744d82745a25d8f343",4,6,10,5,9,3,"sars",0.992920521476563,0.518518518518518,0.0678222222222222,1.98076111111111,-0.398711111111111,-0.555555555555556,0.533950617283951,0.944444444444444,2,41,0.0042
"16","7e1dc7fe1e78f7744d82745a25d8f343",4,6,16,5,9,4,"sars",0.999921704552925,0.574074074074074,0.133677777777778,4.02037407407407,-0.931466666666667,-0.777777777777778,1.02417695473251,1.61111111111111,2,41,0.0042
"17","7e1dc7fe1e78f7744d82745a25d8f343",5,10,5,0,9,1,"sars",0.941678361357722,0.777777777777778,0.0762666666666666,0.956922222222222,-0.159566666666667,0.111111111111111,0.245313214449017,0.333333333333333,2,41,7e-04
"18","7e1dc7fe1e78f7744d82745a25d8f343",5,10,10,0,9,2,"sars",0.747961802941233,0.5,-0.0813444444444444,1.14091851851852,0.0024222222222222,-0.555555555555556,0.496570644718793,0.888888888888889,2,41,7e-04
"19","7e1dc7fe1e78f7744d82745a25d8f343",5,10,16,0,9,3,"sars",0.657363783768417,0.592592592592593,-0.0377111111111111,1.84941388888889,-0.171255555555556,-0.777777777777778,0.969593049839963,1.55555555555556,2,41,7e-04
"20","7e1dc7fe1e78f7744d82745a25d8f343",6,15,10,1,9,1,"sars",0.849995667546258,0.5,-0.151,0.935474074074074,0.1469,-0.555555555555556,0.462620027434842,0.833333333333333,2,41,3e-04
"21","7e1dc7fe1e78f7744d82745a25d8f343",6,15,16,1,9,2,"sars",0.822679861200258,0.537037037037037,-0.188788888888889,1.20660648148148,0.238011111111111,-0.777777777777778,0.917638317329675,1.5,2,41,3e-04
"22","7e1dc7fe1e78f7744d82745a25d8f343",7,25,16,0,9,1,"sars",0.983281544729366,0.555555555555556,-0.149544444444444,1.19783425925926,0.1663,-0.777777777777778,0.815160083237685,1.38095238095238,3,41,0
