"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","98d2b7aeb055abad79d390ad21e4241c",1,1,0,8,9,1,"sars",0.514704592046145,1,0.0507,0.0569111111111111,-0.0527333333333333,1,0.0123456790123457,-0.111111111111111,2,13,0.2391
"2","98d2b7aeb055abad79d390ad21e4241c",1,1,2,8,9,2,"sars",0.406661122441333,1,0.00535555555555555,0.282140740740741,0.0766222222222222,0.777777777777778,0.143118427069044,0.111111111111111,2,13,0.2391
"3","98d2b7aeb055abad79d390ad21e4241c",1,1,0,8,9,3,"sars",0.338756812918312,1,0.198055555555556,0.344911111111111,-0.241088888888889,1,0.0123456790123457,-0.111111111111111,2,13,0.2391
"4","98d2b7aeb055abad79d390ad21e4241c",1,1,1,8,9,4,"sars",0.495600176567715,1,0.199188888888889,0.828438888888889,-0.3323,0.777777777777778,0.0548696844993141,0,2,13,0.2391
"5","98d2b7aeb055abad79d390ad21e4241c",2,1,2,17,9,1,"sars",0.310818540352225,1,-0.0213333333333333,0.24597037037037,0.113333333333333,0.777777777777778,0.142775491540924,0.166666666666667,2,13,0.3381
"6","98d2b7aeb055abad79d390ad21e4241c",2,1,0,17,9,2,"sars",0.572712032126641,1,0.1301,0.187533333333333,-0.147688888888889,1,0.00308641975308642,-0.0555555555555556,2,13,0.3381
"7","98d2b7aeb055abad79d390ad21e4241c",2,1,1,17,9,3,"sars",0.44494483255683,1,0.0836333333333333,0.387433333333333,-0.132277777777778,0.777777777777778,0.0522976680384088,0.0555555555555556,2,13,0.3381
"8","98d2b7aeb055abad79d390ad21e4241c",2,1,1,17,9,4,"sars",0.890523319246053,1,0.175477777777778,0.983327777777778,-0.339211111111111,0.777777777777778,0.0522976680384088,0.0555555555555556,2,13,0.3381
"9","98d2b7aeb055abad79d390ad21e4241c",3,3,0,1,9,1,"sars",0.313168062917938,1,0.163588888888889,0.220111111111111,-0.181511111111111,1,0.0123456790123457,-0.111111111111111,2,13,0.0412
"10","98d2b7aeb055abad79d390ad21e4241c",3,3,1,1,9,2,"sars",0.323690609764767,1,0.169855555555556,0.48675,-0.229655555555556,0.777777777777778,0.0548696844993141,0,2,13,0.0412
"11","98d2b7aeb055abad79d390ad21e4241c",3,3,1,1,9,3,"sars",0.999263375532581,0.888888888888889,0.355422222222222,1.32253888888889,-0.582488888888889,0.777777777777778,0.0548696844993141,0,2,13,0.0412
"12","98d2b7aeb055abad79d390ad21e4241c",3,3,3,1,9,4,"sars",0.924811514025285,0.5,0.438122222222222,3.82918611111111,-0.924555555555556,0.777777777777778,0.242798353909465,0.222222222222222,2,13,0.0412
"13","98d2b7aeb055abad79d390ad21e4241c",4,3,1,10,9,1,"sars",0.510497694125408,1,0.0707,0.27885,-0.0935444444444444,0.777777777777778,0.0528549382716049,0.0277777777777778,2,13,0.1025
"14","98d2b7aeb055abad79d390ad21e4241c",4,3,1,10,9,2,"sars",0.813338514902471,1,0.153933333333333,0.462494444444444,-0.209355555555556,0.777777777777778,0.0528549382716049,0.0277777777777778,2,13,0.1025
"15","98d2b7aeb055abad79d390ad21e4241c",4,3,3,10,9,3,"sars",0.266443604923942,1,0.205066666666667,1.07694444444444,-0.170522222222222,0.777777777777778,0.242476851851852,0.25,2,13,0.1025
"16","98d2b7aeb055abad79d390ad21e4241c",4,3,5,10,9,4,"sars",0.921053254236658,0.944444444444444,0.0717111111111111,1.72506111111111,-0.309588888888889,0.111111111111111,0.279963991769547,0.472222222222222,2,13,0.1025
"17","98d2b7aeb055abad79d390ad21e4241c",5,4,1,3,9,1,"sars",0.835015151142194,1,0.0947,0.31535,-0.121922222222222,0.777777777777778,0.0531412894375857,0.0222222222222222,2,13,0.1146
"18","98d2b7aeb055abad79d390ad21e4241c",5,4,3,3,9,2,"sars",0.45896276776493,1,0.113955555555556,0.599880555555556,0.0309222222222222,0.777777777777778,0.242427983539095,0.244444444444444,2,13,0.1146
"19","98d2b7aeb055abad79d390ad21e4241c",5,4,5,3,9,3,"sars",0.642753161169638,1,-0.110355555555556,0.686307407407407,0.107688888888889,0.111111111111111,0.278015546410608,0.466666666666667,2,13,0.1146
"20","98d2b7aeb055abad79d390ad21e4241c",6,5,3,5,9,1,"sars",0.999933333333353,1,0.0610444444444444,0.469947222222222,0.115577777777778,0.777777777777778,0.242426840420668,0.240740740740741,2,13,0.1576
"21","98d2b7aeb055abad79d390ad21e4241c",6,5,5,5,9,2,"sars",0.999933333333353,1,-0.228255555555556,0.447444444444444,0.293088888888889,0.111111111111111,0.276742620535487,0.462962962962963,2,13,0.1576
"22","98d2b7aeb055abad79d390ad21e4241c",7,8,5,8,9,1,"sars",0.681300067347746,1,-0.151044444444444,0.520575925925926,0.193577777777778,0.111111111111111,0.265917340873249,0.428571428571429,2,13,0.0647
