"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","9ea466fdaced406bf6ae435656b15331",1,1,0,8,9,1,"sars",0.374656356438025,1,0.0500888888888889,0.0566777777777778,-0.0522111111111111,1,0.0123456790123457,-0.111111111111111,2,18,0.2583
"2","9ea466fdaced406bf6ae435656b15331",1,1,0,8,9,2,"sars",0.516223645626039,1,0.128,0.169477777777778,-0.141211111111111,1,0.0123456790123457,-0.111111111111111,2,18,0.2583
"3","9ea466fdaced406bf6ae435656b15331",1,1,3,8,9,3,"sars",0.0946000448027212,1,-0.122755555555556,0.372394444444444,0.0918,0.333333333333333,0.139917695473251,0.222222222222222,2,18,0.2583
"4","9ea466fdaced406bf6ae435656b15331",1,1,0,8,9,4,"sars",0.275476855999651,1,0.293944444444444,0.8516,-0.435488888888889,1,0.0123456790123457,-0.111111111111111,2,18,0.2583
"5","9ea466fdaced406bf6ae435656b15331",2,1,0,17,9,1,"sars",0.949324497081799,1,0.0942222222222222,0.1175,-0.101633333333333,1,0.00308641975308642,-0.0555555555555556,2,18,0.3632
"6","9ea466fdaced406bf6ae435656b15331",2,1,3,17,9,2,"sars",0.945858485669583,1,-0.204966666666667,0.26235,0.194833333333333,0.333333333333333,0.150720164609053,0.277777777777778,2,18,0.3632
"7","9ea466fdaced406bf6ae435656b15331",2,1,0,17,9,3,"sars",0.128195355092754,1,0.174511111111111,0.347511111111111,-0.222555555555556,1,0.00308641975308642,-0.0555555555555556,2,18,0.3632
"8","9ea466fdaced406bf6ae435656b15331",2,1,3,17,9,4,"sars",0.511936150793971,1,-0.0413666666666667,0.716638888888889,-0.0723111111111111,0.333333333333333,0.150720164609053,0.277777777777778,2,18,0.3632
"9","9ea466fdaced406bf6ae435656b15331",3,1,3,26,9,1,"sars",0.321793103656987,1,-0.267844444444444,0.206094444444444,0.265188888888889,0.333333333333333,0.15546410608139,0.296296296296296,2,18,0.606
"10","9ea466fdaced406bf6ae435656b15331",3,1,0,26,9,2,"sars",0.0369333896451956,1,0.0612555555555556,0.0757444444444444,-0.0659,1,0.00137174211248285,-0.037037037037037,2,18,0.606
"11","9ea466fdaced406bf6ae435656b15331",3,1,3,26,9,3,"sars",0.570269194660064,1,-0.247944444444444,0.236233333333333,0.237777777777778,0.333333333333333,0.15546410608139,0.296296296296296,2,18,0.606
"12","9ea466fdaced406bf6ae435656b15331",3,1,6,26,9,4,"sars",0.412307186986996,1,-0.527711111111111,0.445177777777778,0.499311111111111,-0.333333333333333,0.309556470050297,0.62962962962963,2,18,0.606
"13","9ea466fdaced406bf6ae435656b15331",4,4,0,0,9,1,"sars",0.0585974321113736,1,0.180566666666667,0.252644444444444,-0.203355555555556,1,0.0123456790123457,-0.111111111111111,2,18,0.0187
"14","9ea466fdaced406bf6ae435656b15331",4,4,3,0,9,2,"sars",0.635215980752484,1,0.0455555555555555,0.520633333333333,-0.108055555555556,0.333333333333333,0.139917695473251,0.222222222222222,2,18,0.0187
"15","9ea466fdaced406bf6ae435656b15331",4,4,6,0,9,3,"sars",0.405387112044844,0.685185185185185,-0.0243222222222222,1.05225,-0.164111111111111,-0.333333333333333,0.267489711934156,0.555555555555556,2,18,0.0187
"16","9ea466fdaced406bf6ae435656b15331",4,4,5,0,9,4,"sars",0.999674766254843,0.5,0.328933333333333,3.18675185185185,-0.8995,0.111111111111111,0.27069044352995,0.444444444444444,2,18,0.0187
"17","9ea466fdaced406bf6ae435656b15331",5,4,3,9,9,1,"sars",0.819192760931333,1,-0.0900333333333333,0.347472222222222,0.0657777777777778,0.333333333333333,0.143621399176955,0.244444444444444,2,18,0.0686
"18","9ea466fdaced406bf6ae435656b15331",5,4,6,9,9,2,"sars",0.275947534635171,1,-0.312266666666667,0.492833333333333,0.271022222222222,-0.333333333333333,0.279341563786008,0.577777777777778,2,18,0.0686
"19","9ea466fdaced406bf6ae435656b15331",5,4,5,9,9,3,"sars",0.571834590550727,1,-0.0363222222222222,0.873914814814815,-0.0235888888888889,0.111111111111111,0.278015546410608,0.466666666666667,2,18,0.0686
"20","9ea466fdaced406bf6ae435656b15331",6,7,6,0,9,1,"sars",0.998475609616265,1,-0.311122222222222,0.459733333333333,0.277855555555556,-0.333333333333333,0.25811614083219,0.537037037037037,2,18,0.0263
"21","9ea466fdaced406bf6ae435656b15331",6,7,5,0,9,2,"sars",0.998723655358865,1,-0.0305444444444445,0.761225925925926,-0.00633333333333333,0.111111111111111,0.265159020474521,0.425925925925926,2,18,0.0263
"22","9ea466fdaced406bf6ae435656b15331",7,13,5,0,9,1,"sars",0.960749812875259,0.722222222222222,0.102155555555556,1.01706111111111,-0.218711111111111,0.111111111111111,0.247790748672583,0.349206349206349,2,18,0.0038
