"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","9ee1800cdb9f75bc500ed4017d53c993",1,1,0,8,9,1,"sars",0.607554370182471,1,0.0513555555555556,0.0583888888888889,-0.0536111111111111,1,0.0123456790123457,-0.111111111111111,2,25,0.2463
"2","9ee1800cdb9f75bc500ed4017d53c993",1,1,0,8,9,2,"sars",0.769480606554804,1,0.131111111111111,0.175833333333333,-0.145344444444444,1,0.0123456790123457,-0.111111111111111,2,25,0.2463
"3","9ee1800cdb9f75bc500ed4017d53c993",1,1,3,8,9,3,"sars",0.858129370799514,1,-0.0332888888888889,0.474998148148148,0.0852111111111111,0.555555555555556,0.185642432556013,0.222222222222222,2,25,0.2463
"4","9ee1800cdb9f75bc500ed4017d53c993",1,1,1,8,9,4,"sars",0.869358378410031,1,0.199944444444444,0.838244444444444,-0.334877777777778,0.777777777777778,0.0548696844993141,0,2,25,0.2463
"5","9ee1800cdb9f75bc500ed4017d53c993",2,1,0,17,9,1,"sars",0.559666624171691,1,0.0941888888888888,0.118066666666667,-0.101866666666667,1,0.00308641975308642,-0.0555555555555556,2,25,0.3858
"6","9ee1800cdb9f75bc500ed4017d53c993",2,1,3,17,9,2,"sars",0.178969050550857,1,-0.111544444444444,0.320781481481481,0.198244444444444,0.555555555555556,0.191986739826246,0.277777777777778,2,25,0.3858
"7","9ee1800cdb9f75bc500ed4017d53c993",2,1,1,17,9,3,"sars",0.408860445398509,1,0.0660222222222222,0.364877777777778,-0.111777777777778,0.777777777777778,0.0522976680384088,0.0555555555555556,2,25,0.3858
"8","9ee1800cdb9f75bc500ed4017d53c993",2,1,4,17,9,4,"sars",0.0958016734646369,1,-0.0749555555555555,0.931603703703704,0.0317,0.333333333333333,0.241197988111568,0.388888888888889,2,25,0.3858
"9","9ee1800cdb9f75bc500ed4017d53c993",3,1,3,26,9,1,"sars",0.999933333333353,1,-0.163522222222222,0.253381481481481,0.264411111111111,0.555555555555556,0.195295432606818,0.296296296296296,2,25,0.6084
"10","9ee1800cdb9f75bc500ed4017d53c993",3,1,1,26,9,2,"sars",0.999933333333353,1,-0.0501777777777778,0.1187,0.0461222222222222,0.777777777777778,0.0527358634354519,0.0740740740740741,2,25,0.6084
"11","9ee1800cdb9f75bc500ed4017d53c993",3,1,4,26,9,3,"sars",0.999933333333353,1,-0.257833333333333,0.337653703703704,0.350555555555556,0.333333333333333,0.246659553929787,0.407407407407407,2,25,0.6084
"12","9ee1800cdb9f75bc500ed4017d53c993",3,1,7,26,9,4,"sars",0.999933333333324,1,-0.446388888888889,0.569546296296296,0.614088888888889,-0.111111111111111,0.440583244424122,0.740740740740741,2,25,0.6084
"13","9ee1800cdb9f75bc500ed4017d53c993",4,4,1,6,9,1,"sars",0.230830400766071,1,0.110555555555556,0.349438888888889,-0.1433,0.777777777777778,0.0548696844993141,0,2,25,0.0219
"14","9ee1800cdb9f75bc500ed4017d53c993",4,4,4,6,9,2,"sars",0.445915381852735,1,0.0496,0.827262962962963,-0.0785777777777778,0.333333333333333,0.228166438042981,0.333333333333333,2,25,0.0219
"15","9ee1800cdb9f75bc500ed4017d53c993",4,4,7,6,9,3,"sars",0.977189305893225,0.611111111111111,0.0144333333333333,1.33171481481481,-0.146388888888889,-0.111111111111111,0.401463191586648,0.666666666666667,2,25,0.0219
"16","9ee1800cdb9f75bc500ed4017d53c993",4,4,9,6,9,4,"sars",0.943915968799626,0.5,0.156344444444444,2.50959259259259,-0.621688888888889,-0.333333333333333,0.532235939643347,0.888888888888889,2,25,0.0219
"17","9ee1800cdb9f75bc500ed4017d53c993",5,5,4,5,9,1,"sars",0.999933333333353,1,-0.0394777777777778,0.587972222222222,0.0710777777777778,0.333333333333333,0.228166438042981,0.333333333333333,2,25,0.0285
"18","9ee1800cdb9f75bc500ed4017d53c993",5,5,7,5,9,2,"sars",0.999933333333353,1,-0.177088888888889,0.765007407407407,0.225855555555556,-0.111111111111111,0.401463191586648,0.666666666666667,2,25,0.0285
"19","9ee1800cdb9f75bc500ed4017d53c993",5,5,9,5,9,3,"sars",0.999915515363339,0.722222222222222,-0.151788888888889,0.99197962962963,0.157544444444444,-0.333333333333333,0.532235939643347,0.888888888888889,2,25,0.0285
"20","9ee1800cdb9f75bc500ed4017d53c993",6,9,7,3,9,1,"sars",0.99221902878925,0.888888888888889,-0.129855555555556,0.788968518518518,0.156733333333333,-0.111111111111111,0.377057613168724,0.611111111111111,2,25,0.0043
"21","9ee1800cdb9f75bc500ed4017d53c993",6,9,9,3,9,2,"sars",0.860548556186332,0.5,-0.0809111111111111,0.948327777777778,0.0661,-0.333333333333333,0.498456790123457,0.833333333333333,2,25,0.0043
"22","9ee1800cdb9f75bc500ed4017d53c993",7,16,9,0,9,1,"sars",0.817759164841775,0.5,-0.0277444444444444,0.981077777777778,-0.0174,-0.333333333333333,0.45299683659472,0.746031746031746,2,25,8e-04
