"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","a04f5d4f67a703fb372a7d44ed4d2f64",1,1,0,8,9,1,"sars",0.802036228798663,1,0.0523,0.0597111111111111,-0.0547333333333333,1,0.0123456790123457,-0.111111111111111,2,3,0.2497
"2","a04f5d4f67a703fb372a7d44ed4d2f64",1,1,2,8,9,2,"sars",0.0638506288943072,1,-0.0919222222222223,0.236527777777778,0.0803888888888889,0.555555555555556,0.0973936899862826,0.111111111111111,2,3,0.2497
"3","a04f5d4f67a703fb372a7d44ed4d2f64",1,1,0,8,9,3,"sars",0.717816236149031,1,0.201077777777778,0.351866666666667,-0.2454,1,0.0123456790123457,-0.111111111111111,2,3,0.2497
"4","a04f5d4f67a703fb372a7d44ed4d2f64",1,1,0,8,9,4,"sars",0.898574634412417,1,0.292644444444444,0.8528,-0.435088888888889,1,0.0123456790123457,-0.111111111111111,2,3,0.2497
"5","a04f5d4f67a703fb372a7d44ed4d2f64",2,1,2,17,9,1,"sars",0.0145223883666573,1,-0.125888888888889,0.197294444444444,0.119244444444444,0.555555555555556,0.101508916323731,0.166666666666667,2,3,0.3633
"6","a04f5d4f67a703fb372a7d44ed4d2f64",2,1,0,17,9,2,"sars",0.404491181519154,1,0.122244444444444,0.170366666666667,-0.137122222222222,1,0.00308641975308642,-0.0555555555555556,2,3,0.3633
"7","a04f5d4f67a703fb372a7d44ed4d2f64",2,1,0,17,9,3,"sars",0.220006644463432,1,0.177466666666667,0.355511111111111,-0.226844444444444,1,0.00308641975308642,-0.0555555555555556,2,3,0.3633
"8","a04f5d4f67a703fb372a7d44ed4d2f64",2,1,0,17,9,4,"sars",0.574584738470811,1,0.258255555555556,0.917477777777778,-0.413077777777778,1,0.00308641975308642,-0.0555555555555556,2,3,0.3633
"9","a04f5d4f67a703fb372a7d44ed4d2f64",3,3,0,4,9,1,"sars",0.365348319431811,1,0.205244444444444,0.3031,-0.235633333333333,1,0.0123456790123457,-0.111111111111111,2,3,0.0317
"10","a04f5d4f67a703fb372a7d44ed4d2f64",3,3,0,4,9,2,"sars",0.554322090727879,1,0.3348,0.680355555555556,-0.434511111111111,1,0.0123456790123457,-0.111111111111111,2,3,0.0317
"11","a04f5d4f67a703fb372a7d44ed4d2f64",3,3,0,4,9,3,"sars",0.78002130188657,0.833333333333333,0.481466666666667,1.68585555555556,-0.777944444444444,1,0.0123456790123457,-0.111111111111111,2,3,0.0317
"12","a04f5d4f67a703fb372a7d44ed4d2f64",3,3,0,4,9,4,"sars",0.919939992755716,0.5,0.620255555555556,4.85526666666667,-1.4156,1,0.0123456790123457,-0.111111111111111,2,3,0.0317
"13","a04f5d4f67a703fb372a7d44ed4d2f64",4,3,0,13,9,1,"sars",0.248247460081974,1,0.203,0.305355555555556,-0.234622222222222,1,0.00694444444444444,-0.0833333333333333,2,3,0.1407
"14","a04f5d4f67a703fb372a7d44ed4d2f64",4,3,0,13,9,2,"sars",0.259102312213367,1,0.246277777777778,0.428477777777778,-0.299922222222222,1,0.00694444444444444,-0.0833333333333333,2,3,0.1407
"15","a04f5d4f67a703fb372a7d44ed4d2f64",4,3,0,13,9,3,"sars",0.676229607948035,1,0.311988888888889,0.819911111111111,-0.443066666666667,1,0.00694444444444444,-0.0833333333333333,2,3,0.1407
"16","a04f5d4f67a703fb372a7d44ed4d2f64",4,3,0,13,9,4,"sars",0.712308942763271,1,0.4057,2.07423333333333,-0.746744444444444,1,0.00694444444444444,-0.0833333333333333,2,3,0.1407
"17","a04f5d4f67a703fb372a7d44ed4d2f64",5,3,0,22,9,1,"sars",0.436317613479341,1,0.129522222222222,0.167588888888889,-0.141544444444444,1,0.00444444444444444,-0.0666666666666667,2,3,0.4193
"18","a04f5d4f67a703fb372a7d44ed4d2f64",5,3,0,22,9,2,"sars",0.583826320632881,1,0.114877777777778,0.147355555555556,-0.125155555555556,1,0.00444444444444444,-0.0666666666666667,2,3,0.4193
"19","a04f5d4f67a703fb372a7d44ed4d2f64",5,3,0,22,9,3,"sars",0.829431131111123,1,0.124455555555556,0.185422222222222,-0.142777777777778,1,0.00444444444444444,-0.0666666666666667,2,3,0.4193
"20","a04f5d4f67a703fb372a7d44ed4d2f64",6,3,0,31,9,1,"sars",0.588527468904472,1,0.0742777777777778,0.0867555555555556,-0.0783111111111111,1,0.00308641975308642,-0.0555555555555556,2,3,0.6515
"21","a04f5d4f67a703fb372a7d44ed4d2f64",6,3,0,31,9,2,"sars",0.440971375010419,1,0.0507222222222222,0.0578555555555556,-0.0529888888888889,1,0.00308641975308642,-0.0555555555555556,2,3,0.6515
"22","a04f5d4f67a703fb372a7d44ed4d2f64",7,3,0,40,9,1,"sars",0.532200099978534,1,0.0350555555555556,0.0374666666666667,-0.0358444444444444,1,0.00226757369614512,-0.0476190476190476,2,3,0.7353
