"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","aa482fc3c1a3b8c263261248ec44e0c9",1,1,0,8,9,1,"sars",0.196356573964386,1,0.0517666666666666,0.0590888888888889,-0.0541777777777778,1,0.0123456790123457,-0.111111111111111,2,1,0.2513
"2","aa482fc3c1a3b8c263261248ec44e0c9",1,1,0,8,9,2,"sars",0.839262817053448,1,0.129722222222222,0.173744444444444,-0.143477777777778,1,0.0123456790123457,-0.111111111111111,2,1,0.2513
"3","aa482fc3c1a3b8c263261248ec44e0c9",1,1,0,8,9,3,"sars",0.972816358502105,1,0.201666666666667,0.345988888888889,-0.244411111111111,1,0.0123456790123457,-0.111111111111111,2,1,0.2513
"4","aa482fc3c1a3b8c263261248ec44e0c9",1,1,0,8,9,4,"sars",0.596799728334266,1,0.299122222222222,0.885311111111111,-0.447977777777778,1,0.0123456790123457,-0.111111111111111,2,1,0.2513
"5","aa482fc3c1a3b8c263261248ec44e0c9",2,1,0,17,9,1,"sars",0.294352922497617,1,0.0946666666666667,0.118288888888889,-0.1022,1,0.00308641975308642,-0.0555555555555556,2,1,0.3816
"6","aa482fc3c1a3b8c263261248ec44e0c9",2,1,0,17,9,2,"sars",0.0567716916579487,1,0.120511111111111,0.1676,-0.135066666666667,1,0.00308641975308642,-0.0555555555555556,2,1,0.3816
"7","aa482fc3c1a3b8c263261248ec44e0c9",2,1,0,17,9,3,"sars",0.138554849792277,1,0.1727,0.343777777777778,-0.220266666666667,1,0.00308641975308642,-0.0555555555555556,2,1,0.3816
"8","aa482fc3c1a3b8c263261248ec44e0c9",2,1,0,17,9,4,"sars",0.386460849414171,1,0.250977777777778,0.901177777777778,-0.402755555555556,1,0.00308641975308642,-0.0555555555555556,2,1,0.3816
"9","aa482fc3c1a3b8c263261248ec44e0c9",3,1,0,26,9,1,"sars",0.969333705579573,1,0.0635888888888889,0.0765,-0.0677222222222222,1,0.00137174211248285,-0.037037037037037,2,1,0.6201
"10","aa482fc3c1a3b8c263261248ec44e0c9",3,1,0,26,9,2,"sars",0.296882792877384,1,0.0595333333333333,0.0747888888888889,-0.0642777777777778,1,0.00137174211248285,-0.037037037037037,2,1,0.6201
"11","aa482fc3c1a3b8c263261248ec44e0c9",3,1,0,26,9,3,"sars",0.61103910411595,1,0.0798,0.132266666666667,-0.0947777777777778,1,0.00137174211248285,-0.037037037037037,2,1,0.6201
"12","aa482fc3c1a3b8c263261248ec44e0c9",3,1,0,26,9,4,"sars",0.260382077358198,1,0.114122222222222,0.310655555555556,-0.162722222222222,1,0.00137174211248285,-0.037037037037037,2,1,0.6201
"13","aa482fc3c1a3b8c263261248ec44e0c9",4,1,0,35,9,1,"sars",0.71178051808647,1,0.0297555555555555,0.0327333333333333,-0.0307111111111111,1,0.000771604938271605,-0.0277777777777778,2,1,0.8258
"14","aa482fc3c1a3b8c263261248ec44e0c9",4,1,0,35,9,2,"sars",0.46851098031622,1,0.0212111111111111,0.0234555555555556,-0.0219444444444444,1,0.000771604938271605,-0.0277777777777778,2,1,0.8258
"15","aa482fc3c1a3b8c263261248ec44e0c9",4,1,0,35,9,3,"sars",0.625920113744974,1,0.0254777777777778,0.0330111111111111,-0.0278333333333333,1,0.000771604938271605,-0.0277777777777778,2,1,0.8258
"16","aa482fc3c1a3b8c263261248ec44e0c9",4,1,0,35,9,4,"sars",0.0726292327891978,1,0.0369555555555555,0.0628666666666667,-0.0440222222222222,1,0.000771604938271605,-0.0277777777777778,2,1,0.8258
"17","aa482fc3c1a3b8c263261248ec44e0c9",5,1,0,44,9,1,"sars",0.53585533180419,1,0.0144666666666667,0.0152333333333333,-0.0147222222222222,1,0.000493827160493827,-0.0222222222222222,2,1,0.9301
"18","aa482fc3c1a3b8c263261248ec44e0c9",5,1,0,44,9,2,"sars",0.93119202017086,1,0.00904444444444443,0.00934444444444444,-0.00914444444444444,1,0.000493827160493827,-0.0222222222222222,2,1,0.9301
"19","aa482fc3c1a3b8c263261248ec44e0c9",5,1,0,44,9,3,"sars",0.588028948705289,1,0.0101333333333333,0.0119333333333333,-0.0107111111111111,1,0.000493827160493827,-0.0222222222222222,2,1,0.9301
"20","aa482fc3c1a3b8c263261248ec44e0c9",6,1,0,53,9,1,"sars",0.0508761396202093,1,0.00669999999999998,0.0067,-0.0067,1,0.000342935528120713,-0.0185185185185185,2,1,0.969
"21","aa482fc3c1a3b8c263261248ec44e0c9",6,1,0,53,9,2,"sars",0.352757699517064,1,0.00370000000000001,0.0038,-0.00373333333333333,1,0.000342935528120713,-0.0185185185185185,2,1,0.969
"22","aa482fc3c1a3b8c263261248ec44e0c9",7,1,0,62,9,1,"sars",0.704968321651041,1,0.00244444444444445,0.00247777777777778,-0.00245555555555556,1,0.000251952632905014,-0.0158730158730159,2,1,0.9783
