"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","abe4270441dddfe00e323a3d52b4f2df",1,1,1,8,9,1,"sars",0.284371570035895,1,-0.0587444444444444,0.100272222222222,0.0568888888888889,0.777777777777778,0.0548696844993141,0,2,44,0.2517
"2","abe4270441dddfe00e323a3d52b4f2df",1,1,4,8,9,2,"sars",0.569080476875252,1,-0.212933333333333,0.356948148148148,0.301022222222222,0.333333333333333,0.228166438042981,0.333333333333333,2,44,0.2517
"3","abe4270441dddfe00e323a3d52b4f2df",1,1,0,8,9,3,"sars",0.561012984112217,1,0.200255555555556,0.347266666666667,-0.243488888888889,1,0.0123456790123457,-0.111111111111111,2,44,0.2517
"4","abe4270441dddfe00e323a3d52b4f2df",1,1,5,8,9,4,"sars",0.0761031178327366,1,-0.128911111111111,0.696218518518519,0.121077777777778,0.111111111111111,0.27069044352995,0.444444444444444,2,44,0.2517
"5","abe4270441dddfe00e323a3d52b4f2df",2,2,4,1,9,1,"sars",0.999932933507385,1,-0.196,0.373414814814815,0.279888888888889,0.333333333333333,0.228166438042981,0.333333333333333,2,44,0.0579
"6","abe4270441dddfe00e323a3d52b4f2df",2,2,0,1,9,2,"sars",0.999104365730787,1,0.2504,0.418422222222222,-0.300777777777778,1,0.0123456790123457,-0.111111111111111,2,44,0.0579
"7","abe4270441dddfe00e323a3d52b4f2df",2,2,5,1,9,3,"sars",0.997458451019848,1,-0.0201,0.787638888888889,-0.0210555555555556,0.111111111111111,0.27069044352995,0.444444444444444,2,44,0.0579
"8","abe4270441dddfe00e323a3d52b4f2df",2,2,3,1,9,4,"sars",0.751980270332579,0.611111111111111,0.325066666666667,2.69516851851852,-0.729733333333333,0.555555555555556,0.185642432556013,0.222222222222222,2,44,0.0579
"9","abe4270441dddfe00e323a3d52b4f2df",3,6,0,4,9,1,"sars",0.274250010133049,0.888888888888889,0.417244444444444,0.933322222222222,-0.564144444444444,1,0.0493827160493827,-0.222222222222222,2,44,3e-04
"10","abe4270441dddfe00e323a3d52b4f2df",3,6,5,4,9,2,"sars",0.920942737123979,0.5,0.364477777777778,1.87227222222222,-0.713311111111111,0.111111111111111,0.245313214449017,0.333333333333333,2,44,3e-04
"11","abe4270441dddfe00e323a3d52b4f2df",3,6,3,4,9,3,"sars",0.999691066888597,0.685185185185185,0.707177777777778,8.02423333333333,-2.05767777777778,0.555555555555556,0.18907178783722,0.111111111111111,2,44,3e-04
"12","abe4270441dddfe00e323a3d52b4f2df",3,6,9,4,9,4,"sars",0.999933333333353,0.596825396825397,0.719188888888889,23.8197909259259,-3.67417777777778,0.333333333333333,0.68145861911294,0.777777777777778,2,44,3e-04
"13","abe4270441dddfe00e323a3d52b4f2df",4,6,5,13,9,1,"sars",0.513050775629175,0.888888888888889,0.0471666666666667,0.839451851851852,-0.103822222222222,0.111111111111111,0.255658436213992,0.388888888888889,2,44,0.0056
"14","abe4270441dddfe00e323a3d52b4f2df",4,6,3,13,9,2,"sars",0.903977029519844,0.5,0.320911111111111,1.59961111111111,-0.543311111111111,0.555555555555556,0.184670781893004,0.166666666666667,2,44,0.0056
"15","abe4270441dddfe00e323a3d52b4f2df",4,6,9,13,9,3,"sars",0.965345345179747,0.5,0.204988888888889,3.3179587037037,-0.373422222222222,0.333333333333333,0.692541152263375,0.833333333333333,2,44,0.0056
"16","abe4270441dddfe00e323a3d52b4f2df",4,6,21,13,9,4,"sars",0.998094517320527,0.537037037037037,-0.0412555555555556,5.61858148148148,-0.0557777777777778,-0.555555555555556,1.63014403292181,2.16666666666667,2,44,0.0056
"17","abe4270441dddfe00e323a3d52b4f2df",5,11,3,0,9,1,"sars",0.970078877201644,0.722222222222222,0.274155555555556,1.19548148148148,-0.407188888888889,0.555555555555556,0.192336534064929,0.0888888888888889,2,44,5e-04
"18","abe4270441dddfe00e323a3d52b4f2df",5,11,9,0,9,2,"sars",0.851448162118069,0.5,0.135233333333333,2.03315796296296,-0.0354888888888889,0.333333333333333,0.678328303612254,0.755555555555556,2,44,5e-04
"19","abe4270441dddfe00e323a3d52b4f2df",5,11,21,0,9,3,"sars",0.971546139021651,0.555555555555556,-0.163655555555556,2.86058888888889,0.615677777777778,-0.555555555555556,1.56140832190215,2.08888888888889,2,44,5e-04
"20","abe4270441dddfe00e323a3d52b4f2df",6,14,9,6,9,1,"sars",0.999933333333353,0.666666666666667,0.0484333333333333,1.46199185185185,0.237622222222222,0.333333333333333,0.676654981456079,0.740740740740741,2,44,0.001
"21","abe4270441dddfe00e323a3d52b4f2df",6,14,21,6,9,2,"sars",0.999933333333353,0.5,-0.3558,1.79961111111111,1.28967777777778,-0.555555555555556,1.54895087131027,2.07407407407407,2,44,0.001
"22","abe4270441dddfe00e323a3d52b4f2df",7,23,21,2,9,1,"sars",0.999933333333353,0.5,-0.307111111111111,1.89054814814815,1.14742222222222,-0.555555555555556,1.46587908139936,1.96825396825397,2,44,1e-04
