"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","ac09f173bcb5c70eaa9e2530f3eca30d",1,1,0,8,9,1,"sars",0.171476695731295,1,0.0514555555555556,0.0590666666666667,-0.0539333333333333,1,0.0123456790123457,-0.111111111111111,2,9,0.2632
"2","ac09f173bcb5c70eaa9e2530f3eca30d",1,1,0,8,9,2,"sars",0.907886442042481,1,0.127666666666667,0.169288888888889,-0.140777777777778,1,0.0123456790123457,-0.111111111111111,2,9,0.2632
"3","ac09f173bcb5c70eaa9e2530f3eca30d",1,1,1,8,9,3,"sars",0.125394237539801,1,0.0898333333333333,0.356888888888889,-0.129033333333333,0.777777777777778,0.0548696844993141,0,2,9,0.2632
"4","ac09f173bcb5c70eaa9e2530f3eca30d",1,1,0,8,9,4,"sars",0.865721729142093,1,0.290888888888889,0.854977777777778,-0.433711111111111,1,0.0123456790123457,-0.111111111111111,2,9,0.2632
"5","ac09f173bcb5c70eaa9e2530f3eca30d",2,1,0,17,9,1,"sars",0.318910710690138,1,0.0936777777777778,0.118055555555556,-0.1015,1,0.00308641975308642,-0.0555555555555556,2,9,0.3646
"6","ac09f173bcb5c70eaa9e2530f3eca30d",2,1,1,17,9,2,"sars",0.358605671612077,1,0.0120555555555555,0.204272222222222,-0.0263222222222222,0.777777777777778,0.0522976680384088,0.0555555555555556,2,9,0.3646
"7","ac09f173bcb5c70eaa9e2530f3eca30d",2,1,0,17,9,3,"sars",0.248268101815191,1,0.1752,0.343011111111111,-0.222122222222222,1,0.00308641975308642,-0.0555555555555556,2,9,0.3646
"8","ac09f173bcb5c70eaa9e2530f3eca30d",2,1,2,17,9,4,"sars",0.98114952552594,1,0.0559333333333333,0.765311111111111,-0.1803,0.555555555555556,0.101508916323731,0.166666666666667,2,9,0.3646
"9","ac09f173bcb5c70eaa9e2530f3eca30d",3,1,1,26,9,1,"sars",0.807801139827202,1,-0.0476888888888889,0.117294444444444,0.0446222222222222,0.777777777777778,0.0527358634354519,0.0740740740740741,2,9,0.6079
"10","ac09f173bcb5c70eaa9e2530f3eca30d",3,1,0,26,9,2,"sars",0.89919252936884,1,0.0595666666666667,0.0731777777777778,-0.0638888888888889,1,0.00137174211248285,-0.037037037037037,2,9,0.6079
"11","ac09f173bcb5c70eaa9e2530f3eca30d",3,1,2,26,9,3,"sars",0.371662495237148,1,-0.141111111111111,0.197033333333333,0.1302,0.555555555555556,0.104099984758421,0.185185185185185,2,9,0.6079
"12","ac09f173bcb5c70eaa9e2530f3eca30d",3,1,2,26,9,4,"sars",0.237940042949622,1,-0.100111111111111,0.329005555555556,0.0639,0.555555555555556,0.104099984758421,0.185185185185185,2,9,0.6079
"13","ac09f173bcb5c70eaa9e2530f3eca30d",4,2,0,5,9,1,"sars",0.742126997642559,1,0.0750666666666667,0.0879888888888889,-0.0792777777777778,1,0.00308641975308642,-0.0555555555555556,2,9,0.3345
"14","ac09f173bcb5c70eaa9e2530f3eca30d",4,2,2,5,9,2,"sars",0.828743562159593,1,-0.111177777777778,0.202044444444444,0.103733333333333,0.555555555555556,0.101508916323731,0.166666666666667,2,9,0.3345
"15","ac09f173bcb5c70eaa9e2530f3eca30d",4,2,2,5,9,3,"sars",0.809594677292291,1,-0.0582888888888888,0.307277777777778,0.0321,0.555555555555556,0.101508916323731,0.166666666666667,2,9,0.3345
"16","ac09f173bcb5c70eaa9e2530f3eca30d",4,2,3,5,9,4,"sars",0.330952134401167,1,-0.0162555555555555,0.610274074074074,0.0337888888888889,0.555555555555556,0.191986739826246,0.277777777777778,2,9,0.3345
"17","ac09f173bcb5c70eaa9e2530f3eca30d",5,2,2,14,9,1,"sars",0.407182449226495,1,-0.149877777777778,0.165077777777778,0.1472,0.555555555555556,0.102990397805213,0.177777777777778,2,9,0.5013
"18","ac09f173bcb5c70eaa9e2530f3eca30d",5,2,2,14,9,2,"sars",0.760570897444686,1,-0.135866666666667,0.18295,0.131211111111111,0.555555555555556,0.102990397805213,0.177777777777778,2,9,0.5013
"19","ac09f173bcb5c70eaa9e2530f3eca30d",5,2,3,14,9,3,"sars",0.0604075556707403,1,-0.126788888888889,0.304187037037037,0.215466666666667,0.555555555555556,0.19390032007316,0.288888888888889,2,9,0.5013
"20","ac09f173bcb5c70eaa9e2530f3eca30d",6,4,2,0,9,1,"sars",0.103705402184286,1,-0.104,0.210705555555556,0.0970444444444444,0.555555555555556,0.0995275110501448,0.148148148148148,2,9,0.2351
"21","ac09f173bcb5c70eaa9e2530f3eca30d",6,4,3,0,9,2,"sars",0.37144338352715,1,-0.0574,0.378737037037037,0.1298,0.555555555555556,0.189275008890921,0.259259259259259,2,9,0.2351
"22","ac09f173bcb5c70eaa9e2530f3eca30d",7,6,3,2,9,1,"sars",0.843303956319945,1,-0.0304333333333333,0.404472222222222,0.0974555555555556,0.555555555555556,0.186906861510036,0.238095238095238,2,9,0.1575
