"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","c150c3615797ae57d6557c85cfd9e92a",1,1,1,8,9,1,"sars",0.490690005070758,1,-0.0588222222222222,0.103094444444444,0.0569222222222222,0.777777777777778,0.0548696844993141,0,2,10,0.2576
"2","c150c3615797ae57d6557c85cfd9e92a",1,1,0,8,9,2,"sars",0.12533954744989,1,0.129811111111111,0.174922222222222,-0.143855555555556,1,0.0123456790123457,-0.111111111111111,2,10,0.2576
"3","c150c3615797ae57d6557c85cfd9e92a",1,1,2,8,9,3,"sars",0.0900217712250833,1,-0.0128222222222222,0.368294444444444,-0.0234222222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,10,0.2576
"4","c150c3615797ae57d6557c85cfd9e92a",1,1,0,8,9,4,"sars",0.304633917380332,1,0.294644444444444,0.885766666666667,-0.442633333333333,1,0.0123456790123457,-0.111111111111111,2,10,0.2576
"5","c150c3615797ae57d6557c85cfd9e92a",2,2,0,3,9,1,"sars",0.653805348636455,1,0.158511111111111,0.214266666666667,-0.176044444444444,1,0.0123456790123457,-0.111111111111111,2,10,0.0614
"6","c150c3615797ae57d6557c85cfd9e92a",2,2,2,3,9,2,"sars",0.185309843233215,1,0.0601888888888889,0.457,-0.109588888888889,0.555555555555556,0.0973936899862826,0.111111111111111,2,10,0.0614
"7","c150c3615797ae57d6557c85cfd9e92a",2,2,0,3,9,3,"sars",0.949287422301527,1,0.411644444444444,1.1712,-0.609777777777778,1,0.0123456790123457,-0.111111111111111,2,10,0.0614
"8","c150c3615797ae57d6557c85cfd9e92a",2,2,2,3,9,4,"sars",0.900536246870855,0.555555555555556,0.4359,3.18017777777778,-0.927311111111111,0.777777777777778,0.143118427069044,0.111111111111111,2,10,0.0614
"9","c150c3615797ae57d6557c85cfd9e92a",3,2,2,12,9,1,"sars",0.999933333332344,1,-0.0532666666666667,0.279338888888889,0.0357888888888889,0.555555555555556,0.0995275110501448,0.148148148148148,2,10,0.1988
"10","c150c3615797ae57d6557c85cfd9e92a",3,2,0,12,9,2,"sars",0.999915744099432,1,0.205588888888889,0.339288888888889,-0.245288888888889,1,0.00548696844993141,-0.0740740740740741,2,10,0.1988
"11","c150c3615797ae57d6557c85cfd9e92a",3,2,2,12,9,3,"sars",0.999909068846663,1,0.148555555555556,0.750111111111111,-0.169488888888889,0.777777777777778,0.142254737590814,0.148148148148148,2,10,0.1988
"12","c150c3615797ae57d6557c85cfd9e92a",3,2,2,12,9,4,"sars",0.98333952372095,1,0.188177777777778,1.71872777777778,-0.476,0.555555555555556,0.0995275110501448,0.148148148148148,2,10,0.1988
"13","c150c3615797ae57d6557c85cfd9e92a",4,4,0,0,9,1,"sars",0.674169362529865,1,0.224933333333333,0.348133333333333,-0.262933333333333,1,0.0123456790123457,-0.111111111111111,2,10,0.0489
"14","c150c3615797ae57d6557c85cfd9e92a",4,4,2,0,9,2,"sars",0.975038558196752,1,0.165933333333333,0.629322222222222,-0.160455555555556,0.777777777777778,0.143118427069044,0.111111111111111,2,10,0.0489
"15","c150c3615797ae57d6557c85cfd9e92a",4,4,2,0,9,3,"sars",0.388264634511563,1,0.236288888888889,1.20226111111111,-0.437266666666667,0.555555555555556,0.0973936899862826,0.111111111111111,2,10,0.0489
"16","c150c3615797ae57d6557c85cfd9e92a",4,4,2,0,9,4,"sars",0.775185181159002,0.555555555555556,0.4179,3.28893333333333,-0.892955555555556,0.777777777777778,0.143118427069044,0.111111111111111,2,10,0.0489
"17","c150c3615797ae57d6557c85cfd9e92a",5,4,2,9,9,1,"sars",0.829886349947272,1,0.0481333333333333,0.351492592592593,0.0218333333333333,0.777777777777778,0.142295381801555,0.133333333333333,2,10,0.1841
"18","c150c3615797ae57d6557c85cfd9e92a",5,4,2,9,9,2,"sars",0.302190958737261,1,-0.0118555555555556,0.339844444444444,-0.0154333333333333,0.555555555555556,0.0983813443072702,0.133333333333333,2,10,0.1841
"19","c150c3615797ae57d6557c85cfd9e92a",5,4,2,9,9,3,"sars",0.44402743028265,1,0.111922222222222,0.558874074074074,-0.0867333333333333,0.777777777777778,0.142295381801555,0.133333333333333,2,10,0.1841
"20","c150c3615797ae57d6557c85cfd9e92a",6,6,2,4,9,1,"sars",0.713346284894799,1,-0.00700000000000003,0.33455,-0.0179222222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,10,0.1168
"21","c150c3615797ae57d6557c85cfd9e92a",6,6,2,4,9,2,"sars",0.403455393691403,1,0.124,0.510833333333333,-0.0859444444444444,0.777777777777778,0.143118427069044,0.111111111111111,2,10,0.1168
"22","c150c3615797ae57d6557c85cfd9e92a",7,8,2,3,9,1,"sars",0.236620685064287,1,0.118777777777778,0.479940740740741,-0.0741111111111111,0.777777777777778,0.144266211285612,0.0952380952380952,2,10,0.1064
