"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","c18958905cf5d23518675f5e94c2a507",1,1,2,8,9,1,"sars",0.0738973149072244,1,-0.170088888888889,0.142088888888889,0.1687,0.555555555555556,0.0973936899862826,0.111111111111111,2,46,0.2593
"2","c18958905cf5d23518675f5e94c2a507",1,1,1,8,9,2,"sars",0.997944416545004,1,0.0207777777777778,0.197116666666667,-0.0323555555555556,0.777777777777778,0.0548696844993141,0,2,46,0.2593
"3","c18958905cf5d23518675f5e94c2a507",1,1,2,8,9,3,"sars",0.0326075284083294,1,-0.0177888888888889,0.371322222222222,-0.0181222222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,46,0.2593
"4","c18958905cf5d23518675f5e94c2a507",1,1,5,8,9,4,"sars",0.0168208445820981,1,-0.1347,0.709377777777778,0.117577777777778,0.111111111111111,0.27069044352995,0.444444444444444,2,46,0.2593
"5","c18958905cf5d23518675f5e94c2a507",2,3,1,1,9,1,"sars",0.983198828658073,1,0.0832333333333333,0.271527777777778,-0.103033333333333,0.777777777777778,0.0632716049382716,-0.0555555555555555,2,46,0.0095
"6","c18958905cf5d23518675f5e94c2a507",2,3,2,1,9,2,"sars",0.495653748326499,1,0.169066666666667,0.714811111111111,-0.268255555555556,0.555555555555556,0.0987654320987654,0.0555555555555556,2,46,0.0095
"7","c18958905cf5d23518675f5e94c2a507",2,3,5,1,9,3,"sars",0.873507552187402,0.555555555555556,0.206977777777778,1.43053148148148,-0.437388888888889,0.111111111111111,0.255658436213992,0.388888888888889,2,46,0.0095
"8","c18958905cf5d23518675f5e94c2a507",2,3,5,1,9,4,"sars",0.995274307239628,0.574074074074074,0.468111111111111,4.21502777777778,-1.33664444444444,-0.111111111111111,0.205246913580247,0.388888888888889,2,46,0.0095
"9","c18958905cf5d23518675f5e94c2a507",3,4,2,1,9,1,"sars",0.523530318197841,1,0.103922222222222,0.538333333333333,-0.166866666666667,0.555555555555556,0.0976985215668343,0.0740740740740741,2,46,0.0076
"10","c18958905cf5d23518675f5e94c2a507",3,4,5,1,9,2,"sars",0.0832697650773297,0.833333333333333,0.0569555555555556,0.886024074074074,-0.135111111111111,0.111111111111111,0.260148351369202,0.407407407407407,2,46,0.0076
"11","c18958905cf5d23518675f5e94c2a507",3,4,5,1,9,3,"sars",0.8014855800218,0.5,0.2784,2.10085,-0.714033333333333,-0.111111111111111,0.211324493217497,0.407407407407407,2,46,0.0076
"12","c18958905cf5d23518675f5e94c2a507",3,4,11,1,9,4,"sars",0.999754936861417,0.555555555555556,0.273111111111111,4.74701851851852,-1.16447777777778,-0.555555555555556,0.646077833663568,1.07407407407407,2,46,0.0076
"13","c18958905cf5d23518675f5e94c2a507",4,6,5,3,9,1,"sars",0.451789149687089,1,-0.0282222222222223,0.705685185185185,0.00491111111111111,0.111111111111111,0.255658436213992,0.388888888888889,2,46,0.0039
"14","c18958905cf5d23518675f5e94c2a507",4,6,5,3,9,2,"sars",0.744138592674746,0.611111111111111,0.107222222222222,1.07839444444444,-0.302733333333333,-0.111111111111111,0.205246913580247,0.388888888888889,2,46,0.0039
"15","c18958905cf5d23518675f5e94c2a507",4,6,11,3,9,3,"sars",0.973553690862857,0.5,0.0213777777777778,1.96305833333333,-0.243877777777778,-0.555555555555556,0.632458847736626,1.05555555555556,2,46,0.0039
"16","c18958905cf5d23518675f5e94c2a507",4,6,19,3,9,4,"sars",0.99984019613927,0.592592592592593,0.0258111111111111,3.38755685185185,-0.4837,-0.777777777777778,1.32978395061728,1.94444444444444,2,46,0.0039
"17","c18958905cf5d23518675f5e94c2a507",5,11,5,0,9,1,"sars",0.949421898855194,0.611111111111111,0.0943333333333333,0.938216666666667,-0.254088888888889,-0.111111111111111,0.185130315500686,0.311111111111111,2,46,3e-04
"18","c18958905cf5d23518675f5e94c2a507",5,11,11,0,9,2,"sars",0.847781487414439,0.5,-0.00366666666666665,1.42867037037037,-0.0872666666666666,-0.555555555555556,0.579350708733425,0.977777777777778,2,46,3e-04
"19","c18958905cf5d23518675f5e94c2a507",5,11,19,0,9,3,"sars",0.951775529728886,0.648148148148148,0.0145222222222222,2.04386796296296,-0.172277777777778,-0.777777777777778,1.25028257887517,1.86666666666667,2,46,3e-04
"20","c18958905cf5d23518675f5e94c2a507",6,16,11,1,9,1,"sars",0.999933333333353,0.5,-0.125633333333333,1.07420092592593,0.171,-0.555555555555556,0.547617233145354,0.925925925925926,2,46,1e-04
"21","c18958905cf5d23518675f5e94c2a507",6,16,19,1,9,2,"sars",0.999895970239396,0.555555555555556,-0.2036,1.31910962962963,0.467588888888889,-0.777777777777778,1.20000762078951,1.81481481481481,2,46,1e-04
"22","c18958905cf5d23518675f5e94c2a507",7,27,19,0,9,1,"sars",0.982078593567044,0.592592592592593,-0.154922222222222,1.28391,0.376755555555556,-0.777777777777778,1.08163265306122,1.68253968253968,3,46,0
