"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","c1948d914d5651fdf781c7dc895e9229",1,2,0,3,9,1,"sars",0.297682982212019,1,0.0880222222222222,0.107133333333333,-0.0940888888888889,1,0.0493827160493827,-0.222222222222222,2,28,0.0389
"2","c1948d914d5651fdf781c7dc895e9229",1,2,1,3,9,2,"sars",0.89127039942832,1,0.161288888888889,0.424433333333333,-0.207733333333333,0.777777777777778,0.0775034293552812,-0.111111111111111,2,28,0.0389
"3","c1948d914d5651fdf781c7dc895e9229",1,2,1,3,9,3,"sars",0.943886130378009,1,0.322333333333333,0.998761111111111,-0.484177777777778,0.777777777777778,0.0775034293552812,-0.111111111111111,2,28,0.0389
"4","c1948d914d5651fdf781c7dc895e9229",1,2,5,3,9,4,"sars",0.760627471373707,0.5,0.237877777777778,1.72404074074074,-0.549033333333333,0.111111111111111,0.245313214449017,0.333333333333333,2,28,0.0389
"5","c1948d914d5651fdf781c7dc895e9229",2,2,1,12,9,1,"sars",0.373312790740671,1,0.110766666666667,0.333466666666667,-0.141266666666667,0.777777777777778,0.0548696844993141,0,2,28,0.0735
"6","c1948d914d5651fdf781c7dc895e9229",2,2,1,12,9,2,"sars",0.47319394690252,1,0.2089,0.578827777777778,-0.285133333333333,0.777777777777778,0.0548696844993141,0,2,28,0.0735
"7","c1948d914d5651fdf781c7dc895e9229",2,2,5,12,9,3,"sars",0.465974767755221,1,0.0319777777777778,0.93555,-0.1275,0.111111111111111,0.27069044352995,0.444444444444444,2,28,0.0735
"8","c1948d914d5651fdf781c7dc895e9229",2,2,3,12,9,4,"sars",0.958938415410424,0.5,0.356811111111111,3.31436666666667,-0.965211111111111,0.333333333333333,0.139917695473251,0.222222222222222,2,28,0.0735
"9","c1948d914d5651fdf781c7dc895e9229",3,3,1,2,9,1,"sars",0.193555500046542,1,0.119811111111111,0.361027777777778,-0.155233333333333,0.777777777777778,0.0548696844993141,0,2,28,0.0752
"10","c1948d914d5651fdf781c7dc895e9229",3,3,5,2,9,2,"sars",0.0647906469250165,1,-0.167844444444444,0.499018518518519,0.207,0.111111111111111,0.27069044352995,0.444444444444444,2,28,0.0752
"11","c1948d914d5651fdf781c7dc895e9229",3,3,3,2,9,3,"sars",0.407815127763125,1,0.108877777777778,0.968088888888889,-0.267255555555556,0.333333333333333,0.139917695473251,0.222222222222222,2,28,0.0752
"12","c1948d914d5651fdf781c7dc895e9229",3,3,5,2,9,4,"sars",0.672652114614733,0.722222222222222,0.150133333333333,2.16579259259259,-0.4979,0.111111111111111,0.27069044352995,0.444444444444444,2,28,0.0752
"13","c1948d914d5651fdf781c7dc895e9229",4,4,5,4,9,1,"sars",0.419237388527001,1,-0.262122222222222,0.411912962962963,0.335233333333333,0.111111111111111,0.27069044352995,0.444444444444444,2,28,0.0936
"14","c1948d914d5651fdf781c7dc895e9229",4,4,3,4,9,2,"sars",0.125801181425065,1,-0.0765444444444445,0.407522222222222,0.0413333333333333,0.333333333333333,0.139917695473251,0.222222222222222,2,28,0.0936
"15","c1948d914d5651fdf781c7dc895e9229",4,4,5,4,9,3,"sars",0.021107720800845,1,-0.115622222222222,0.638651851851852,0.120544444444444,0.111111111111111,0.27069044352995,0.444444444444444,2,28,0.0936
"16","c1948d914d5651fdf781c7dc895e9229",4,4,11,4,9,4,"sars",0.501755261004061,1,-0.214266666666667,1.45400277777778,0.544811111111111,-0.111111111111111,0.793324188385917,1.11111111111111,2,28,0.0936
"17","c1948d914d5651fdf781c7dc895e9229",5,9,3,0,9,1,"sars",0.0306648948722572,1,0.0403222222222223,0.559216666666667,-0.103777777777778,0.333333333333333,0.133333333333333,0.133333333333333,2,28,0.001
"18","c1948d914d5651fdf781c7dc895e9229",5,9,5,0,9,2,"sars",0.937245403540074,0.666666666666667,0.147611111111111,1.05595,-0.273333333333333,0.111111111111111,0.248888888888889,0.355555555555556,2,28,0.001
"19","c1948d914d5651fdf781c7dc895e9229",5,9,11,0,9,3,"sars",0.99834066773983,0.518518518518518,0.133933333333333,2.68487296296296,-0.303522222222222,-0.111111111111111,0.747555555555556,1.02222222222222,2,28,0.001
"20","c1948d914d5651fdf781c7dc895e9229",6,12,5,2,9,1,"sars",0.811545177462142,0.777777777777778,0.0694222222222222,0.824098148148148,-0.131288888888889,0.111111111111111,0.245313214449017,0.333333333333333,2,28,0.0011
"21","c1948d914d5651fdf781c7dc895e9229",6,12,11,2,9,2,"sars",0.986038184805505,0.5,0.0313111111111111,1.82290611111111,0.0330111111111111,-0.111111111111111,0.737700045724737,1,2,28,0.0011
"22","c1948d914d5651fdf781c7dc895e9229",7,17,11,0,9,1,"sars",0.955958193501279,0.5,-0.0352666666666667,1.5107212962963,0.211077777777778,-0.111111111111111,0.718718214309043,0.952380952380952,2,28,3e-04
