"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","cbe97a7d6af8de2190480a5c70f5b648",1,1,0,8,9,1,"sars",0.631238860829365,1,0.0515333333333334,0.0591,-0.0539888888888889,1,0.0123456790123457,-0.111111111111111,2,11,0.2468
"2","cbe97a7d6af8de2190480a5c70f5b648",1,1,1,8,9,2,"sars",0.22197646180473,1,0.0214222222222222,0.213872222222222,-0.035,0.777777777777778,0.0548696844993141,0,2,11,0.2468
"3","cbe97a7d6af8de2190480a5c70f5b648",1,1,1,8,9,3,"sars",0.0423607325901179,1,0.0933666666666667,0.371377777777778,-0.1346,0.777777777777778,0.0548696844993141,0,2,11,0.2468
"4","cbe97a7d6af8de2190480a5c70f5b648",1,1,1,8,9,4,"sars",0.701493722755261,1,0.204944444444444,0.803394444444444,-0.337177777777778,0.777777777777778,0.0548696844993141,0,2,11,0.2468
"5","cbe97a7d6af8de2190480a5c70f5b648",2,1,1,17,9,1,"sars",0.999933333333354,1,-0.0149222222222222,0.160988888888889,0.00786666666666667,0.777777777777778,0.0522976680384088,0.0555555555555556,2,11,0.3571
"6","cbe97a7d6af8de2190480a5c70f5b648",2,1,1,17,9,2,"sars",0.999933333333347,1,0.0142111111111111,0.206688888888889,-0.0283,0.777777777777778,0.0522976680384088,0.0555555555555556,2,11,0.3571
"7","cbe97a7d6af8de2190480a5c70f5b648",2,1,1,17,9,3,"sars",0.999931418071941,1,0.0733,0.352061111111111,-0.116788888888889,0.777777777777778,0.0522976680384088,0.0555555555555556,2,11,0.3571
"8","cbe97a7d6af8de2190480a5c70f5b648",2,1,0,17,9,4,"sars",0.999553597678522,1,0.258222222222222,0.937555555555556,-0.415466666666667,1,0.00308641975308642,-0.0555555555555556,2,11,0.3571
"9","cbe97a7d6af8de2190480a5c70f5b648",3,2,1,8,9,1,"sars",0.216463685872551,1,0.0372333333333333,0.226644444444444,-0.0518444444444444,0.777777777777778,0.0525072397500381,0.037037037037037,2,11,0.1804
"10","cbe97a7d6af8de2190480a5c70f5b648",3,2,1,8,9,2,"sars",0.60983687258707,1,0.0934,0.317233333333333,-0.1239,0.777777777777778,0.0525072397500381,0.037037037037037,2,11,0.1804
"11","cbe97a7d6af8de2190480a5c70f5b648",3,2,0,8,9,3,"sars",0.492681964886402,1,0.278544444444444,0.664222222222222,-0.382,1,0.00548696844993141,-0.0740740740740741,2,11,0.1804
"12","cbe97a7d6af8de2190480a5c70f5b648",3,2,3,8,9,4,"sars",0.527705171149352,1,0.152233333333333,1.64533703703704,-0.341622222222222,0.555555555555556,0.189275008890921,0.259259259259259,2,11,0.1804
"13","cbe97a7d6af8de2190480a5c70f5b648",4,3,1,7,9,1,"sars",0.175710034040919,1,0.0735444444444444,0.272355555555556,-0.0950111111111111,0.777777777777778,0.0528549382716049,0.0277777777777778,2,11,0.1327
"14","cbe97a7d6af8de2190480a5c70f5b648",4,3,0,7,9,2,"sars",0.0216153428715157,1,0.232044444444444,0.389877777777778,-0.279011111111111,1,0.00694444444444444,-0.0833333333333333,2,11,0.1327
"15","cbe97a7d6af8de2190480a5c70f5b648",4,3,3,7,9,3,"sars",0.885398317953832,1,0.0740222222222222,0.808325925925926,-0.100433333333333,0.555555555555556,0.188143004115226,0.25,2,11,0.1327
"16","cbe97a7d6af8de2190480a5c70f5b648",4,3,4,7,9,4,"sars",0.186900042831389,1,0.0388555555555555,1.31918888888889,-0.271277777777778,0.111111111111111,0.190586419753086,0.361111111111111,2,11,0.1327
"17","cbe97a7d6af8de2190480a5c70f5b648",5,4,0,0,9,1,"sars",0.0415579547902559,1,0.172777777777778,0.243733333333333,-0.194777777777778,1,0.00790123456790123,-0.0888888888888889,2,11,0.1588
"18","cbe97a7d6af8de2190480a5c70f5b648",5,4,3,0,9,2,"sars",0.146593966393804,1,-0.0377555555555556,0.422257407407407,0.1006,0.555555555555556,0.187535436671239,0.244444444444444,2,11,0.1588
"19","cbe97a7d6af8de2190480a5c70f5b648",5,4,4,0,9,3,"sars",0.625098301015185,1,-0.1423,0.499927777777778,0.0882333333333333,0.111111111111111,0.188861454046639,0.355555555555556,2,11,0.1588
"20","cbe97a7d6af8de2190480a5c70f5b648",6,4,3,9,9,1,"sars",0.00914976481942004,1,-0.105633333333333,0.312627777777778,0.192455555555556,0.555555555555556,0.189275008890921,0.259259259259259,2,11,0.3291
"21","cbe97a7d6af8de2190480a5c70f5b648",6,4,4,9,9,2,"sars",0.854034994455451,1,-0.305111111111111,0.294827777777778,0.297,0.111111111111111,0.193568053650358,0.37037037037037,2,11,0.3291
"22","cbe97a7d6af8de2190480a5c70f5b648",7,7,4,6,9,1,"sars",0.419641284922018,1,-0.224388888888889,0.3477,0.207577777777778,0.111111111111111,0.182441700960219,0.333333333333333,2,11,0.1536
