"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","d7c53df0a27d4fb8055bcdb7a27ec3ec",1,1,1,8,9,1,"sars",0.49978552012785,1,-0.0608888888888889,0.107766666666667,0.0588111111111111,0.777777777777778,0.0548696844993141,0,2,47,0.2707
"2","d7c53df0a27d4fb8055bcdb7a27ec3ec",1,1,3,8,9,2,"sars",0.713312959704726,1,-0.106988888888889,0.305790740740741,0.195044444444444,0.555555555555556,0.185642432556013,0.222222222222222,2,47,0.2707
"3","d7c53df0a27d4fb8055bcdb7a27ec3ec",1,1,1,8,9,3,"sars",0.66811716047729,1,0.0829666666666667,0.347222222222222,-0.120155555555556,0.777777777777778,0.0548696844993141,0,2,47,0.2707
"4","d7c53df0a27d4fb8055bcdb7a27ec3ec",1,1,7,8,9,4,"sars",0.397140839789053,1,-0.253555555555556,0.782494444444444,0.360444444444444,-0.111111111111111,0.412894375857339,0.666666666666667,2,47,0.2707
"5","d7c53df0a27d4fb8055bcdb7a27ec3ec",2,2,3,7,9,1,"sars",0.772604590469263,1,-0.0539666666666667,0.366524074074074,0.128122222222222,0.555555555555556,0.185642432556013,0.222222222222222,2,47,0.068
"6","d7c53df0a27d4fb8055bcdb7a27ec3ec",2,2,1,7,9,2,"sars",0.836834830344646,1,0.193344444444444,0.55685,-0.264511111111111,0.777777777777778,0.0548696844993141,0,2,47,0.068
"7","d7c53df0a27d4fb8055bcdb7a27ec3ec",2,2,7,7,9,3,"sars",0.88924152978839,1,-0.0952444444444445,1.01533888888889,0.123366666666667,-0.111111111111111,0.412894375857339,0.666666666666667,2,47,0.068
"8","d7c53df0a27d4fb8055bcdb7a27ec3ec",2,2,8,7,9,4,"sars",0.992691514646776,0.5,0.0336666666666667,1.93275740740741,-0.343444444444444,-0.333333333333333,0.443987197073617,0.777777777777778,2,47,0.068
"9","d7c53df0a27d4fb8055bcdb7a27ec3ec",3,5,1,0,9,1,"sars",0.999011341035748,1,0.257377777777778,0.689994444444444,-0.351722222222222,0.777777777777778,0.0673677793019357,-0.0740740740740741,2,47,9e-04
"10","d7c53df0a27d4fb8055bcdb7a27ec3ec",3,5,7,0,9,2,"sars",0.950493800777729,0.611111111111111,0.0603888888888889,1.22306944444444,-0.106077777777778,-0.111111111111111,0.382868465172992,0.592592592592593,2,47,9e-04
"11","d7c53df0a27d4fb8055bcdb7a27ec3ec",3,5,8,0,9,3,"sars",0.64259752912641,0.574074074074074,0.300822222222222,2.45727222222222,-0.814144444444444,-0.333333333333333,0.402936544225982,0.703703703703704,2,47,9e-04
"12","d7c53df0a27d4fb8055bcdb7a27ec3ec",3,5,8,0,9,4,"sars",0.997367322526182,0.585185185185185,0.585611111111111,10.0281574074074,-2.36094444444444,-0.333333333333333,0.402936544225982,0.703703703703704,2,47,9e-04
"13","d7c53df0a27d4fb8055bcdb7a27ec3ec",4,6,7,8,9,1,"sars",0.978209467832051,1,-0.1174,0.795091666666667,0.205811111111111,-0.111111111111111,0.389660493827161,0.611111111111111,2,47,0.0056
"14","d7c53df0a27d4fb8055bcdb7a27ec3ec",4,6,8,8,9,2,"sars",0.739048713503228,0.555555555555556,-0.0885444444444444,0.939446296296296,0.0394444444444444,-0.333333333333333,0.412551440329218,0.722222222222222,2,47,0.0056
"15","d7c53df0a27d4fb8055bcdb7a27ec3ec",4,6,8,8,9,3,"sars",0.470428610444063,0.5,0.117455555555556,2.20217037037037,-0.470555555555556,-0.333333333333333,0.412551440329218,0.722222222222222,2,47,0.0056
"16","d7c53df0a27d4fb8055bcdb7a27ec3ec",4,6,18,8,9,4,"sars",0.733869774045677,0.592592592592593,-0.0243222222222222,3.48834407407407,-0.366633333333333,-0.777777777777778,1.23127572016461,1.83333333333333,2,47,0.0056
"17","d7c53df0a27d4fb8055bcdb7a27ec3ec",5,13,8,1,9,1,"sars",0.962230197821885,0.5,0.0221888888888889,1.08575925925926,-0.141311111111111,-0.333333333333333,0.357073616826703,0.6,2,47,1e-04
"18","d7c53df0a27d4fb8055bcdb7a27ec3ec",5,13,8,1,9,2,"sars",0.820890446668612,0.574074074074074,0.3145,2.66985,-0.839377777777778,-0.333333333333333,0.357073616826703,0.6,2,47,1e-04
"19","d7c53df0a27d4fb8055bcdb7a27ec3ec",5,13,18,1,9,3,"sars",0.997233804720241,0.657407407407407,0.238755555555556,3.6703862962963,-0.969522222222222,-0.777777777777778,1.11132693187014,1.71111111111111,2,47,1e-04
"20","d7c53df0a27d4fb8055bcdb7a27ec3ec",6,21,8,0,9,1,"sars",0.732896586865559,0.537037037037037,0.243466666666667,2.01253333333333,-0.6128,-0.333333333333333,0.325674439871971,0.5,2,47,0
"21","d7c53df0a27d4fb8055bcdb7a27ec3ec",6,21,18,0,9,2,"sars",0.972724163147284,0.685185185185185,0.104277777777778,2.24061888888889,-0.409688888888889,-0.777777777777778,1.02240512117055,1.61111111111111,3,47,0
"22","d7c53df0a27d4fb8055bcdb7a27ec3ec",7,29,18,0,9,1,"sars",0.768346062857668,0.611111111111111,-0.0938444444444445,1.52667222222222,0.134388888888889,-0.777777777777778,0.963968907178784,1.53968253968254,3,47,0
