"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","d7dd7d9ab8396107a9fd8a61621d55c4",1,1,2,8,9,1,"sars",0.822566829980623,1,-0.170155555555556,0.147694444444444,0.168522222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,48,0.2634
"2","d7dd7d9ab8396107a9fd8a61621d55c4",1,1,2,8,9,2,"sars",0.775629578482243,1,-0.0906444444444444,0.226944444444444,0.0807666666666667,0.555555555555556,0.0973936899862826,0.111111111111111,2,48,0.2634
"3","d7dd7d9ab8396107a9fd8a61621d55c4",1,1,3,8,9,3,"sars",0.350668068097284,1,-0.127633333333333,0.385005555555556,0.0942888888888889,0.333333333333333,0.139917695473251,0.222222222222222,2,48,0.2634
"4","d7dd7d9ab8396107a9fd8a61621d55c4",1,1,6,8,9,4,"sars",0.566297768376223,1,-0.2375,0.706396296296296,0.238455555555556,-0.111111111111111,0.313214449016918,0.555555555555556,2,48,0.2634
"5","d7dd7d9ab8396107a9fd8a61621d55c4",2,3,2,1,9,1,"sars",0.559789158263063,1,-0.00638888888888888,0.317755555555556,-0.0158111111111111,0.555555555555556,0.0987654320987654,0.0555555555555556,2,48,0.0101
"6","d7dd7d9ab8396107a9fd8a61621d55c4",2,3,3,1,9,2,"sars",0.392020043140701,1,0.0991666666666667,0.749488888888889,-0.203788888888889,0.333333333333333,0.134259259259259,0.166666666666667,2,48,0.0101
"7","d7dd7d9ab8396107a9fd8a61621d55c4",2,3,6,1,9,3,"sars",0.976828037991927,0.5,0.144111111111111,1.44042962962963,-0.367622222222222,-0.111111111111111,0.291152263374486,0.5,2,48,0.0101
"8","d7dd7d9ab8396107a9fd8a61621d55c4",2,3,7,1,9,4,"sars",0.995154200584867,0.592592592592593,0.396966666666667,3.71471296296296,-1.2089,-0.333333333333333,0.326646090534979,0.611111111111111,2,48,0.0101
"9","d7dd7d9ab8396107a9fd8a61621d55c4",3,5,3,0,9,1,"sars",0.990785390809498,1,0.0843888888888889,0.690822222222222,-0.175822222222222,0.333333333333333,0.133516232281664,0.148148148148148,2,48,0.0015
"10","d7dd7d9ab8396107a9fd8a61621d55c4",3,5,6,0,9,2,"sars",0.969215510512731,0.555555555555556,0.124355555555556,1.18838333333333,-0.2843,-0.111111111111111,0.284763501498755,0.481481481481482,2,48,0.0015
"11","d7dd7d9ab8396107a9fd8a61621d55c4",3,5,7,0,9,3,"sars",0.549925669208655,0.574074074074074,0.377711111111111,2.78709444444444,-1.00341111111111,-0.333333333333333,0.31783772798862,0.592592592592593,2,48,0.0015
"12","d7dd7d9ab8396107a9fd8a61621d55c4",3,5,9,0,9,4,"sars",0.991175490486796,0.577777777777778,0.589055555555556,11.2427622222222,-2.41102222222222,-0.333333333333333,0.519250114311843,0.814814814814815,2,48,0.0015
"13","d7dd7d9ab8396107a9fd8a61621d55c4",4,8,6,3,9,1,"sars",0.999933120734092,0.666666666666667,0.0366888888888889,0.948292592592593,-0.125477777777778,-0.111111111111111,0.273433927754915,0.444444444444444,2,48,3e-04
"14","d7dd7d9ab8396107a9fd8a61621d55c4",4,8,7,3,9,2,"sars",0.995028387836376,0.5,0.218455555555556,1.62446296296296,-0.539811111111111,-0.333333333333333,0.301554641060814,0.555555555555556,2,48,3e-04
"15","d7dd7d9ab8396107a9fd8a61621d55c4",4,8,9,3,9,3,"sars",0.887610486160169,0.648148148148148,0.428088888888889,5.22673333333333,-1.31514444444444,-0.333333333333333,0.501646090534979,0.777777777777778,2,48,3e-04
"16","d7dd7d9ab8396107a9fd8a61621d55c4",4,8,18,3,9,4,"sars",0.990499538218667,0.544444444444444,0.418422222222222,11.7161218253968,-2.25935555555556,-0.555555555555556,1.27085374616239,1.77777777777778,2,48,3e-04
"17","d7dd7d9ab8396107a9fd8a61621d55c4",5,14,7,0,9,1,"sars",0.895413861681241,0.5,0.161788888888889,1.24602962962963,-0.382544444444444,-0.333333333333333,0.269730224051212,0.466666666666667,2,48,0
"18","d7dd7d9ab8396107a9fd8a61621d55c4",5,14,9,0,9,2,"sars",0.979294293648394,0.611111111111111,0.3642,3.09116666666667,-0.866711111111111,-0.333333333333333,0.466485596707819,0.688888888888889,2,48,0
"19","d7dd7d9ab8396107a9fd8a61621d55c4",5,14,18,0,9,3,"sars",0.999933154935949,0.677777777777778,0.306911111111111,5.45496309523809,-1.16331111111111,-0.555555555555556,1.20090273695212,1.68888888888889,3,48,0
"20","d7dd7d9ab8396107a9fd8a61621d55c4",6,21,9,0,9,1,"sars",0.820869591752731,0.5,0.230288888888889,1.96201555555556,-0.446822222222222,-0.333333333333333,0.443930041152263,0.611111111111111,2,48,0
"21","d7dd7d9ab8396107a9fd8a61621d55c4",6,21,18,0,9,2,"sars",0.791722423973895,0.666666666666667,0.0605,2.70255886243386,-0.163744444444444,-0.555555555555556,1.14590273695212,1.61111111111111,3,48,0
"22","d7dd7d9ab8396107a9fd8a61621d55c4",7,30,18,2,9,1,"sars",0.96310830227154,0.592592592592593,-0.0569333333333333,2.04332473544974,0.227511111111111,-0.555555555555556,1.09106887905074,1.52380952380952,3,48,0
