"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e01e0630182d2c7bdd230faa9b259fc4",1,1,0,8,9,1,"sars",0.841886637713732,1,0.0532888888888889,0.0599555555555556,-0.0554666666666667,1,0.0123456790123457,-0.111111111111111,2,12,0.2552
"2","e01e0630182d2c7bdd230faa9b259fc4",1,1,1,8,9,2,"sars",0.244290753526756,1,0.0191222222222222,0.209527777777778,-0.0322222222222222,0.777777777777778,0.0548696844993141,0,2,12,0.2552
"3","e01e0630182d2c7bdd230faa9b259fc4",1,1,2,8,9,3,"sars",0.374275495062371,1,-0.0117555555555555,0.394683333333333,-0.029,0.555555555555556,0.0973936899862826,0.111111111111111,2,12,0.2552
"4","e01e0630182d2c7bdd230faa9b259fc4",1,1,0,8,9,4,"sars",0.346570247306908,1,0.299244444444444,0.8803,-0.447055555555556,1,0.0123456790123457,-0.111111111111111,2,12,0.2552
"5","e01e0630182d2c7bdd230faa9b259fc4",2,1,1,17,9,1,"sars",0.504927703460386,1,-0.0159666666666666,0.155461111111111,0.00981111111111112,0.777777777777778,0.0522976680384088,0.0555555555555556,2,12,0.3719
"6","e01e0630182d2c7bdd230faa9b259fc4",2,1,2,17,9,2,"sars",0.0446578344436815,1,-0.0953444444444445,0.23755,0.0825555555555556,0.555555555555556,0.101508916323731,0.166666666666667,2,12,0.3719
"7","e01e0630182d2c7bdd230faa9b259fc4",2,1,0,17,9,3,"sars",0.299243071277183,1,0.174077777777778,0.354733333333333,-0.224177777777778,1,0.00308641975308642,-0.0555555555555556,2,12,0.3719
"8","e01e0630182d2c7bdd230faa9b259fc4",2,1,2,17,9,4,"sars",0.931332905637528,1,0.0582444444444444,0.824572222222222,-0.193233333333333,0.555555555555556,0.101508916323731,0.166666666666667,2,12,0.3719
"9","e01e0630182d2c7bdd230faa9b259fc4",3,2,2,7,9,1,"sars",0.856248128016863,1,-0.0804333333333333,0.249105555555556,0.0674888888888889,0.555555555555556,0.0995275110501448,0.148148148148148,2,12,0.1941
"10","e01e0630182d2c7bdd230faa9b259fc4",3,2,0,7,9,2,"sars",0.919648593346331,1,0.192688888888889,0.304466666666667,-0.226355555555556,1,0.00548696844993141,-0.0740740740740741,2,12,0.1941
"11","e01e0630182d2c7bdd230faa9b259fc4",3,2,2,7,9,3,"sars",0.112965098074772,1,0.0714111111111111,0.575888888888889,-0.150966666666667,0.555555555555556,0.0995275110501448,0.148148148148148,2,12,0.1941
"12","e01e0630182d2c7bdd230faa9b259fc4",3,2,3,7,9,4,"sars",0.86719158832604,1,0.0842,1.45157222222222,-0.325455555555556,0.333333333333333,0.146547782350251,0.259259259259259,2,12,0.1941
"13","e01e0630182d2c7bdd230faa9b259fc4",4,4,0,5,9,1,"sars",0.134164840081634,1,0.2424,0.388077777777778,-0.287011111111111,1,0.0123456790123457,-0.111111111111111,2,12,0.027
"14","e01e0630182d2c7bdd230faa9b259fc4",4,4,2,5,9,2,"sars",0.416329353327788,1,0.171811111111111,0.684888888888889,-0.268822222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,12,0.027
"15","e01e0630182d2c7bdd230faa9b259fc4",4,4,3,5,9,3,"sars",0.428993104706179,0.722222222222222,0.227111111111111,1.53510555555556,-0.496166666666667,0.333333333333333,0.139917695473251,0.222222222222222,2,12,0.027
"16","e01e0630182d2c7bdd230faa9b259fc4",4,4,3,5,9,4,"sars",0.96541701455563,0.5,0.408077777777778,4.16187222222222,-1.11815555555556,0.333333333333333,0.139917695473251,0.222222222222222,2,12,0.027
"17","e01e0630182d2c7bdd230faa9b259fc4",5,4,2,14,9,1,"sars",0.418009218862856,1,0.00882222222222224,0.35285,-0.0374222222222222,0.555555555555556,0.0983813443072702,0.133333333333333,2,12,0.1298
"18","e01e0630182d2c7bdd230faa9b259fc4",5,4,3,14,9,2,"sars",0.271819948454628,1,-0.0663777777777778,0.431672222222222,0.0276111111111111,0.333333333333333,0.143621399176955,0.244444444444444,2,12,0.1298
"19","e01e0630182d2c7bdd230faa9b259fc4",5,4,3,14,9,3,"sars",0.061344051208531,1,-0.00448888888888886,0.634688888888889,-0.0781333333333333,0.333333333333333,0.143621399176955,0.244444444444444,2,12,0.1298
"20","e01e0630182d2c7bdd230faa9b259fc4",6,6,3,1,9,1,"sars",0.999848679986246,1,-0.106477777777778,0.354072222222222,0.0829444444444444,0.333333333333333,0.139917695473251,0.222222222222222,2,12,0.1252
"21","e01e0630182d2c7bdd230faa9b259fc4",6,6,3,1,9,2,"sars",0.999895916107858,1,-0.0716,0.415877777777778,0.0364222222222222,0.333333333333333,0.139917695473251,0.222222222222222,2,12,0.1252
"22","e01e0630182d2c7bdd230faa9b259fc4",7,9,3,3,9,1,"sars",0.719738605372967,1,-0.0247333333333333,0.477472222222222,-0.0207666666666667,0.333333333333333,0.136054421768707,0.19047619047619,2,12,0.0633
