"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e1e57f48ac32e08883a45e962345e266",1,1,0,8,9,1,"sars",0.634725949773154,1,0.0506111111111111,0.0575888888888889,-0.0528333333333333,1,0.0123456790123457,-0.111111111111111,2,21,0.2566
"2","e1e57f48ac32e08883a45e962345e266",1,1,0,8,9,2,"sars",0.883172807364802,1,0.129877777777778,0.174777777777778,-0.144022222222222,1,0.0123456790123457,-0.111111111111111,2,21,0.2566
"3","e1e57f48ac32e08883a45e962345e266",1,1,1,8,9,3,"sars",0.452057374406498,1,0.088,0.361155555555556,-0.127966666666667,0.777777777777778,0.0548696844993141,0,2,21,0.2566
"4","e1e57f48ac32e08883a45e962345e266",1,1,2,8,9,4,"sars",0.776663743154223,1,0.0842666666666667,0.834544444444444,-0.212566666666667,0.555555555555556,0.0973936899862826,0.111111111111111,2,21,0.2566
"5","e1e57f48ac32e08883a45e962345e266",2,1,0,17,9,1,"sars",0.754296369675597,1,0.0917666666666667,0.113488888888889,-0.0988,1,0.00308641975308642,-0.0555555555555556,2,21,0.3658
"6","e1e57f48ac32e08883a45e962345e266",2,1,1,17,9,2,"sars",0.0703010324794865,1,0.0121333333333334,0.200205555555556,-0.0248111111111111,0.777777777777778,0.0522976680384088,0.0555555555555556,2,21,0.3658
"7","e1e57f48ac32e08883a45e962345e266",2,1,2,17,9,3,"sars",0.975758997290455,1,-0.0452222222222222,0.378705555555556,0.00506666666666667,0.555555555555556,0.101508916323731,0.166666666666667,2,21,0.3658
"8","e1e57f48ac32e08883a45e962345e266",2,1,6,17,9,4,"sars",0.386486434789754,1,-0.206588888888889,0.841762962962963,0.272333333333333,0.111111111111111,0.380887059899406,0.611111111111111,2,21,0.3658
"9","e1e57f48ac32e08883a45e962345e266",3,1,1,26,9,1,"sars",0.44917350207758,1,-0.0497,0.115644444444444,0.0465,0.777777777777778,0.0527358634354519,0.0740740740740741,2,21,0.6294
"10","e1e57f48ac32e08883a45e962345e266",3,1,2,26,9,2,"sars",0.707277607113205,1,-0.166088888888889,0.158266666666667,0.162988888888889,0.555555555555556,0.104099984758421,0.185185185185185,2,21,0.6294
"11","e1e57f48ac32e08883a45e962345e266",3,1,6,26,9,3,"sars",0.779954916960899,1,-0.385822222222222,0.445837037037037,0.5832,0.111111111111111,0.389219123101153,0.62962962962963,2,21,0.6294
"12","e1e57f48ac32e08883a45e962345e266",3,1,3,26,9,4,"sars",0.86253824102319,1,-0.217866666666667,0.325583333333333,0.188844444444444,0.333333333333333,0.15546410608139,0.296296296296296,2,21,0.6294
"13","e1e57f48ac32e08883a45e962345e266",4,2,2,7,9,1,"sars",0.999933333333353,1,-0.135766666666667,0.184333333333333,0.131066666666667,0.555555555555556,0.101508916323731,0.166666666666667,2,21,0.3329
"14","e1e57f48ac32e08883a45e962345e266",4,2,6,7,9,2,"sars",0.999933333333337,1,-0.352355555555556,0.450840740740741,0.539077777777778,0.111111111111111,0.380887059899406,0.611111111111111,2,21,0.3329
"15","e1e57f48ac32e08883a45e962345e266",4,2,3,7,9,3,"sars",0.999925616219979,1,-0.158688888888889,0.327172222222222,0.134588888888889,0.333333333333333,0.150720164609053,0.277777777777778,2,21,0.3329
"16","e1e57f48ac32e08883a45e962345e266",4,2,8,7,9,4,"sars",0.999859034528613,1,-0.6117,0.500605555555556,0.573411111111111,-0.777777777777778,0.396776406035665,0.833333333333333,2,21,0.3329
"17","e1e57f48ac32e08883a45e962345e266",5,4,6,6,9,1,"sars",0.999933289213146,1,-0.286833333333333,0.493518518518519,0.440388888888889,0.111111111111111,0.367169638774577,0.577777777777778,2,21,0.0551
"18","e1e57f48ac32e08883a45e962345e266",5,4,3,6,9,2,"sars",0.999716164563147,1,0.00335555555555556,0.512822222222222,-0.0609444444444444,0.333333333333333,0.143621399176955,0.244444444444444,2,21,0.0551
"19","e1e57f48ac32e08883a45e962345e266",5,4,8,6,9,3,"sars",0.982714361933941,1,-0.351511111111111,0.592488888888889,0.266,-0.777777777777778,0.369821673525377,0.8,2,21,0.0551
"20","e1e57f48ac32e08883a45e962345e266",6,10,3,0,9,1,"sars",0.691769549119647,0.833333333333333,0.206644444444444,0.888833333333333,-0.3499,0.333333333333333,0.133516232281664,0.148148148148148,2,21,0
"21","e1e57f48ac32e08883a45e962345e266",6,10,8,0,9,2,"sars",0.973284204500923,0.518518518518518,0.169422222222222,1.22791666666667,-0.492277777777778,-0.777777777777778,0.298887364730986,0.703703703703704,3,21,0
"22","e1e57f48ac32e08883a45e962345e266",7,13,8,0,9,1,"sars",0.927616516624409,0.5,-0.0488666666666667,0.725988888888889,-0.1009,-0.777777777777778,0.284678480445676,0.682539682539683,2,21,8e-04
