"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e303fd9253a88398bf1851e5d9eb25b1",1,1,0,8,9,1,"sars",0.823066547375665,1,0.0508333333333334,0.0572444444444444,-0.0529333333333333,1,0.0123456790123457,-0.111111111111111,2,56,0.262
"2","e303fd9253a88398bf1851e5d9eb25b1",1,1,3,8,9,2,"sars",0.164003458558632,1,-0.1064,0.312494444444444,0.190366666666667,0.555555555555556,0.185642432556013,0.222222222222222,2,56,0.262
"3","e303fd9253a88398bf1851e5d9eb25b1",1,1,3,8,9,3,"sars",0.507712304067772,1,-0.122588888888889,0.366727777777778,0.0925555555555556,0.333333333333333,0.139917695473251,0.222222222222222,2,56,0.262
"4","e303fd9253a88398bf1851e5d9eb25b1",1,1,5,8,9,4,"sars",0.00709800392541224,1,-0.0422444444444445,0.829011111111111,0.116622222222222,0.333333333333333,0.327846364883402,0.444444444444444,2,56,0.262
"5","e303fd9253a88398bf1851e5d9eb25b1",2,1,3,17,9,1,"sars",0.64732542056435,1,-0.140055555555556,0.274822222222222,0.234288888888889,0.555555555555556,0.191986739826246,0.277777777777778,2,56,0.3737
"6","e303fd9253a88398bf1851e5d9eb25b1",2,1,3,17,9,2,"sars",0.390359182318995,1,-0.208855555555556,0.259938888888889,0.198733333333333,0.333333333333333,0.150720164609053,0.277777777777778,2,56,0.3737
"7","e303fd9253a88398bf1851e5d9eb25b1",2,1,5,17,9,3,"sars",0.903047787045717,1,-0.175866666666667,0.520833333333333,0.343577777777778,0.333333333333333,0.341992455418381,0.5,2,56,0.3737
"8","e303fd9253a88398bf1851e5d9eb25b1",2,1,9,17,9,4,"sars",0.466936255866167,1,-0.417988888888889,0.87829537037037,0.610066666666667,-0.333333333333333,0.580104023776863,0.944444444444444,2,56,0.3737
"9","e303fd9253a88398bf1851e5d9eb25b1",3,4,3,2,9,1,"sars",0.234102316948708,1,-0.0885,0.372244444444444,0.0619666666666667,0.333333333333333,0.135573845450389,0.185185185185185,2,56,0.0048
"10","e303fd9253a88398bf1851e5d9eb25b1",3,4,5,2,9,2,"sars",0.946969684882512,0.888888888888889,0.0806333333333334,0.864827777777778,-0.0358222222222222,0.333333333333333,0.321178174058833,0.407407407407407,2,56,0.0048
"11","e303fd9253a88398bf1851e5d9eb25b1",3,4,9,2,9,3,"sars",0.760378198866141,0.5,0.0423222222222222,1.56044814814815,-0.165666666666667,-0.333333333333333,0.521503327744754,0.851851851851852,2,56,0.0048
"12","e303fd9253a88398bf1851e5d9eb25b1",3,4,14,2,9,4,"sars",0.999232614403567,0.611111111111111,0.128522222222222,2.4795062962963,-0.606155555555556,-0.777777777777778,0.874439871970736,1.40740740740741,2,56,0.0048
"13","e303fd9253a88398bf1851e5d9eb25b1",4,7,5,1,9,1,"sars",0.711856984617403,0.833333333333333,0.109922222222222,0.900058333333333,-0.0786,0.333333333333333,0.315950788751715,0.361111111111111,2,56,3e-04
"14","e303fd9253a88398bf1851e5d9eb25b1",4,7,9,1,9,2,"sars",0.78307583008645,0.5,0.125355555555556,1.65072685185185,-0.296455555555556,-0.333333333333333,0.496191986739826,0.805555555555556,2,56,3e-04
"15","e303fd9253a88398bf1851e5d9eb25b1",4,7,14,1,9,3,"sars",0.998084310132297,0.62962962962963,0.272466666666667,2.55686148148148,-0.8797,-0.777777777777778,0.832458847736625,1.36111111111111,2,56,3e-04
"16","e303fd9253a88398bf1851e5d9eb25b1",4,7,21,1,9,4,"sars",0.999933333333353,0.544444444444444,0.468,10.4556405555556,-2.32574444444444,-0.555555555555556,1.60891560928212,2.13888888888889,2,56,3e-04
"17","e303fd9253a88398bf1851e5d9eb25b1",5,12,9,1,9,1,"sars",0.892966752330096,0.5,0.0373777777777778,1.27127222222222,-0.0942222222222222,-0.333333333333333,0.46201646090535,0.733333333333333,2,56,0
"18","e303fd9253a88398bf1851e5d9eb25b1",5,12,14,1,9,2,"sars",0.995437183296786,0.62962962962963,0.143777777777778,1.62026777777778,-0.419822222222222,-0.777777777777778,0.770962962962963,1.28888888888889,2,56,0
"19","e303fd9253a88398bf1851e5d9eb25b1",5,12,21,1,9,3,"sars",0.999933333333272,0.646296296296296,0.351533333333333,6.01308185185185,-1.32672222222222,-0.555555555555556,1.54725514403292,2.06666666666667,3,56,0
"20","e303fd9253a88398bf1851e5d9eb25b1",6,21,14,1,9,1,"sars",0.815175328015688,0.592592592592593,0.0722888888888889,1.34116222222222,-0.228333333333333,-0.777777777777778,0.67798353909465,1.16666666666667,3,56,0
"21","e303fd9253a88398bf1851e5d9eb25b1",6,21,21,1,9,2,"sars",0.996658131205839,0.714814814814815,0.274611111111111,4.1993812962963,-0.8181,-0.555555555555556,1.45397519433013,1.94444444444444,3,56,0
"22","e303fd9253a88398bf1851e5d9eb25b1",7,35,21,0,9,1,"sars",0.999798985740266,0.703703703703704,0.170366666666667,3.31412583333333,-0.382866666666667,-0.555555555555556,1.34919981710105,1.77777777777778,3,56,0
