"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e75b867691009b2c9233df05a04a1d3a",1,2,3,2,9,1,"sars",0.213107716580155,1,-0.245844444444444,0.196533333333333,0.243555555555556,0.333333333333333,0.133744855967078,0.111111111111111,2,64,0.0421
"2","e75b867691009b2c9233df05a04a1d3a",1,2,3,2,9,2,"sars",0.945694729562029,1,0.00974444444444443,0.45667962962963,0.0312777777777778,0.555555555555556,0.18907178783722,0.111111111111111,2,64,0.0421
"3","e75b867691009b2c9233df05a04a1d3a",1,2,3,2,9,3,"sars",0.913053562966246,1,0.127355555555556,0.795938888888889,-0.250466666666667,0.333333333333333,0.133744855967078,0.111111111111111,2,64,0.0421
"4","e75b867691009b2c9233df05a04a1d3a",1,2,5,2,9,4,"sars",0.949303681486081,0.555555555555556,0.177877777777778,1.70739444444444,-0.526177777777778,-0.111111111111111,0.189986282578875,0.333333333333333,2,64,0.0421
"5","e75b867691009b2c9233df05a04a1d3a",2,5,3,0,9,1,"sars",0.474722476758933,1,0.0823666666666667,0.556683333333333,-0.0739333333333333,0.555555555555556,0.19884545038866,0.0555555555555556,2,64,2e-04
"6","e75b867691009b2c9233df05a04a1d3a",2,5,3,0,9,2,"sars",0.590405486491871,0.555555555555556,0.372311111111111,1.44141666666667,-0.647744444444444,0.333333333333333,0.138374485596708,0.0555555555555555,2,64,2e-04
"7","e75b867691009b2c9233df05a04a1d3a",2,5,5,0,9,3,"sars",0.998828537884293,0.611111111111111,0.584555555555555,3.82358333333333,-1.43575555555556,-0.111111111111111,0.179183813443073,0.277777777777778,2,64,2e-04
"8","e75b867691009b2c9233df05a04a1d3a",2,5,12,0,9,4,"sars",0.999933333332448,0.646296296296296,0.644211111111111,8.63528333333333,-2.5837,-0.555555555555556,0.624371284865112,1.05555555555556,2,64,2e-04
"9","e75b867691009b2c9233df05a04a1d3a",3,8,3,1,9,1,"sars",0.685976321866317,0.611111111111111,0.302233333333333,1.17202222222222,-0.511233333333333,0.333333333333333,0.14106081390032,0.0370370370370371,2,64,1e-04
"10","e75b867691009b2c9233df05a04a1d3a",3,8,5,1,9,2,"sars",0.964237084222518,0.574074074074074,0.490755555555556,2.64129444444444,-1.08342222222222,-0.111111111111111,0.176573693034598,0.259259259259259,2,64,1e-04
"11","e75b867691009b2c9233df05a04a1d3a",3,8,12,1,9,3,"sars",0.999933317000035,0.661111111111111,0.542811111111111,5.58717037037037,-1.86896666666667,-0.555555555555556,0.612051008484479,1.03703703703704,3,64,1e-04
"12","e75b867691009b2c9233df05a04a1d3a",3,8,10,1,9,4,"sars",0.999933333333353,0.628835978835979,0.844233333333333,31.9903537037037,-5.16627777777778,-0.333333333333333,0.529860793578215,0.814814814814815,2,64,1e-04
"13","e75b867691009b2c9233df05a04a1d3a",4,11,5,0,9,1,"sars",0.683616397804406,0.5,0.262455555555556,1.39753888888889,-0.545633333333333,-0.111111111111111,0.17545438957476,0.25,2,64,0
"14","e75b867691009b2c9233df05a04a1d3a",4,11,12,0,9,2,"sars",0.969642932300556,0.574074074074074,0.103055555555556,1.79177037037037,-0.399633333333333,-0.555555555555556,0.606024234110654,1.02777777777778,2,64,0
"15","e75b867691009b2c9233df05a04a1d3a",4,11,10,0,9,3,"sars",0.99993333285455,0.601851851851852,0.528811111111111,7.7992037037037,-1.91625555555556,-0.333333333333333,0.52584162094193,0.805555555555556,3,64,0
"16","e75b867691009b2c9233df05a04a1d3a",4,11,26,0,9,4,"sars",0.999933333333353,0.578835978835979,0.412133333333333,12.5073557142857,-2.57191111111111,-0.555555555555556,1.98977950062055,2.58333333333333,3,64,0
"17","e75b867691009b2c9233df05a04a1d3a",5,16,12,0,9,1,"sars",0.841853330807252,0.5,-0.170488888888889,1.0571,0.184188888888889,-0.555555555555556,0.575016003657979,0.977777777777778,2,64,0
"18","e75b867691009b2c9233df05a04a1d3a",5,16,10,0,9,2,"sars",0.988317949890106,0.555555555555556,0.191555555555556,2.37611759259259,-0.536877777777778,-0.333333333333333,0.505921353452218,0.755555555555556,3,64,0
"19","e75b867691009b2c9233df05a04a1d3a",5,16,26,0,9,3,"sars",0.99966383212125,0.685185185185185,-0.0764666666666666,3.1433178042328,0.315822222222222,-0.555555555555556,1.94536011496505,2.53333333333333,3,64,0
"20","e75b867691009b2c9233df05a04a1d3a",6,28,10,0,9,1,"sars",0.835866683769208,0.574074074074074,0.217866666666667,2.40316574074074,-0.5901,-0.333333333333333,0.461883351115175,0.592592592592593,3,64,0
"21","e75b867691009b2c9233df05a04a1d3a",6,28,26,0,9,2,"sars",0.94466633839923,0.703703703703704,-0.0228222222222223,3.08434984126984,0.144244444444444,-0.555555555555556,1.81508299402675,2.37037037037037,3,64,0
"22","e75b867691009b2c9233df05a04a1d3a",7,38,26,2,9,1,"sars",0.999880236939273,0.666666666666667,-0.1555,2.49964052910053,0.634833333333333,-0.555555555555556,1.75616310800236,2.28571428571429,3,64,0
