"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","e80624663b97ea854ecb1665dda09c36",1,1,1,8,9,1,"sars",0.713952038973573,1,-0.0602777777777778,0.109144444444444,0.0581444444444444,0.777777777777778,0.0548696844993141,0,2,17,0.2736
"2","e80624663b97ea854ecb1665dda09c36",1,1,0,8,9,2,"sars",0.771520650605972,1,0.124233333333333,0.165933333333333,-0.1374,1,0.0123456790123457,-0.111111111111111,2,17,0.2736
"3","e80624663b97ea854ecb1665dda09c36",1,1,1,8,9,3,"sars",0.532752296989059,1,0.0871777777777778,0.365927777777778,-0.128477777777778,0.777777777777778,0.0548696844993141,0,2,17,0.2736
"4","e80624663b97ea854ecb1665dda09c36",1,1,2,8,9,4,"sars",0.221600279373094,1,0.154711111111111,0.864944444444444,-0.202788888888889,0.777777777777778,0.143118427069044,0.111111111111111,2,17,0.2736
"5","e80624663b97ea854ecb1665dda09c36",2,2,0,7,9,1,"sars",0.84673953896794,1,0.179411111111111,0.254655555555556,-0.202944444444444,1,0.0123456790123457,-0.111111111111111,2,17,0.0647
"6","e80624663b97ea854ecb1665dda09c36",2,2,1,7,9,2,"sars",0.189679040763974,1,0.182866666666667,0.529405555555556,-0.249555555555556,0.777777777777778,0.0548696844993141,0,2,17,0.0647
"7","e80624663b97ea854ecb1665dda09c36",2,2,2,7,9,3,"sars",0.689806361502544,1,0.279422222222222,1.21288518518519,-0.407366666666667,0.777777777777778,0.143118427069044,0.111111111111111,2,17,0.0647
"8","e80624663b97ea854ecb1665dda09c36",2,2,0,7,9,4,"sars",0.940442917594163,0.5,0.558622222222222,3.60252222222222,-1.16956666666667,1,0.0123456790123457,-0.111111111111111,2,17,0.0647
"9","e80624663b97ea854ecb1665dda09c36",3,2,1,16,9,1,"sars",0.658618739062522,1,0.0560444444444445,0.264611111111111,-0.0773,0.777777777777778,0.0525072397500381,0.037037037037037,2,17,0.246
"10","e80624663b97ea854ecb1665dda09c36",3,2,2,16,9,2,"sars",0.0802792383062674,1,0.0563111111111111,0.390592592592593,0.00433333333333334,0.777777777777778,0.142254737590814,0.148148148148148,2,17,0.246
"11","e80624663b97ea854ecb1665dda09c36",3,2,0,16,9,3,"sars",0.968636427748651,1,0.239922222222222,0.602522222222222,-0.332744444444444,1,0.00548696844993141,-0.0740740740740741,2,17,0.246
"12","e80624663b97ea854ecb1665dda09c36",3,2,4,16,9,4,"sars",0.98074501980068,1,-0.00495555555555554,1.46980740740741,-0.132133333333333,0.333333333333333,0.236295280191028,0.37037037037037,2,17,0.246
"13","e80624663b97ea854ecb1665dda09c36",4,3,2,7,9,1,"sars",0.0607786109128852,1,0.0285333333333333,0.320207407407407,0.0490888888888889,0.777777777777778,0.142232510288066,0.138888888888889,2,17,0.2043
"14","e80624663b97ea854ecb1665dda09c36",4,3,0,7,9,2,"sars",0.51347211899225,1,0.177088888888889,0.265088888888889,-0.204066666666667,1,0.00694444444444444,-0.0833333333333333,2,17,0.2043
"15","e80624663b97ea854ecb1665dda09c36",4,3,4,7,9,3,"sars",0.224250345224428,1,-0.110722222222222,0.569905555555556,0.146411111111111,0.333333333333333,0.234053497942387,0.361111111111111,2,17,0.2043
"16","e80624663b97ea854ecb1665dda09c36",4,3,8,7,9,4,"sars",0.517772554873886,1,-0.365455555555556,0.869625925925926,0.431788888888889,-0.333333333333333,0.461162551440329,0.805555555555556,2,17,0.2043
"17","e80624663b97ea854ecb1665dda09c36",5,5,0,4,9,1,"sars",0.948123871543636,1,0.192677777777778,0.275955555555556,-0.2188,1,0.0123456790123457,-0.111111111111111,2,17,0.077
"18","e80624663b97ea854ecb1665dda09c36",5,5,4,4,9,2,"sars",0.670078519597777,1,-0.0809,0.550364814814815,0.121577777777778,0.333333333333333,0.228166438042981,0.333333333333333,2,17,0.077
"19","e80624663b97ea854ecb1665dda09c36",5,5,8,4,9,3,"sars",0.847456627564212,1,-0.319155555555556,0.723046296296296,0.399711111111111,-0.333333333333333,0.443987197073617,0.777777777777778,2,17,0.077
"20","e80624663b97ea854ecb1665dda09c36",6,5,4,13,9,1,"sars",0.999933333333353,1,-0.169677777777778,0.390648148148148,0.247111111111111,0.333333333333333,0.231951430168165,0.351851851851852,2,17,0.1924
"21","e80624663b97ea854ecb1665dda09c36",6,5,8,13,9,2,"sars",0.999933333333353,1,-0.497344444444444,0.538475925925926,0.6658,-0.333333333333333,0.455329472133313,0.796296296296296,2,17,0.1924
"22","e80624663b97ea854ecb1665dda09c36",7,9,8,6,9,1,"sars",0.999933333333353,1,-0.384633333333333,0.597605555555556,0.513588888888889,-0.333333333333333,0.425547996976568,0.746031746031746,2,17,0.0568
