"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","edcd88d54657027f2d09cc3900b70deb",1,2,0,3,9,1,"sars",0.598869554216041,1,0.0882222222222222,0.106322222222222,-0.0940555555555556,1,0.0493827160493827,-0.222222222222222,2,21,0.0364
"2","edcd88d54657027f2d09cc3900b70deb",1,2,1,3,9,2,"sars",0.952500834212777,1,0.161888888888889,0.408316666666667,-0.205577777777778,0.777777777777778,0.0775034293552812,-0.111111111111111,2,21,0.0364
"3","edcd88d54657027f2d09cc3900b70deb",1,2,2,3,9,3,"sars",0.336839619421572,1,0.223644444444444,0.9286,-0.370111111111111,0.555555555555556,0.10562414266118,1.23297880393213e-17,2,21,0.0364
"4","edcd88d54657027f2d09cc3900b70deb",1,2,2,3,9,4,"sars",0.690450775905722,0.5,0.435566666666667,2.30055,-0.875366666666667,0.555555555555556,0.10562414266118,1.23267763666199e-17,2,21,0.0364
"5","edcd88d54657027f2d09cc3900b70deb",2,2,1,12,9,1,"sars",0.357778720708983,1,0.1072,0.321733333333333,-0.136933333333333,0.777777777777778,0.0548696844993141,0,2,21,0.0829
"6","edcd88d54657027f2d09cc3900b70deb",2,2,2,12,9,2,"sars",0.222700385006334,1,0.101544444444444,0.562716666666667,-0.171655555555556,0.555555555555556,0.0973936899862826,0.111111111111111,2,21,0.0829
"7","edcd88d54657027f2d09cc3900b70deb",2,2,2,12,9,3,"sars",0.993134686980553,1,0.246711111111111,1.13457222222222,-0.444822222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,21,0.0829
"8","edcd88d54657027f2d09cc3900b70deb",2,2,1,12,9,4,"sars",0.838761604182856,0.5,0.486255555555556,3.98326666666667,-1.15532222222222,0.777777777777778,0.0548696844993141,0,2,21,0.0829
"9","edcd88d54657027f2d09cc3900b70deb",3,3,2,0,9,1,"sars",0.99976712222029,1,0.00639999999999997,0.3614,-0.0369,0.555555555555556,0.0973936899862826,0.111111111111111,2,21,0.0822
"10","edcd88d54657027f2d09cc3900b70deb",3,3,2,0,9,2,"sars",0.999893576505432,1,0.0566666666666667,0.444811111111111,-0.105111111111111,0.555555555555556,0.0973936899862826,0.111111111111111,2,21,0.0822
"11","edcd88d54657027f2d09cc3900b70deb",3,3,1,0,9,3,"sars",0.998521714915324,1,0.282355555555556,1.11120555555556,-0.466355555555556,0.777777777777778,0.0548696844993141,0,2,21,0.0822
"12","edcd88d54657027f2d09cc3900b70deb",3,3,6,0,9,4,"sars",0.807542339953442,0.722222222222222,-0.00472222222222221,1.84247777777778,-0.351866666666667,-0.333333333333333,0.267489711934156,0.555555555555556,2,21,0.0822
"13","edcd88d54657027f2d09cc3900b70deb",4,5,2,2,9,1,"sars",0.0978484826950668,1,0.0469111111111111,0.404472222222222,-0.0851333333333333,0.555555555555556,0.0973936899862826,0.0833333333333333,2,21,0.0231
"14","edcd88d54657027f2d09cc3900b70deb",4,5,1,2,9,2,"sars",0.519629815906235,1,0.256866666666667,0.738955555555556,-0.364388888888889,0.777777777777778,0.0583419067215364,-0.0277777777777778,2,21,0.0231
"15","edcd88d54657027f2d09cc3900b70deb",4,5,6,2,9,3,"sars",0.884135478944574,0.833333333333333,-0.0551888888888889,0.972022222222222,-0.116188888888889,-0.333333333333333,0.253600823045268,0.527777777777778,2,21,0.0231
"16","edcd88d54657027f2d09cc3900b70deb",4,5,7,2,9,4,"sars",0.780177133532522,0.5,0.153422222222222,2.58317222222222,-0.5078,-0.111111111111111,0.400741598079561,0.638888888888889,2,21,0.0231
"17","edcd88d54657027f2d09cc3900b70deb",5,7,1,1,9,1,"sars",0.340904634432014,1,0.201944444444444,0.524977777777778,-0.264966666666667,0.777777777777778,0.0611248285322359,-0.0444444444444444,2,21,0.0135
"18","edcd88d54657027f2d09cc3900b70deb",5,7,6,1,9,2,"sars",0.618883244197077,1,-0.1883,0.595927777777778,0.116444444444444,-0.333333333333333,0.245761316872428,0.511111111111111,2,21,0.0135
"19","edcd88d54657027f2d09cc3900b70deb",5,7,7,1,9,3,"sars",0.602256976326268,0.666666666666667,0.0208555555555555,1.21853055555556,-0.0725555555555555,-0.111111111111111,0.393964334705075,0.622222222222222,2,21,0.0135
"20","edcd88d54657027f2d09cc3900b70deb",6,8,6,5,9,1,"sars",0.999879078776749,1,-0.314911111111111,0.451044444444444,0.283533333333333,-0.333333333333333,0.249199817101052,0.518518518518518,2,21,0.0364
"21","edcd88d54657027f2d09cc3900b70deb",6,8,7,5,9,2,"sars",0.997504329767749,1,-0.185988888888889,0.693525,0.301766666666667,-0.111111111111111,0.396928821825941,0.62962962962963,2,21,0.0364
"22","edcd88d54657027f2d09cc3900b70deb",7,14,7,1,9,1,"sars",0.985837646351628,0.944444444444444,-0.0853,0.820377777777778,0.1534,-0.111111111111111,0.370713305898491,0.555555555555556,2,21,0.0088
