"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","ef8f9298d64d8506a94b5c2d9b1897a8",1,1,0,8,9,1,"sars",0.092944153484036,1,0.0531,0.0609333333333333,-0.0556444444444444,1,0.0123456790123457,-0.111111111111111,2,11,0.2551
"2","ef8f9298d64d8506a94b5c2d9b1897a8",1,1,1,8,9,2,"sars",0.0261238663598887,1,0.0171888888888889,0.20875,-0.0305777777777778,0.777777777777778,0.0548696844993141,0,2,11,0.2551
"3","ef8f9298d64d8506a94b5c2d9b1897a8",1,1,1,8,9,3,"sars",0.120412010857007,1,0.0905444444444445,0.371216666666667,-0.1328,0.777777777777778,0.0548696844993141,0,2,11,0.2551
"4","ef8f9298d64d8506a94b5c2d9b1897a8",1,1,0,8,9,4,"sars",0.448945928054076,1,0.294155555555556,0.866255555555556,-0.438811111111111,1,0.0123456790123457,-0.111111111111111,2,11,0.2551
"5","ef8f9298d64d8506a94b5c2d9b1897a8",2,1,1,17,9,1,"sars",0.410902759928935,1,-0.0170777777777778,0.158461111111111,0.00977777777777778,0.777777777777778,0.0522976680384088,0.0555555555555556,2,11,0.3692
"6","ef8f9298d64d8506a94b5c2d9b1897a8",2,1,1,17,9,2,"sars",0.970536630034929,1,0.0116333333333333,0.203822222222222,-0.0256333333333333,0.777777777777778,0.0522976680384088,0.0555555555555556,2,11,0.3692
"7","ef8f9298d64d8506a94b5c2d9b1897a8",2,1,0,17,9,3,"sars",0.186444473843168,1,0.171777777777778,0.340233333333333,-0.218855555555556,1,0.00308641975308642,-0.0555555555555556,2,11,0.3692
"8","ef8f9298d64d8506a94b5c2d9b1897a8",2,1,4,17,9,4,"sars",0.552518426365792,1,-0.149977777777778,0.718483333333333,0.0413666666666667,0.111111111111111,0.199931412894376,0.388888888888889,2,11,0.3692
"9","ef8f9298d64d8506a94b5c2d9b1897a8",3,2,1,7,9,1,"sars",0.0446609629182406,1,0.0377666666666667,0.228333333333333,-0.0529777777777778,0.777777777777778,0.0525072397500381,0.037037037037037,2,11,0.1767
"10","ef8f9298d64d8506a94b5c2d9b1897a8",3,2,0,7,9,2,"sars",0.788546335038612,1,0.202511111111111,0.326544444444444,-0.2401,1,0.00548696844993141,-0.0740740740740741,2,11,0.1767
"11","ef8f9298d64d8506a94b5c2d9b1897a8",3,2,4,7,9,3,"sars",0.126809078795325,1,-0.1126,0.603138888888889,0.0333888888888889,0.111111111111111,0.193568053650358,0.37037037037037,2,11,0.1767
"12","ef8f9298d64d8506a94b5c2d9b1897a8",3,2,0,7,9,4,"sars",0.853119031676574,1,0.393588888888889,1.9811,-0.727033333333333,1,0.00548696844993141,-0.0740740740740741,2,11,0.1767
"13","ef8f9298d64d8506a94b5c2d9b1897a8",4,3,0,7,9,1,"sars",0.442206379083725,1,0.180588888888889,0.259744444444444,-0.205011111111111,1,0.00694444444444444,-0.0833333333333333,2,11,0.1214
"14","ef8f9298d64d8506a94b5c2d9b1897a8",4,3,4,7,9,2,"sars",0.240825405262014,1,-0.187255555555556,0.40225,0.157355555555556,0.111111111111111,0.190586419753086,0.361111111111111,2,11,0.1214
"15","ef8f9298d64d8506a94b5c2d9b1897a8",4,3,0,7,9,3,"sars",0.846169370564189,1,0.3184,0.789266666666667,-0.443133333333333,1,0.00694444444444444,-0.0833333333333333,2,11,0.1214
"16","ef8f9298d64d8506a94b5c2d9b1897a8",4,3,4,7,9,4,"sars",0.645913690973693,1,0.0517,1.32578888888889,-0.291822222222222,0.111111111111111,0.190586419753086,0.361111111111111,2,11,0.1214
"17","ef8f9298d64d8506a94b5c2d9b1897a8",5,3,4,16,9,1,"sars",0.999933333112501,1,-0.301266666666667,0.295655555555556,0.293011111111111,0.111111111111111,0.196049382716049,0.377777777777778,2,11,0.3423
"18","ef8f9298d64d8506a94b5c2d9b1897a8",5,3,0,16,9,2,"sars",0.999933288304782,1,0.138366666666667,0.189266666666667,-0.154155555555556,1,0.00444444444444444,-0.0666666666666667,2,11,0.3423
"19","ef8f9298d64d8506a94b5c2d9b1897a8",5,3,4,16,9,3,"sars",0.999932984842695,1,-0.274388888888889,0.336233333333333,0.256222222222222,0.111111111111111,0.196049382716049,0.377777777777778,2,11,0.3423
"20","ef8f9298d64d8506a94b5c2d9b1897a8",6,7,0,0,9,1,"sars",0.896538771750781,1,0.237866666666667,0.365844444444444,-0.277555555555556,1,0.0168038408779149,-0.12962962962963,2,11,0.0441
"21","ef8f9298d64d8506a94b5c2d9b1897a8",6,7,4,0,9,2,"sars",0.506879012779528,1,-0.0440777777777778,0.550755555555556,-0.0212888888888889,0.111111111111111,0.177678707514098,0.314814814814815,2,11,0.0441
"22","ef8f9298d64d8506a94b5c2d9b1897a8",7,7,4,9,9,1,"sars",0.999882233843201,1,-0.175244444444444,0.390011111111111,0.149455555555556,0.111111111111111,0.182441700960219,0.333333333333333,2,11,0.1043
