"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","f226d6fa54454d5d46e50ba3970b9ba9",1,1,0,8,9,1,"sars",0.731976478708152,1,0.0502888888888889,0.0563444444444444,-0.0522555555555556,1,0.0123456790123457,-0.111111111111111,2,3,0.2651
"2","f226d6fa54454d5d46e50ba3970b9ba9",1,1,0,8,9,2,"sars",0.598690591904006,1,0.128577777777778,0.171266666666667,-0.142155555555556,1,0.0123456790123457,-0.111111111111111,2,3,0.2651
"3","f226d6fa54454d5d46e50ba3970b9ba9",1,1,1,8,9,3,"sars",0.633934781508898,1,0.0862666666666667,0.349522222222222,-0.124688888888889,0.777777777777778,0.0548696844993141,0,2,3,0.2651
"4","f226d6fa54454d5d46e50ba3970b9ba9",1,1,0,8,9,4,"sars",0.87095233745041,1,0.288622222222222,0.8465,-0.430566666666667,1,0.0123456790123457,-0.111111111111111,2,3,0.2651
"5","f226d6fa54454d5d46e50ba3970b9ba9",2,1,0,17,9,1,"sars",0.867436046064374,1,0.0946333333333334,0.119088888888889,-0.102422222222222,1,0.00308641975308642,-0.0555555555555556,2,3,0.363
"6","f226d6fa54454d5d46e50ba3970b9ba9",2,1,1,17,9,2,"sars",0.39044277453849,1,0.0150777777777778,0.204366666666667,-0.0287222222222222,0.777777777777778,0.0522976680384088,0.0555555555555556,2,3,0.363
"7","f226d6fa54454d5d46e50ba3970b9ba9",2,1,0,17,9,3,"sars",0.83109784895745,1,0.177822222222222,0.349044444444444,-0.226288888888889,1,0.00308641975308642,-0.0555555555555556,2,3,0.363
"8","f226d6fa54454d5d46e50ba3970b9ba9",2,1,1,17,9,4,"sars",0.144777311965321,1,0.155755555555556,0.922583333333333,-0.306666666666667,0.777777777777778,0.0522976680384088,0.0555555555555556,2,3,0.363
"9","f226d6fa54454d5d46e50ba3970b9ba9",3,1,1,26,9,1,"sars",0.807839465358491,1,-0.0449444444444444,0.123483333333333,0.0409666666666667,0.777777777777778,0.0527358634354519,0.0740740740740741,2,3,0.6034
"10","f226d6fa54454d5d46e50ba3970b9ba9",3,1,0,26,9,2,"sars",0.788924856108597,1,0.0615111111111111,0.0751333333333333,-0.0658666666666667,1,0.00137174211248285,-0.037037037037037,2,3,0.6034
"11","f226d6fa54454d5d46e50ba3970b9ba9",3,1,1,26,9,3,"sars",0.190376828554908,1,-0.0282111111111111,0.177838888888889,0.0134444444444444,0.777777777777778,0.0527358634354519,0.0740740740740741,2,3,0.6034
"12","f226d6fa54454d5d46e50ba3970b9ba9",3,1,0,26,9,4,"sars",0.227932798016123,1,0.123144444444444,0.313433333333333,-0.171033333333333,1,0.00137174211248285,-0.037037037037037,2,3,0.6034
"13","f226d6fa54454d5d46e50ba3970b9ba9",4,2,0,5,9,1,"sars",0.36699389170943,1,0.073,0.0854222222222222,-0.0769777777777778,1,0.00308641975308642,-0.0555555555555556,2,3,0.3591
"14","f226d6fa54454d5d46e50ba3970b9ba9",4,2,1,5,9,2,"sars",0.272571631666456,1,-0.00804444444444443,0.171666666666667,-0.000755555555555557,0.777777777777778,0.0522976680384088,0.0555555555555556,2,3,0.3591
"15","f226d6fa54454d5d46e50ba3970b9ba9",4,2,0,5,9,3,"sars",0.878177069019679,1,0.148588888888889,0.247966666666667,-0.177388888888889,1,0.00308641975308642,-0.0555555555555556,2,3,0.3591
"16","f226d6fa54454d5d46e50ba3970b9ba9",4,2,0,5,9,4,"sars",0.925486549497259,1,0.198644444444444,0.508177777777778,-0.2752,1,0.00308641975308642,-0.0555555555555556,2,3,0.3591
"17","f226d6fa54454d5d46e50ba3970b9ba9",5,2,1,14,9,1,"sars",0.999933333333353,1,-0.0390666666666667,0.128716666666667,0.0352,0.777777777777778,0.052482853223594,0.0666666666666667,2,3,0.5047
"18","f226d6fa54454d5d46e50ba3970b9ba9",5,2,0,14,9,2,"sars",0.999933333333353,1,0.0842111111111111,0.104577777777778,-0.0907111111111111,1,0.00197530864197531,-0.0444444444444444,2,3,0.5047
"19","f226d6fa54454d5d46e50ba3970b9ba9",5,2,0,14,9,3,"sars",0.999933333333353,1,0.104177777777778,0.161233333333333,-0.120722222222222,1,0.00197530864197531,-0.0444444444444444,2,3,0.5047
"20","f226d6fa54454d5d46e50ba3970b9ba9",6,3,0,8,9,1,"sars",0.785613591535935,1,0.105366666666667,0.130622222222222,-0.113466666666667,1,0.00308641975308642,-0.0555555555555556,2,3,0.3523
"21","f226d6fa54454d5d46e50ba3970b9ba9",6,3,0,8,9,2,"sars",0.520512042970434,1,0.132222222222222,0.179011111111111,-0.1469,1,0.00308641975308642,-0.0555555555555556,2,3,0.3523
"22","f226d6fa54454d5d46e50ba3970b9ba9",7,3,0,17,9,1,"sars",0.0592786536384213,1,0.0880555555555556,0.106155555555556,-0.0938666666666667,1,0.00226757369614512,-0.0476190476190476,2,3,0.4767
