"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","f2ea73169ae38e24dd8307c876412d7c",1,2,0,2,9,1,"sars",0.0711459572828591,1,0.0841222222222222,0.101644444444444,-0.0897555555555556,1,0.0493827160493827,-0.222222222222222,2,47,0.0382
"2","f2ea73169ae38e24dd8307c876412d7c",1,2,2,2,9,2,"sars",0.871187155660303,1,0.0467111111111111,0.417633333333333,-0.0867777777777778,0.555555555555556,0.10562414266118,1.23237646939186e-17,2,47,0.0382
"3","f2ea73169ae38e24dd8307c876412d7c",1,2,3,2,9,3,"sars",0.818915721575995,1,0.177377777777778,1.03936296296296,-0.258977777777778,0.555555555555556,0.18907178783722,0.111111111111111,2,47,0.0382
"4","f2ea73169ae38e24dd8307c876412d7c",1,2,4,2,9,4,"sars",0.8964730975415,0.5,0.256133333333333,2.06268888888889,-0.650277777777778,0.111111111111111,0.161865569272977,0.222222222222222,2,47,0.0382
"5","f2ea73169ae38e24dd8307c876412d7c",2,2,2,11,9,1,"sars",0.999923856947921,1,-0.00397777777777781,0.341955555555556,-0.0228222222222222,0.555555555555556,0.0973936899862826,0.111111111111111,2,47,0.073
"6","f2ea73169ae38e24dd8307c876412d7c",2,2,3,11,9,2,"sars",0.997864510025228,1,0.0713555555555555,0.6659,-0.0651777777777778,0.555555555555556,0.185642432556013,0.222222222222222,2,47,0.073
"7","f2ea73169ae38e24dd8307c876412d7c",2,2,4,11,9,3,"sars",0.972760275277346,0.944444444444444,0.0583555555555556,1.07833888888889,-0.240611111111111,0.111111111111111,0.182441700960219,0.333333333333333,2,47,0.073
"8","f2ea73169ae38e24dd8307c876412d7c",2,2,9,11,9,4,"sars",0.719947422648022,0.5,0.0872222222222222,2.55752111111111,-0.303633333333333,-0.111111111111111,0.605395518975766,0.888888888888889,2,47,0.073
"9","f2ea73169ae38e24dd8307c876412d7c",3,4,3,0,9,1,"sars",0.99771153966789,1,0.0701444444444445,0.620572222222222,-0.0548666666666667,0.555555555555556,0.184397703602093,0.185185185185185,2,47,0.016
"10","f2ea73169ae38e24dd8307c876412d7c",3,4,4,0,9,2,"sars",0.96759250853058,1,0.0322666666666667,0.80505,-0.150544444444444,0.111111111111111,0.173449169333943,0.296296296296296,2,47,0.016
"11","f2ea73169ae38e24dd8307c876412d7c",3,4,9,0,9,3,"sars",0.798888503042181,0.555555555555556,0.0452333333333333,1.71048333333333,-0.0692777777777778,-0.111111111111111,0.587415536249555,0.851851851851852,2,47,0.016
"12","f2ea73169ae38e24dd8307c876412d7c",3,4,11,0,9,4,"sars",0.852903374647454,0.481481481481482,0.128311111111111,3.70775185185185,-0.751055555555556,-0.555555555555556,0.646077833663568,1.07407407407407,2,47,0.016
"13","f2ea73169ae38e24dd8307c876412d7c",4,7,4,7,9,1,"sars",0.993335358528732,0.944444444444444,0.0482333333333333,0.783161111111111,-0.161111111111111,0.111111111111111,0.165209190672154,0.25,2,47,0.001
"14","f2ea73169ae38e24dd8307c876412d7c",4,7,9,7,9,2,"sars",0.939839989887105,0.5,0.0481222222222222,1.40297333333333,0.000155555555555563,-0.111111111111111,0.567526863283036,0.805555555555556,2,47,0.001
"15","f2ea73169ae38e24dd8307c876412d7c",4,7,11,7,9,3,"sars",0.689077517404087,0.537037037037037,0.0949111111111111,2.24820833333333,-0.434122222222222,-0.555555555555556,0.612732910379515,1.02777777777778,2,47,0.001
"16","f2ea73169ae38e24dd8307c876412d7c",4,7,16,7,9,4,"sars",0.999273552819768,0.611111111111111,0.218644444444444,4.865615,-1.1354,-0.777777777777778,1.02826074531321,1.58333333333333,2,47,0.001
"17","f2ea73169ae38e24dd8307c876412d7c",5,11,9,1,9,1,"sars",0.603389320006266,0.611111111111111,-0.0272111111111111,1.14120518518519,0.173455555555556,-0.111111111111111,0.549274805669867,0.755555555555556,2,47,5e-04
"18","f2ea73169ae38e24dd8307c876412d7c",5,11,11,1,9,2,"sars",0.957953399960206,0.5,-0.0599111111111111,1.28612962962963,0.00236666666666666,-0.555555555555556,0.579350708733425,0.977777777777778,2,47,5e-04
"19","f2ea73169ae38e24dd8307c876412d7c",5,11,16,1,9,3,"sars",0.975025267864758,0.592592592592593,-0.0109333333333333,1.95983907407407,-0.1267,-0.777777777777778,0.982909922267947,1.53333333333333,2,47,5e-04
"20","f2ea73169ae38e24dd8307c876412d7c",6,20,11,0,9,1,"sars",0.674281283613116,0.5,-0.0269888888888889,1.26400462962963,-0.0391,-0.555555555555556,0.507379464512524,0.851851851851852,2,47,0
"21","f2ea73169ae38e24dd8307c876412d7c",6,20,16,0,9,2,"sars",0.878134335719278,0.62962962962963,0.0756333333333333,1.85216981481481,-0.273466666666667,-0.777777777777778,0.878621145150638,1.40740740740741,3,47,0
"22","f2ea73169ae38e24dd8307c876412d7c",7,31,16,0,9,1,"sars",0.950864509646625,0.62962962962963,0.0402777777777778,1.67756777777778,-0.168088888888889,-0.777777777777778,0.791342161007064,1.28571428571429,3,47,0
