"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","fe26b56584a71eba79032bb47c4f9ec5",1,1,0,8,9,1,"sars",0.629478333232357,1,0.0533111111111111,0.0598,-0.0554444444444444,1,0.0123456790123457,-0.111111111111111,2,24,0.24
"2","fe26b56584a71eba79032bb47c4f9ec5",1,1,1,8,9,2,"sars",0.852854166782175,1,0.0230555555555556,0.202611111111111,-0.0354333333333333,0.777777777777778,0.0548696844993141,0,2,24,0.24
"3","fe26b56584a71eba79032bb47c4f9ec5",1,1,2,8,9,3,"sars",0.821089944781054,1,-0.0119777777777778,0.37975,-0.0253777777777778,0.555555555555556,0.0973936899862826,0.111111111111111,2,24,0.24
"4","fe26b56584a71eba79032bb47c4f9ec5",1,1,0,8,9,4,"sars",0.684544904291814,1,0.301388888888889,0.867766666666667,-0.445055555555556,1,0.0123456790123457,-0.111111111111111,2,24,0.24
"5","fe26b56584a71eba79032bb47c4f9ec5",2,1,1,17,9,1,"sars",0.526180589443094,1,-0.0204888888888889,0.147061111111111,0.0145888888888889,0.777777777777778,0.0522976680384088,0.0555555555555556,2,24,0.3862
"6","fe26b56584a71eba79032bb47c4f9ec5",2,1,2,17,9,2,"sars",0.0493156598401035,1,-0.102322222222222,0.224944444444444,0.0911888888888889,0.555555555555556,0.101508916323731,0.166666666666667,2,24,0.3862
"7","fe26b56584a71eba79032bb47c4f9ec5",2,1,0,17,9,3,"sars",0.72426079448099,1,0.165133333333333,0.3211,-0.209188888888889,1,0.00308641975308642,-0.0555555555555556,2,24,0.3862
"8","fe26b56584a71eba79032bb47c4f9ec5",2,1,9,17,9,4,"sars",0.916646990885449,1,-0.5169,0.71337037037037,0.622044444444444,-0.555555555555556,0.528520804755373,0.944444444444444,2,24,0.3862
"9","fe26b56584a71eba79032bb47c4f9ec5",3,2,2,2,9,1,"sars",0.999933333333354,1,-0.1003,0.21895,0.0916222222222222,0.555555555555556,0.0995275110501448,0.148148148148148,2,24,0.1778
"10","fe26b56584a71eba79032bb47c4f9ec5",3,2,0,2,9,2,"sars",0.999933333332319,1,0.165622222222222,0.246822222222222,-0.1902,1,0.00548696844993141,-0.0740740740740741,2,24,0.1778
"11","fe26b56584a71eba79032bb47c4f9ec5",3,2,9,2,9,3,"sars",0.999773850619775,1,-0.520911111111111,0.605357407407407,0.650666666666667,-0.555555555555556,0.514123863232231,0.925925925925926,2,24,0.1778
"12","fe26b56584a71eba79032bb47c4f9ec5",3,2,2,2,9,4,"sars",0.996190238846273,1,0.2303,1.45911481481481,-0.390366666666667,0.777777777777778,0.142254737590814,0.148148148148148,2,24,0.1778
"13","fe26b56584a71eba79032bb47c4f9ec5",4,4,0,2,9,1,"sars",0.382828379589548,1,0.222266666666667,0.340633333333333,-0.258544444444444,1,0.0123456790123457,-0.111111111111111,2,24,0.0251
"14","fe26b56584a71eba79032bb47c4f9ec5",4,4,9,2,9,2,"sars",0.489249810610602,1,-0.411488888888889,0.597631481481481,0.511144444444444,-0.555555555555556,0.486511202560585,0.888888888888889,2,24,0.0251
"15","fe26b56584a71eba79032bb47c4f9ec5",4,4,2,2,9,3,"sars",0.576643237010461,0.722222222222222,0.377322222222222,1.79976666666667,-0.630344444444444,0.777777777777778,0.143118427069044,0.111111111111111,2,24,0.0251
"16","fe26b56584a71eba79032bb47c4f9ec5",4,4,9,2,9,4,"sars",0.993319971332986,0.5,0.159277777777778,2.81783444444444,-0.4815,-0.111111111111111,0.605395518975766,0.888888888888889,2,24,0.0251
"17","fe26b56584a71eba79032bb47c4f9ec5",5,4,9,11,9,1,"sars",0.999933148089934,1,-0.569477777777778,0.551137037037037,0.727722222222222,-0.555555555555556,0.502889803383631,0.911111111111111,2,24,0.1147
"18","fe26b56584a71eba79032bb47c4f9ec5",5,4,2,11,9,2,"sars",0.999887836989044,1,0.138222222222222,0.558281481481481,-0.116688888888889,0.777777777777778,0.142295381801555,0.133333333333333,2,24,0.1147
"19","fe26b56584a71eba79032bb47c4f9ec5",5,4,9,11,9,3,"sars",0.999925778469965,1,-0.249833333333333,0.894069259259259,0.519355555555556,-0.111111111111111,0.61706630086877,0.911111111111111,2,24,0.1147
"20","fe26b56584a71eba79032bb47c4f9ec5",6,13,2,0,9,1,"sars",0.233311990411088,0.666666666666667,0.404588888888889,1.52201851851852,-0.610077777777778,0.777777777777778,0.166145912716557,-0.0185185185185185,2,24,0
"21","fe26b56584a71eba79032bb47c4f9ec5",6,13,9,0,9,2,"sars",0.958311494331416,0.574074074074074,0.344433333333333,2.56093185185185,-0.746377777777778,-0.111111111111111,0.55051186302901,0.759259259259259,3,24,0
"22","fe26b56584a71eba79032bb47c4f9ec5",7,15,9,4,9,1,"sars",0.908450738891713,0.5,0.0925666666666667,1.42593814814815,-0.1024,-0.111111111111111,0.55140673553372,0.761904761904762,2,24,6e-04
